amphibians;23
anadrome fishes;18
arthropods;527
domestic fowl;6
domestic mammals;13
fresh-water fishes;43
freshwater molluscs;64
land molluscs;78
marine molluscs;3
"marine molluscs; bivalvia";65
"marine molluscs; cephalopoda";2
"marine molluscs; gastropoda";57
"marine molluscs; scaphopoda";3
other amphibians;2
other animals;54
other birds;5
other fishes;2
other mammals;13
other molluscs;8
other reptiles;2
reptiles;10
sea-fishes;94
wild 1: game (or wild/domestic);58
wild 2: sea mammals;21
wild 3: insectivora;10
wild 4: other rodents;29
wild bird;1
wild birds;208
wild or domestic birds;6
