kolom_naam;record_aantal;tabel_naam;aantal_veldwaarden_met_null;aantal_lege_veldwaarde;aantal_veldwaarden_met_lege_lijst;totaal_aantal_veldwaarden;aantal_uunieke_veldwaarden;percentage_unieke_veldwaarden;kolom_is_leeg;veldwaarde_is_uuid;veldwaarde_is_url;veldwaarde_is_email;veldwaarde_is_int;veldwaarde_is_float;veldwaarde_is_bool;veldwaarde_is_dict;veldwaarde_bevat_html;veldwaarde_is_date;veldwaarde_is_str;aantal_decimalen;grootste_int_waarde;langste_str_waarde;primaire_sleutel;vreemde_sleutel;gerelateerde_tabel_naam;gerelateerde_kolom_naam
Id;1372;TblSynoniemen;0;0;0;1372;1372;1.0;False;0;0;0;1372;0;0;0;0;0;0;0;4;0;true;false;;
DiersoortID;1372;TblSynoniemen;0;0;0;1372;1372;1.0;False;0;0;0;1372;0;0;0;0;0;0;0;4;0;false;false;;
synoniem soort1;1372;TblSynoniemen;0;0;0;169;162;0.96;False;0;0;0;0;0;0;0;0;0;169;0;0;201;false;false;;
synoniem soort2;1372;TblSynoniemen;0;0;0;7;7;1.0;False;0;0;0;0;0;0;0;0;0;7;0;0;24;false;false;;
synoniem soort3;1372;TblSynoniemen;0;0;0;2;2;1.0;False;0;0;0;0;0;0;0;0;0;2;0;0;14;false;false;;
synoniem genus;1372;TblSynoniemen;0;0;0;60;46;0.77;False;0;0;0;0;0;0;0;0;0;60;0;0;13;false;false;;
synoniem familie;1372;TblSynoniemen;0;0;0;116;39;0.34;False;0;0;0;0;0;0;0;0;0;116;0;0;14;false;false;;
synoniem orde;1372;TblSynoniemen;0;0;0;405;31;0.08;False;0;0;0;0;0;0;0;0;0;405;0;0;17;false;false;;
synoniem klasse;1372;TblSynoniemen;0;0;0;353;5;0.01;False;0;0;0;0;0;0;0;0;0;353;0;0;12;false;false;;
synoniem stam;1372;TblSynoniemen;0;0;0;0;0;;True;0;0;0;0;0;0;0;0;0;0;0;0;4;false;false;;
synoniem rijk;1372;TblSynoniemen;0;0;0;0;0;;True;0;0;0;0;0;0;0;0;0;0;0;0;4;false;false;;
synoniem NL naam1;1372;TblSynoniemen;0;0;0;99;99;1.0;False;0;0;0;0;0;0;0;0;0;99;0;0;49;false;false;;
synoniem NL naam2;1372;TblSynoniemen;0;0;0;16;16;1.0;False;0;0;0;0;0;0;0;0;0;16;0;0;19;false;false;;
synoniem NL naam3;1372;TblSynoniemen;0;0;0;1;1;1.0;False;0;0;0;0;0;0;0;0;0;1;0;0;10;false;false;;
synoniem EN naam1;1372;TblSynoniemen;0;0;0;27;27;1.0;False;0;0;0;0;0;0;0;0;0;27;0;0;18;false;false;;
synoniem EN naam2;1372;TblSynoniemen;0;0;0;2;2;1.0;False;0;0;0;0;0;0;0;0;0;2;0;0;14;false;false;;
synoniem EN naam3;1372;TblSynoniemen;0;0;0;0;0;;True;0;0;0;0;0;0;0;0;0;0;0;0;4;false;false;;
