Aal, J.H.J.M.;90
Aal, J.H.J.M.|Dijk, J. van|Esser, E.|Jagt, I.M.M. van der|Kootker, L.M.;7
Aal, J.H.J.M.|Dijk, J. van|Esser, E.|Jagt, I.M.M. van der|Kootker, L.M.|Van Neer, W|Wouters, W.;9
Aal, J.H.J.M.|Dijk, J. van|Esser, E.|Jagt, I.M.M. van der|Kootker, L.M.|Van Neer, W|Wouters, W.|Bakker, J.K.;1
Aal, J.H.J.M.|Kerklaan, F.;4
Adolfs, F.|Kortekaas, G.L.G.|Schoneveld, J.;1
Akker, L. van den;3
Baart, J.M.;13
Baetsen, S.;2
Baetsen, S.,;4
Baetsen, S.|Reek, F. van|Reinink, A.|Zijlstra, S.|Poole, C. le;1
Ball, E.;1
Beek, J.L. van;3
Beerenhout, B.;20
Beerenhout, B.|Overstegen, J.;1
Bekkema, M.|Groot, M.|Haasteren, M. van|Scharringhausen, K.;4
Berg, J. van den;1
Berg, R. van de;5
Bergsma, G.M.A.;4
Berk, B.W.M.;1
Boer, A. de;1
Boer, H. de|Meenen, D. van|Niekus, M.J.L.T.|Zijlema, M.;1
Boer, P.C. de;1
Bos, J.M.|Pasveer, J.M.|Volkers, T.B.;1
Bos, R.P.M van den|Maat, G.J.R.|Laarman, F.J.|Groot, M.;1
Bosma, K.L.B.;1
Brinkhuizen, D.C.;20
Brinkhuizen, D.C.|Dijk, J. van;1
Brinkkemper, O.|Man, R. de;1
Broeke, P.W. van den;7
Brugge, J.P. ten|Ridder, T. de;2
Buhrs, E.;2
Buitenhuis, H.;13
Buitenhuis, H.|Brinkhuizen, D.C.;8
Buitenhuis, H.|Halici, H.;4
Buitenhuis, H.|Holk, A.F.L. van;1
Bult, E.J.;1
Bult, E.J.|Hallewas, D.P.;1
Bult, E.J.|Hallewas, D.P.|Hoogland, M.;1
Bult, E.J.|Maat, G.J.R.|Onisto, N.;1
Bult, E.J.|Robbers, H.;4
Bulten, E.E.P.;1
Cavallaro, E.;1
Cavallo, C.;2
Cavallo, C.|Bakker, J.K.;1
Cavallo, C.|Heiden, M. van der|Kolfschoten, T. van;3
Clason, A.T.;64
Clason, A.T.|Brinkhuizen, D.C.;2
Clason, A.T.|Es, L. van|Giffen, A.E. van;1
Clason, A.T.|Fuldauer, A.|Vos, J. de|Kempers, D.G.M.;1
Clason, A.T.|Hiddingh, H.;1
Clason, A.T.|Ket, D.T.;2
Clason, A.T.|Prummel, W.;1
Clason, A.T.|Wijngaarden-Bakker, L.H. van;1
Constandse-Westermann, T.S.;1
Cordfunke, E.H.P.|Borg, K. van der|Maat, G.J.R.;1
Corten, F.G.A., Nijmegen;1
Cuijpers, A.G.F.M.;42
Cuijpers, A.G.F.M.|Jans, M.E.;2
Cuijpers, A.G.F.M.|Laarman, F.J.;3
Cuijpers, A.G.F.M.|Lauwerier, R.C.G.M.;1
Cuijpers, A.G.F.M.|Robb, J.E.;1
Cuijpers, A.G.F.M.|Robb, J.E.|Hagers, J.K.A.;3
Cuijpers, A.G.F.M.|Smits, E.|Verhart, L.B.M.|Grosskopf, B.;1
Dasselaar, M. van;9
Dautzenberg, S.M.;1
Deckers, M.J.C.;1
Deeben J.|Lauwerier, R.C.G.M.;1
Desender, K.|Ervynck, A.;4
Dijk, J. van;154
Dijk, J. van|Beerenhout, B.;13
Dijk, J. van|Beerenhout, B.|Kuijper, W.J.;1
Dijk, J. van|Beerenhout, B.|Rijkelijkhuizen, M.J.;3
Dijk, J. van|Beerenhout, B.|Rijkelijkhuizen, M.J.|Kuijper, W.J.;4
Dijk, J. van|Dütting, M.;3
Dijk, J. van|Esser, E.;15
Dijk, J. van|Esser, E.|Beerenhout, B.;1
Dijk, J. van|Esser, E.|Beerenhout, B.|Haaster, H. van;1
Dijk, J. van|Esser, E.|Beerenhout, B.|Rijkelijkhuizen, M.J.;7
Dijk, J. van|Esser, E.|Brinkhuizen, D.C.;1
Dijk, J. van|Esser, E.|Rijkelijkhuizen, M.J.|Beerenhout, B.;8
Dijk, J. van|Esser, E.|Robbers, H.|Kuijper, W.J.|Schelvis, J.;1
Dijk, J. van|Esser, E.|Zeiler, J.T.;13
Dijk, J. van|Haaster, H. van;2
Dijk, J. van|Jagt, I.M.M. van der;5
Dijk, J. van|Kerklaan, F.;2
Dijk, J. van|Kerklaan, F.|Rijkelijkhuizen, M.J.;2
Dijk, J. van|Kootker, L.M.;7
Dijk, J. van|Paalman, D.B.S.;3
Dijk, J. van|Rijkelijkhuizen, M.J.;8
Dijk, J. van|Robbers, H.|Ridder, T. de;3
Dijk, J. van|Robeerst, J.M.M.;2
Dijk, M. van;2
Dijk, van, J.;56
Dijk, van, J.|Buhrs, E.;2
Dijk, van, J.|Esser, E.|Rijkelijkhuizen, M.J.|Kerklaan, F.;2
Dijk, van, J.|Kerklaan, F.;9
Dijkman, W.|Ervynck, A.;20
Dijkstra, J.;2
Dik, J.;1
Dobken, A.B.|Verhagen, M.;1
Dütting, M.K.;1
Elzinga, G.|Jong, T. de;1
Engeldorp Gastelaars, H.;3
Ervynck, A.;1
Esser, E.;87
Esser, E.|Beerenhout, B.;18
Esser, E.|Beerenhout, B.|Kuijper, W.J.;4
Esser, E.|Beerenhout, B.|Kuijper, W.J.|Rijkelijkhuizen, M.J.;7
Esser, E.|Beerenhout, B.|Rijkelijkhuizen, M.J.;17
Esser, E.|Beerenhout, B.|Rijkelijkhuizen, M.J.|Hakbijl, T.|Haaster, H. van;5
Esser, E.|Dijk, J. van;29
Esser, E.|Dijk, J. van|Groot, M.;1
Esser, E.|Dijk, J. van|Kubiak-Martens, L.|Lagas, R.;1
Esser, E.|Dijk, J. van|Luijten, H.;1
Esser, E.|Dijk, J. van|Rijkelijkhuizen, M.J.;21
Esser, E.|Dijk, J. van|Verhagen, M.;6
Esser, E.|Gehasse, E.;2
Esser, E.|Kootker, L.M.|Sluis, L. van der|Rijkelijkhuizen, M.J.|Beerenhout, B.;3
Esser, E.|Kootker, L.M.|Verbaas, A.;2
Esser, E.|Kuijper, W.J.|Brinkhuizen, D.C.;2
Esser, E.|Paalman, D.B.S.;2
Esser, E.|Paalman, D.B.S.|Kooistra., L.I.|Vermeeren, C.|Hänninen, K.|Luijten, H.|Schelvis, J.;1
Esser, E.|Rijkelijkhuizen, M.J.;6
Esser, E.|Smits, E.;2
Esser, E.|Verhagen, M.;2
Esser, E.|Verhagen, M.|Dijk, J. van;2
Esser, E.|Zeiler, J.T.|Kerklaan, F.;7
Esser, K.;2
Esser, K.|Kootker, L.M.|Kerklaan, F.;2
Feen, P.J. van der|Kortenbout van der Sluijs, G.;1
Felder, P.J.S.|Cupedo, D.F.;1
Felder, W.M.|Bosch, P.W.;1
Féber, D. la;2
Gehasse, E.F.;16
Gehasse, E.F.|Hollosy, M.L. d';2
Gehasse, E.F.|Sier, M.M.|Schotten, J.;1
Gelder-Ottway, S.M. van;8
Gelderen, M. van;1
Genuchten, J. van;1
Gerretsen, M.;1
Greevenbroek, J.T.R. van;3
Grimm, J.M.;26
Grimm, J.M.|Brinkhuizen, D.C.;1
Grimm, W.D.;5
Groeneweg, J.;12
Grood, J.N.M. de;1
Groot, M.;108
Groot, M.A. de;1
Groot, M.|Hiddink, H.;1
Grooth, M.E.T. de|Lauwerier, R.C.G.M.|Schegget, M.E. ter;1
Haalebos, J.K.;1
Haaster, H. van;4
Haaster, H. van|Beerenhout, B.|Oversteegen, J.F.S.|Smits, E.;1
Haaster, H. van|Cavallo, C.;1
Haaster, H. van|Dijk, J. van|Lange, S.;1
Haasteren, M. van;3
