ACVU-HBS;91
ADC ArcheoProjecten;9
ADC Archeoprojecten;2
ADC Archeoprojecten|Rijksuniversiteit Groningen: Groninger Instituut voor Archeologie;1
AWN: Afdeling Noord-Nederland;1
AWN: Archeologische Werkgemeenschap voor Nederland;2
AWN: Archeologische Werkgemeenschap voor Nederland|Rijksdienst voor het Cultureel Erfgoed;2
AWN: Archeologische Werkgemeenschap voor Nederland|Rijksuniversiteit Groningen: Biologisch Archaeologisch Instituut;1
AWN: Archeologische Werkgemeenschap voor Nederland|University of Iowa (USA) Department of anthropology;1
AWN: Archeologische Werkgroep Haarlem;8
AWN: Archeologische Werkgroep Schagen;1
Aestimatica|Archaeo-Zoo;1
Afdeling Archeologie Onder Water;1
Antea Group;2
Archaeo-Fish;9
Archaeo-Zoo;11
ArchaeoBone;251
ArchaeoBone|Archeoplan Eco;1
ArchaeoBone|Natuurhistorisch Museum Rotterdam;1
ArchaeoBone|Rijksuniversiteit Leiden|Stichting Monument en Materiaal;4
ArchaeoBone|Stichting Monument en Materiaal;5
Archaeological Research & Consultancy;90
Archaeological Research & Consultancy (ARC), Groningen;1
Archeo-Zoo;1
ArcheoDienst BV;7
ArcheoMedia BV;5
Archeologenbureau Argo;7
Archeologie Deventer;1
Archeologie West-Friesland;2
Archeologisch Centrum Vrije Universiteit;22
Archeologisch Diensten Centrum;1
Archeologisch Onderzoek Leiden;23
Archeologisch Onderzoek Leiden|Archaeo-Fish;3
Archeologische Vereniging Golda;5
Archeologische begeleidingscommissie Leiden;2
Archeomedia BV|Arnicon;2
Archeoplan Eco;542
Archeoplan Eco, Delft;3
Archeoplan Eco|ACVU-HBS;1
Archeoplan Eco|Archaeo-Fish;17
Archeoplan Eco|Archaeo-Zoo;35
Archeoplan Eco|Archaeo-Zoo|BIAX Consult|Elpenbeen;3
Archeoplan Eco|Archaeo-Zoo|Elpenbeen;56
Archeoplan Eco|Archaeo-Zoo|Universiteit Leiden;5
Archeoplan Eco|Archaeo-Zoo|Universiteit Leiden|Elpenbeen;11
Archeoplan Eco|ArchaeoBone;13
Archeoplan Eco|Archeospecialisten;1
Archeoplan Eco|BIAX Consult;3
Archeoplan Eco|BIAX Consult|ScaraB;1
Archeoplan Eco|Elpenbeen;38
Archeoplan Eco|Elpenbeen|Archaeo-Fish;2
Archeoplan Eco|Gemeente Eindhoven: Afdeling archeologie;1
Archeoplan Eco|Gemeente Vlaardingen: Vlaardings Archeologisch Kantoor;3
Archeoplan Eco|Gemeente Vlaardingen: Vlaardings Archeologisch Kantoor|Universiteit Leiden|ScaraB;1
Archeoplan Eco|Smits Anthropologisch Bureau;2
Archeoplan Eco|Stichting LAB;2
Archeoplan Eco|Universiteit Leiden;2
Archeoplan Eco|Universiteit Leiden: Instituut voor Prehistorie Rijksuniversiteit Leiden;2
Archeoplan Eco|Universiteit van Amsterdam;1
Archol BV;4
BAAC BV;93
BCL Archaeological support;4
BCL Archaeological support|Rijksdienst voor het Oudheidkundig Bodemonderzoek;1
BIAX Consult;6
BIAX Consult|Archaeo-Zoo;1
BOOR;1
Becker & Van de Graaf;11
Becker & Van de Graaf, Nijmegen;1
Biax Consult;1
CRINA Crematie en Inhumatie Analyse;6
De Steekproef B.V. Archeologisch Onderzoeks- en Adviesbureau;5
Diachron;1
Drents Museum|Rijksuniversiteit Groningen: Faculteit voor Anatomie en Embryologie;2
Earth Integrated Archaeology;2
EcoZoo Archeozoologisch Onderzoek|Archaeo-Fish|van Kaam Archaeozoology;1
Econsultancy;1
Elpenbeen;10
Ex-Situ Archeologie B.V.;1
Gemeente Alkmaar;2
Gemeente Alkmaar: Afdeling Monumentenzorg en Archeologie;2
Gemeente Alkmaar: Archeologische dienst Alkmaar;1
Gemeente Alkmaar: Bureau monumentenzorg en archeologie Alkmaar|Universiteit van Amsterdam: Instituut voor Pre- en Protohistorie A.E. van Giffen;1
Gemeente Amersfoort: Stadsbeheer en Milieu, sector Archeologie;3
Gemeente Amsterdam: Afdeling Archeologie, Dienst Publieke Werken;10
Gemeente Breda;5
Gemeente Breda: Afdeling Archeologie;1
Gemeente Breda: Archeologische dienst Breda;1
Gemeente Delft: Dienst Stadsontwikkeling Delft, sector Monumenten & Archeologie;4
Gemeente Delft: Gemeentelijke archeologische dienst Delft;1
Gemeente Den Haag;1
Gemeente Den Haag: Afdeling Archeologie Dienst Stadsbeheer;9
"Gemeente Den Haag: Afdeling Archeologie Dienst Stadsbeheer
Gemeente Den Haag";1
Gemeente Dordrecht: Bureau Monumentenzorg en Archeologie;12
Gemeente Dordrecht: Dordts Archeologisch Centrum (DAC);1
Gemeente Dordrecht: Sector Stadsontwikkeling, Afdeling Ruimtelijke Realisatie, Archeologie;3
"Gemeente Dordrecht: Sector Stadsontwikkeling, Afdeling Ruimtelijke Realisatie, Archeologie
Ruimtelijke Realisatie|Archeologie";1
Gemeente Eindhoven;1
Gemeente Eindhoven & Helmond: Afdeling archeologie;1
Gemeente Eindhoven & Helmond: Archeologisch Centrum Eindhoven en Helmond;1
Gemeente Eindhoven: Archeologisch Centrum Eindhoven;6
Gemeente Eindhoven: Bureau Archeologie;3
Gemeente Gouda: Archeologische dienst|Archeologische Vereniging Golda;4
Gemeente Groningen;1
Gemeente Groningen: Dienst RO|EZ |Stichting Monument en Materiaal;1
Gemeente Helmond;1
Gemeente Hoorn: Bureau Erfgoed Hoorn afdeling Archeologie;3
Gemeente Maastricht: Stadsontwikkeling, afdeling Archeologie & Monumenten;20
Gemeente Nijmegen;1
Gemeente Nijmegen: Bureau Archeologie en Monumenten;1
Gemeente Nijmegen: Bureau Archeologie, Afdeling Stadsontwikkeling;1
Gemeente Rijswijk;2
Gemeente Rotterdam: Bureau Oudheidkundig Onderzoek Gemeentewerken Rotterdam;1
Gemeente Rotterdam: Bureau Oudheidkundig Onderzoek Rotterdam;1
Gemeente Utrecht: Cultuurhistorie Gemeente Utrecht;6
Gemeente Utrecht: Cultuurhistorie Gemeente Utrecht|Archaeo-Zoo;1
Gemeente Utrecht: Team Erfgoed Gemeente Utrecht;1
Gemeente Vlaardingen: Dienst Stadswerken, Bureau Archeologie;2
Gemeente Zaanstad;1
Gemeente Zutphen: Afdeling Archeologie|Archaeo-Zoo;2
Gemeente Zutphen: Sector Ruimte, afdeling BMA|archeologie;1
Gemeente Zwolle;10
Gemeente Zwolle: Eenheid expertisecentrum, Afdeling Stad en Landschap, Monumentenzorg en Archeologie;3
Gemeente Zwolle: team Monarch;2
Groniger Museum;1
Hollandia;11
Hollandia Cultuurhistorisch Onderzoek en Archeologie;7
Hyoid Archeozoölogische Ondersteuning;1
IDDS Archeologie B.V.;1
Institute of Molucular Medicine, Oxford, UK, e.a.;1
Instituut voor Oude Geschiedenis en Archeologie, KUN;5
Instituut voor het Archeologisch Patrimonium, België;1
Koninklijk Belgisch Instituut voor Natuurwetenschappen;4
Limburgs Museum Venlo;3
Nationaal Natuurhistorisch Museum Naturalis;1
Nederlandse Lerarenopleiding Mollerinstituut;4
Onbekend;20
Op persoonlijke titel;42
Op persoonlijke titel|Universiteit van Amsterdam: Instituut voor Pre- en Protohistorie A.E. van Giffen;6
Osmania;5
Osteo, Bureau voor Skeletonderzoek|Archeoplan Eco;9
Osteo, Buro voor Skeletonderzoek;1
Osteo, bureau voor skeletonderzoek;2
Oudheidkundige Kring ''Geertruydenberghe'';1
Provinciaal Museum Kam Nijmegen;1
RAAP Archeologisch Adviesbureau;41
RAAP Archeologisch Adviesbureau, Amsterdam;1
Rijks Geologische Dienst;1
Rijks Geologische Dienst|Universiteit van Amsterdam: Instituut voor Pre- en Protohistorie A.E. van Giffen;1
Rijksdienst voor Archeologie, Cultuurlandschap en Monumenten;4
Rijksdienst voor het Cultureel Erfgoed;14
Rijksdienst voor het Cultureel Erfgoed|Museum Dorestad;1
Rijksdienst voor het Oudheidkundig Bodemonderzoek;333
Rijksdienst voor het Oudheidkundig Bodemonderzoek|AWN: Archeologische Werkgemeenschap voor Nederland;1
Rijksdienst voor het Oudheidkundig Bodemonderzoek|Gemeente Rijswijk: Bureau Monumentenzorg en Archeologie;1
Rijksdienst voor het Oudheidkundig Bodemonderzoek|Nationaal Natuurhistorisch Museum Naturalis;3
Rijksdienst voor het Oudheidkundig Bodemonderzoek|Universiteit Leiden: Anatomisch Laboratorium, Rijksuniversiteit Leiden;1
Rijksdienst voor het Oudheidkundig Bodemonderzoek|Universiteit Leiden: Instituut voor Prehistorie Rijksuniversiteit Leiden;4
Rijksdienst voor het Oudheidkundig Bodemonderzoek|Universiteit Utrecht: Instituut voor Antropobiologie, Rijksuniversiteit Utrecht;1
Rijksdienst voor het Oudheidkundig Bodemonderzoek|Universiteit van Amsterdam: Instituut voor Pre- en Protohistorie A.E. van Giffen;13
Rijksdienst voor het Oudheidkundig Bodemonderzoek|Universiteit van Amsterdam: Instituut voor Pre- en Protohistorie A.E. van Giffen & RMO & Institut Für Anthropologie, Göttingen;1
Rijksmuseum van Oudheden;1
Rijksmuseum van Oudheden|Universiteit Leiden: Instituut voor Prehistorie Rijksuniversiteit Leiden;1
Rijksuniversiteit Groningen;1
Rijksuniversiteit Groningen: Biologisch Archaeologisch Instituut;259
Rijksuniversiteit Groningen: Biologisch Archaeologisch Instituut|ArchaeoBone;7
Rijksuniversiteit Groningen: Biologisch Archaeologisch Instituut|Fries Museum;1
Rijksuniversiteit Groningen: Biologisch Archaeologisch Instituut|Rijksuniversiteit Groningen: Laboratorium voor Anatomie en Embryologie;2
Rijksuniversiteit Groningen: Biologisch Archaeologisch Instituut|ScaraB;2
Rijksuniversiteit Groningen: Biologisch Archaeologisch Instituut|Universiteit van Amsterdam: Instituut voor Pre- en Protohistorie A.E. van Giffen;1
Rijksuniversiteit Groningen: Faculteit voor Anatomie en Embryologie;1
Rijksuniversiteit Groningen: Groninger Instituut voor Archeologie;39
Rijksuniversiteit Groningen: Laboratorium voor Anatomie en Embryologie;4
Rijksuniversiteit Groningen: Vakgroep Archeologie;1
SOB Research;5
ScaraB;46
Smits Anthropologisch Bureau;2
Stichting ArcheoService;8
Stichting Archeologie en Monument;1
Stichting LAB;22
Stichting Leids Archeospecialistisch Bureau;7
Stichting Monument en Materiaal;2
Stichting Monument en Materiaal|Rijksuniversiteit Groningen: Biologisch Archaeologisch Instituut;1
Synthegra Archeologie b.v.;3
Tot op het bot;4
Universiteit Leiden;21
Universiteit Leiden: Anatomisch Laboratorium, Rijksuniversiteit Leiden;3
Universiteit Leiden: Anatomisch-embryologisch Laboratorium Leiden;2
Universiteit Leiden: Archeologisch Centrum;1
Universiteit Leiden: Barge's Anthropologica, afdeling Anatomie, LUMC;1
Universiteit Leiden: Barge's Anthropologica, afdeling Anatomie, LUMC|Rijksdienst voor het Oudheidkundig Bodemonderzoek|ACVU-HBS;1
Universiteit Leiden: Centrum voor fysische anthropologie, Rijksuniversiteit Leiden;1
Universiteit Leiden: Faculteit der Archeologie, Universiteit Leiden;6
Universiteit Leiden: Faculteit der Archeologie, Universiteit Leiden|TNO - Geological Survey of The Netherlands|Rijksuniversiteit Groningen: Center for Isotope Research Groningen University;1
Universiteit Leiden: Instituut voor Prehistorie Rijksuniversiteit Leiden;30
Universiteit Leiden: Instituut voor Prehistorie Rijksuniversiteit Leiden|Universiteit Leiden: Vakgroep Anatomie, Rijksuniversiteit Leiden;1
Universiteit Leiden: Instituut voor Prehistorie Rijksuniversiteit Leiden|Universiteit van Amsterdam: Instituut voor Pre- en Protohistorie A.E. van Giffen;2
Universiteit Leiden|Vrije Universiteit Amsterdam;1
Universiteit Utrecht: Instituut voor Antropobiologie, Rijksuniversiteit Utrecht;1
Universiteit van Amsterdam;11
Universiteit van Amsterdam: Amsterdams Archeologisch Centrum;8
Universiteit van Amsterdam: Instituut voor Pre- en Protohistorie A.E. van Giffen;163
Universiteit van Amsterdam: Instituut voor Pre- en Protohistorie A.E. van Giffen|Gemeente Amsterdam: Afdeling Archeologie, Dienst Publieke Werken;3
Universiteit van Amsterdam: Instituut voor Pre- en Protohistorie A.E. van Giffen|Katholieke Universiteit Nijmegen;3
Universiteit van Amsterdam: Instituut voor Pre- en Protohistorie A.E. van Giffen|Rijksdienst voor het Oudheidkundig Bodemonderzoek;1
Universiteit van Amsterdam: afdeling zooarcheologie, Amsterdams Archeologisch Centrum;1
Universiteit van Amsterdam|Universiteit Leiden;7
Vereniging Archeologische Werkgroep 't Oude Slot (Veldhoven);1
Vrije Universiteit Amsterdam;2
Vrije Universiteit Amsterdam: Archeologisch Instituut van de Vrije Universiteit;5
Vrije Universiteit Amsterdam: Archeologisch Instituut van de Vrije Universiteit |Rijksdienst voor het Oudheidkundig Bodemonderzoek;1
Vrije Universiteit Amsterdam: Archeologisch Instituut van de Vrije Universiteit|Rijksdienst voor het Oudheidkundig Bodemonderzoek;1
Vrije Universiteit Amsterdam: interfacultaire onderzoeksinstituut voor Cultuur, Cognitie, Geschiedenis en Erfgoed;1
Werkgroep Prehistorische Vuursteenmijnbouw, Limburg;3
Westfries Museum|Universiteit van Amsterdam: Instituut voor Pre- en Protohistorie A.E. van Giffen, Amsterdam;1
Zoologisch Museum Amsterdam|Rijksmuseum voor Geologie en Mineralogie;1
Zoölogisch Museum Amsterdam;1
