ACVU-HBS;66
ADC ArcheoProjecten;260
ADC ArcheoProjecten|BAAC BV;2
ADC Archeoprojecten;1
ADC Archeoprojecten, Amersfoort;1
AWN: Afdeling Lek en Merwedestreek;3
AWN: Afdeling Rijnstreek;1
AWN: Archeologische Werkgemeenschap voor Nederland;15
AWN: Archeologische Werkgemeenschap voor Nederland|Rijksdienst voor het Oudheidkundig Bodemonderzoek;1
AWN: Archeologische Werkgemeenschap voor Nederland|Universiteit Leiden: Instituut voor Prehistorie Rijksuniversiteit Leiden;1
AWN: Archeologische Werkgemeenschap voor Nederland|Universiteit van Amsterdam: Instituut voor Pre- en Protohistorie A.E. van Giffen;1
"AWN: Archeologische Werkgroep ""Kop van Noord-Holland""";1
AWN: Archeologische Werkgroep Haarlem;29
AWN: Archeologische Werkgroep Haarlem|Gemeente Haarlem: Monumentenzorg Haarlem;1
AWN: Archeologische Werkgroep Heiloo;2
AWN: Archeologische Werkgroep Helmond;2
AWN: Archeologische Werkgroep Lichtenvoorde;3
AWN: Archeologische Werkgroep Wageningen;1
Aeres Milieu B.V.;10
Afdeling Archeologie Onder Water;2
Anatomisch Museum Leiden| Rijksuniversiteit Groningen: Laboratorium voor Anatomie en Embryologie;2
Antea Group;3
Archaeological Research & Consultancy;84
Archaeological Research & Consultancy|Rijksdienst voor het Oudheidkundig Bodemonderzoek;1
ArcheoDienst BV;7
ArcheoMedia BV;5
ArcheoMedia BV|Arnicon;2
ArcheoSpecialisten;3
Archeologenbureau Argo;7
Archeologie West-Friesland;2
Archeologisch Centrum Vrije Universiteit;21
Archeologisch Diensten Centrum;54
Archeologisch Diensten centrum;3
Archeologisch Diensten centrum|ACVU-HBS;5
Archeologisch Onderzoek Leiden;34
Archeologisch diensten Centrum|Vrije Universiteit Amsterdam: Archeologisch Instituut van de Vrije Universiteit;1
Archeologische Vereniging Golda;5
Archeologische Werkgroep Rura, Roermond;1
Archeologische begeleidingscommissie Leiden;9
Archeologische begeleidingscommissie Leiden|AWN: Archeologische Werkgemeenschap voor Nederland;1
"Archeologische werkgroep van ""Het Oude Slot""";1
Archeoplan Eco;1
Archol BV;41
Archol BV|ADC ArcheoProjecten;21
Artefact! Advies en Onderzoek in Erfgoed!;14
BAAC BV;161
BATO: Beoefenaren Archeologie Tiel en Omstreken;5
BIAX Consult;8
Becker & Van de Graaf;23
Bouwhistorie, Archeologie, Architectuurhistorie en Cultuurhistorie;1
Centrum voor Scheepsarcheologie, Dronten (Ketelhaven);2
De Steekproef;6
De Steekproef B.V. Archeologisch Onderzoeks- en Adviesbureau;5
Diachron;2
Drents Museum;1
Drents Museum|Rijksuniversiteit Groningen: Biologisch Archaeologisch Instituut;2
Earth Integrated Archaeology;1
Ex-Situ Archeologie B.V.;1
Fries Museum;5
Gemeente Alkmaar;16
Gemeente Alkmaar: Afdeling Monumentenzorg en Archeologie;14
Gemeente Alkmaar: Archeologische dienst Alkmaar;1
Gemeente Alkmaar: Bureau monumentenzorg en archeologie Alkmaar;1
