kolom_naam;record_aantal;tabel_naam;aantal_veldwaarden_met_null;aantal_lege_veldwaarde;aantal_veldwaarden_met_lege_lijst;totaal_aantal_veldwaarden;aantal_uunieke_veldwaarden;percentage_unieke_veldwaarden;kolom_is_leeg;veldwaarde_is_uuid;veldwaarde_is_url;veldwaarde_is_email;veldwaarde_is_int;veldwaarde_is_float;veldwaarde_is_bool;veldwaarde_is_dict;veldwaarde_bevat_html;veldwaarde_is_date;veldwaarde_is_str;aantal_decimalen;grootste_int_waarde;langste_str_waarde;primaire_sleutel;vreemde_sleutel;gerelateerde_tabel_naam;gerelateerde_kolom_naam
Zoonr;2866;TblZoo_cluster;0;0;0;2866;2866;1.0;False;0;0;0;2866;0;0;0;0;0;0;0;4;0;true;false;;
Waarnemingsnr;2866;TblZoo_cluster;0;0;0;2546;983;0.39;False;0;0;0;2546;0;0;0;0;0;0;0;6;4;false;false;;
Onderzoeksmeldingsnr;2866;TblZoo_cluster;0;0;0;1242;497;0.4;False;0;0;0;1242;0;0;0;0;0;0;0;6;4;false;false;;
Zaaknummer;2866;TblZoo_cluster;0;0;0;426;151;0.35;False;0;0;0;426;0;0;0;0;0;0;0;7;4;false;false;;
X_coord;2866;TblZoo_cluster;0;0;0;2866;1493;0.52;False;0;0;0;2849;0;0;0;0;5;12;0;6;16;false;false;;
Y_coord;2866;TblZoo_cluster;0;1;0;2865;1457;0.51;False;0;0;0;2846;1;0;0;0;17;0;3;6;4;false;false;;
Toponiem;2866;TblZoo_cluster;0;0;0;2846;1532;0.54;False;0;0;0;0;0;0;2;0;9;2835;0;0;40;false;false;;
Plaats;2866;TblZoo_cluster;0;0;0;2866;551;0.19;False;0;0;0;0;0;0;0;0;0;2866;0;0;28;false;false;;
Gemeente;2866;TblZoo_cluster;0;0;0;2866;346;0.12;False;0;0;0;0;0;0;0;0;0;2866;0;0;34;false;false;;
Provincie;2866;TblZoo_cluster;0;0;0;2866;12;0.0;False;0;0;0;0;0;0;0;0;0;2866;0;0;13;false;true;TblProvincie;Omschrijving
Verwervingswijze;2866;TblZoo_cluster;0;0;0;2866;17;0.01;False;0;0;0;0;0;0;0;0;0;2866;0;0;44;false;true;tblVerwerving;Omschrijving
Datum_einde_veldwerk;2866;TblZoo_cluster;0;0;0;849;391;0.46;False;0;0;0;0;0;0;0;0;837;12;0;0;10;false;false;;
Complextype;2866;TblZoo_cluster;0;0;0;2842;85;0.03;False;0;0;0;0;0;0;0;0;0;2842;0;0;29;false;true;tblComplextype;Omschrijving
Spoortype;2866;TblZoo_cluster;0;0;0;410;28;0.07;False;0;0;0;0;0;0;0;0;0;410;0;0;25;false;true;Tbl_Sporen;sporen
Begin_periode;2866;TblZoo_cluster;0;0;0;2866;50;0.02;False;0;0;0;0;0;0;0;0;0;2866;0;0;8;false;true;TblPeriode;periodecode
Beginjaar;2866;TblZoo_cluster;0;0;0;2866;263;0.09;False;0;0;0;2866;0;0;0;0;0;0;0;6;0;false;false;;
Eind_periode;2866;TblZoo_cluster;0;0;0;2866;51;0.02;False;0;0;0;0;0;0;0;0;0;2866;0;0;8;false;true;TblPeriode;periodecode
Eindjaar;2866;TblZoo_cluster;0;0;0;2866;291;0.1;False;0;0;0;2866;0;0;0;0;0;0;0;6;0;false;false;;
Opgravende_instantie;2866;TblZoo_cluster;0;0;0;2866;222;0.08;False;0;0;0;0;0;0;0;0;0;2866;0;0;196;false;false;;
Onderzoeksinstantie;2866;TblZoo_cluster;0;0;0;2866;214;0.07;False;0;0;0;0;0;0;0;0;0;2866;0;0;188;false;false;;
Onderzoeker;2866;TblZoo_cluster;0;0;0;2866;428;0.15;False;0;0;0;0;0;0;0;0;0;2866;0;0;141;false;false;;
Omvang;2866;TblZoo_cluster;0;0;0;2865;6;0.0;False;0;0;0;0;0;0;0;0;0;2865;0;0;20;false;true;TblKlasse;Omschrijving
Verzamelwijze;2866;TblZoo_cluster;0;0;0;2866;14;0.0;False;0;0;0;0;0;0;0;0;0;2866;0;0;44;false;true;TblVerzamelwijze;Omschrijving
Melder;2866;TblZoo_cluster;0;0;0;2866;10;0.0;False;0;0;0;0;0;0;0;0;0;2866;0;0;20;false;false;;
Datum_invoer;2866;TblZoo_cluster;0;0;0;2866;479;0.17;False;0;0;0;0;0;0;0;0;2866;0;0;0;0;false;false;;
Toelichting;2866;TblZoo_cluster;0;0;0;2865;2335;0.82;False;0;0;0;0;0;0;0;0;0;2865;0;0;255;false;false;;
YYYYMMDD_datum_vondst;2866;TblZoo_cluster;0;0;0;1133;74;0.07;False;0;0;0;1133;0;0;0;0;0;0;0;4;4;false;false;;
Gewogen;2866;TblZoo_cluster;0;0;0;2866;3;0.0;False;0;0;0;0;0;0;0;0;0;2866;0;0;19;false;true;TblGewogen;Omschrijving
