Vlees in het Hertogenhof in Venlo (1375-1425);1
Gebruiksvoorwerpen van been;1
Worked Bone and Antler Objects from Dorestad, Hoogstraat I;1
;0
'Haring lust wel duizend menschen wie zal dan geen haring wenschen’;1
Dierlijk botmateriaal;54
The Vlaardingen Culture (I);1
De grafheuvel 'De Ketenberg' te Eext;1
Een neolithische woonplaats in de polder Vriesland onder Hekelingen (eiland Putten) (Zuid-Holland);1
Examples of animal palaeopathology;1
Twee Laat-Neolithische skeletten uit Noord-Holland. Een fysisch-anthropologisch onderzoek;1
Dierlijk bot;67
Bot uit Romeins Bodegraven;1
Archeologisch onderzoek van twee terpschaduwen op kavel J77 (gemeente Noordoostpolder);1
Archeologisch Nieuws: Zuid-Holland, Schiedam;1
The Antler, Bone, and Tooth Objects from Velzen: A Short Description;1
Zooarcheologisch onderzoek van vroeg-middeleeuws botmateriaal uit de opgraving Hoogmadeseweg te Leiderdorp;1
Archeologisch onderzoek in de binnenstad van Eindhoven;1
"Botten in het zand; de dierlijke botresten";1
The zoological remains on the site of the Roman villa at Voerendaal;1
Zoogdieren en vogels;1
The cemetery;1
Fysisch antropologisch onderzoek van twee crematieresten uit Smeerling- Galbargen;1
"Archeologie; sporen en vondstmateriaal";1
Archeologisch onderzoek van de inhoud van een beerput achter het pand Nieuwe Groenmarkt 6;1
Een mestkuil uit 1300 aan de Pieterseliestraat te Zierikzee;1
An early Mesolihic assemblage with faunal remains in a stream valley near Zutphen, the Netherlands;1
Dierlijke resten van Boxtel, Markt;1
Two Late Neolithic Human Skeletons, a Recent Discovery in The Netherlands;1
Een grafveldje uit de late bronstijd bij Groot-Linden (gem. Beers);1
Les vertebres des fouilles de Hekelingen (Pays Bas);1
On the skull of a lynx, Lynx lynx (Linnaeus, 1758), found in the Roman castellum at Valkenburg, Province of Zuid-Holland, the Netherlands;1
Onderzoek van huisafval : Het organisch materiaal;1
Botanisch en zoölogisch onderzoek;1
Kerk, begraafplaats en bevolking van het in de 16de eeuw verlaten dorp Klaaskinderkerke op Schouwen;1
Het Jacobschaap, een oud Nederlands ras?;1
Bijlage 2. Archeozoologisch onderzoek vindplaats 17;1
Hond en kat in de middeleeuwse stad;1
Botten onder de slaapkamervloer in Kroddeburen (Gr.);1
Archeozoölogisch rapport bij het definitief archeologisch onderzoek: begeleiding en opgraving Lutkenieuwstraat, Groningen.;1
Groot dierlijk bot, Klein dierlijk bot: visresten uit twee middeleeuwse waterputten;1
Dierebotten en rituele maaltijden;1
Is er een verleden voor de oehoe in Nederland?;1
De dieren uit de opgravingen van Van Giffen in Ezinge;1
Barley and Horses: Surplus and Demand in the civitas Batavorum;1
"Faunal remains from Dutch Medieval towns; a survey";1
"Gennep 1989; het botmateriaal";1
Vondsten van metaal, hout, been en leer;1
Een benen drietand uit Wijk bij Duurstede;1
Schranspartijen en knokensoep;1
Archeozoölogisch onderzoek van botmateriaal uit kasteel De Haar;1
D. Zoogdierresten;1
De Federmesser-vindplaats bij Doetinchem (Gld.): Natuurwetenschappelijk onderzoek;1
Vlees en vis op de rijk gevulde dis;1
"Panorama van de stadsarcheologie in Nederland; Hoorn";1
Faunaresten uit een turfschip;1
Archeozoölogisch onderzoek;31
Versierde benen plaatjes;1
De crematieresten: doden, crematie en begraving;1
Het ongehoornde rund in de Nederlandse kuststreken;1
Bijlage 1. Dierlijke resten uit de abdij Middelburg.;1
Nieuwe 14C-dateringen van de Ahrensburg-cultuur in Zuid-Nederland;1
"Het ""zielige"" hondje uit Helmond. Een paleo-pathologische reconstructie van een hondenleven";1
Dierenresten;1
Archeozoologisch onderzoek (Hoofdstuk 10), manuscript/in prep.;1
Palaeopathological evidence for draught cattle on a Roman site in the Netherlands;1
Een Federmesser-site van de Enterse Akkers (gemeente Wierden, Overijssel);1
Fret uit Gorinchem? Opgegraven dierenresten bevatten opvallende vondsten;1
Patterns of land use in early medieval Westergo;1
Studie van het menselijk skeletmateriaal, opgegraven in de Westerkerk te Amsterdam;1
Inkthouders uit de beerput van de Sint-Maartensschool te Groningen;1
Appendix A;1
Dierlijk bot en speciale deposities met dierlijk bot;1
Een ei hoort erbij... Parasieten in en op de 17e-eeuwse bewoners van het Martinikerkhof in Groningen (Gr.);1
Boeren op het veen (1000-1500);1
Kampen tot op het bot;1
Archeozoölogisch onderzoek (onverbrand);1
Een bewerkt stuk hertengewei;1
"Een menselijk skelet uit de Aschbroeken bij Weerdinge (Drenthe); Reconstructie van een misverstand";1
Het botmateriaal uit de 1e Haagstraat;1
Bijlage 1 Archeozoölogisch onderzoek;1
Weekdieren;1
Stevenshofjespolder;1
Vlees, vis en gevogelte in 14de-eeuws Hulst;1
Nieuw licht op het vroeg-middeleeuwse grafritueel;1
Franken in Gennep: op weg naar het centrum;2
Subsistence, in: P.J. Woltering: Occupation History of Texel, IV Middle Bronze Age - Late Iron Age (1350-100 BC);1
"Amsterdams oudste kunstgebit; Warmoesstraatbewoner had nijlpaardtanden";1
De voedselvoorziening;1
Archeozoologie;4
De schedels van Rijckholt;1
Bijlage;1
Pigs, Piglets and Determining the Season of Slaughtering;1
De dierlijke resten uit de nederzettingen;1
Archeozoölogie (bijlage 2);1
Strandlopers op de brandstapel;1
"Identification of archaeological dung deposits on the basis of remains of predatory mites (Acari; Gamasida)";1
De crematieresten. 5.1 Het menselijk botmateriaal;1
"Bijlage 2; archeozoologisch onderzoek";1
De dierlijke resten uit laatmiddeleeuws Elst-Lijnden;1
"Gebruikssporenonderzoek van vier benen 
drietanden";1
Een Romeinse eikelmuis uit Hoogeloon;1
Vreemde vogels in de Keizerstraat;1
"X. Archeo-zoologisch onderzoek van de beerkuil; de resten van zoogdieren, vogels en amfibieen";1
Archeozoölogisch onderzoek van de vindplaats Ede-Op den Berg (2e - 4e eeuw n.Chr.);1
Zoogdieren, vogels, reptielen;2
Voorwerpen van been, gewei en hoorn uit Oost-Souburg;1
Dierlijke resten/Dierlijk botmateriaal;1
