Nijmegen (Bachelor werkstuk Radboud univeristeit Nijmegen);1
;0
Eindhoven (Afdeling Archeologie gemeente Eindhoven);1
Roermond, Aeres Milieu B.V.;3
(ArcheoMedia);3
Szczecin (Agricultural Academy);1
Aarle Rixtel (ongepubliceerd rapport);1
Groningen (ARC);61
Noordwijk, IDDS archeologie;3
Amsterdam (De Bataafsche Leeuw);2
Amsterdam (Doctoraalscriptie VU Amsterdam);1
Swalmen (Econsultancy);1
Amsterdam, Gemeente Amsterdam, Monumenten en Archeologie;1
Tilburg (Scriptie lerarenopleiding Moller Instituut, Tilburg);1
(Werkgroep Prehistorische Vuursteenmijnbouw, Geologische Vereniging Limburg);1
Groningen (Studentenverslag BAI, Rijksuniversiteit Groningen);1
‘s-Hertogenbosch/Deventer (BAAC);1
’s-Hertogenbosch, BAAC bv;3
Wiltshire (Wessex Archaeology Limited);3
Leiden (Verslag bijvak fysische anthroplogie Universiteit Leiden);1
Leiden (Doctoraalscriptie, I.P.L., Universiteit Leiden);1
ongepubliceerd verslag;1
Beek (Afdeling Limburg der Nederlandse Geologische Vereniging);2
Amsterdam/Amersfoort (Academisch proefschrift, Vrije Universiteit Amsterdam/ROB);1
Delft (ArcheoplanEco);275
Oxford (Archaeopress);1
Groningen (Stageverslag BAI, Rijksuniversiteit Groningen);1
Alkmaar (gemeente Alkmaar);3
Amsterdam/Zutphen (gemeente Zutphen);1
Bunschoten (Archeologisch Diensten Centrum);10
Leiden (Doctoraal-scriptie IPL, Universiteit Leiden);1
Breda (Gemeente Breda, Dienst Welzijn);1
Maastricht (Stichting Historische Reeks Maastricht);1
Zutphen (Stichting Archeologie);1
Hoorn (Uniepers);1
Espelkamp (Verlag Marie Leidorf GmbH);1
Leiden, proefschrift Rijksuniversiteit Leiden;1
Amersfoort, ADC-ArcheoProjecten;8
Groningen (J.B. Wolters);2
Oosterhout;1
(Steekproef);1
Mainz (Institut für Vor- und Früligeschichte der Johannes Gutenberg-Universität Mainz);1
Leeuwarden (ArchaeoBone);2
"Gemert (Heemkundekring ""De Kommanderij Gemert)";1
Noordwijk, IDDS Archeologie;1
Groningen (Stichting Monument & Materiaal / Dienst RO/EZ);2
Breda (Gemeente Breda, Afdeling Archeologie);1
Haren;1
Noordwijk (Becker Van de Graaf);1
Utrecht (Uitgeverij Matrijs);5
Den Haag (Gemeente Den Haag, Dienst Stadsbeheer, afdeling Archeologie);1
Woensdrecht (Heemkundekring het Zuiderkwartier);1
Rotterdam (Bureau Oudheidkundig Onderzoek van Gemeentewerken Rotterdam);20
Leiden (Dissertatie Universiteit Leiden);1
Utrecht (gemeente Utrecht);16
Den Haag (Afdeling Archeologie, Dienst Stadbeheer, Gemeente Den Haag);1
Middelburg, Walcherse Archeologische Dienst;3
Delft, Gemeente Delft;1
Amsterdam (practicumverslag Universiteit van Amsterdam);2
Zaandam, Archeologenbureau Argo;2
Hengelo (Aestimatica);1
Zuidhorn, De Steekproef bv Archeologisch Onderzoeks- en Adviesbureau;3
Amsterdam (Bert Bakker);3
Alkmaar, Gemeente Alkmaar;1
Amsterdam (IPP, Universiteit Amsterdam);2
Nijmegen (AWN);1
Groningen, ARC bv;1
Eindhoven (Gemeene Eindhoven);3
Den Haag (Afdeling Archeologie Dienst Stadsbeheer gemeente Den Haag);6
Zutphen (Thieme);2
Hoorn, Archeologie West-Friesland;1
Amsterdam (Doctoraal Scriptie IPP, Universiteit van Amsterdam);1
Weesp (RAAPArcheologgisch adviesbureau);2
Goes/Amersfoort (De Koperen Tuin/ROB);1
Delft (Eburon);11
Gouda (Gemeente Gouda, afd. Stadsvernieuwing, Volkshuisvesting en Monumentenzorg);2
Alphen aan den Rijn;1
Delft (Archeoplaneco);1
(SOB-Research);2
Nijmegen (Becker & Van de Graaf);1
Nijmegen (Provinciaal Museum G.M. Kam);2
Maastricht (Archaeology Section, Department of Urban Development and Ground Maintenance, Municipality of Maastricht);1
Dordrecht (gemeente Dordrecht, Dordts Archeologisch Centrum);8
Groningen (paper studie Biologie Rijksuniversiteit Groningen, uitgevoerd op het BAI);1
Zutphen (gemeente Zutphen);4
Eindhoven (Stichting ArcheoService);8
York (PhD thesis University of York);1
Amsterdam (Doctoraalscriptie, Vrije Universiteit van Amsterdam);1
Amsterdam (Verslag, IPP, Universiteit van Amsterdam);1
Amersfoort;2
Amsterdam, AAC/projectenbureau;1
Zwolle (Gemeente Zwolle);1
Heinenoord (SOB Research);3
Rotterdam (Balkema);1
Goningen (Bijvakscriptie BAI, Rijksuniversiteit Groningen);1
Amsterdam (Doctoraal verslag IPP Universiteit van Amsterdam);1
Leiden (Scriptie, Universiteit Leiden);1
Leiden (scriptie IPL, Universiteit Leiden);1
Maastricht (De Maaswerken, Bureau Kennis);1
Groningen (Rijksuniversiteit Groningen);3
"Den Haag, Afdeling Archeologie en natuur- en milieueducatie
Dienst Stadsbeheer, gemeente Den Haag";1
Amsterdam( Scriptie Vrije Universiteit Amsterdam);1
Nijmegen (gemeente Nijmegen);11
Gorinchem (Intern Rapport voor M. van Klei);1
Amsterdam (Scriptie Vrije Universiteit Amsterdam);1
Iowa/Nijmegen (Scriptie University of Iowa Department of Anthropology/Gemeente Nijmegen Sectie Archeologie);1
Noordwijk;1
's-Gravenhage (SDU uitgeverij);1
 's-Hertogenbosch (Stichting Brabantse Regionale Geschiedbeoefening);1
Groningen (Doktoraalverslag, Rijksuniversiteit Groningen);1
Amsterdam (Intermediair);1
Arnhem, Gemeente Arnhem;1
Amsterdam (Meulenhoff);1
Leeuwarden (Commissie Archeologisch Stadskernonderzoek Leeuwarden);1
Utrecht (Matrijs);1
ongepubliceerd rapport;2
Den Haag (Elpenbeen);2
Leiden (gemeente Leiden);14
Amsterdam (ACVU);7
Leiden (Bijvakscriptie, Universiteit Leiden);3
Kampen (Stichting Archeologie Ijssel/Vechtstreek);2
Delft (Erfgoed Delft en omstreken);3
Den Haag (Gemeente Den Haag, afdeling Archeologie, Dienst Stadsbeheer);12
Eindhoven (Museum Kempenland);6
Heerlen (Nederlandse Geologische Vereniging);1
's-Hertogenbosch (gemeente 's-Hertogenbosch);1
Wageningen (Archeologische Werkgroep Wageningen);1
Eindhoven (Museum Kempenland Eindhoven);1
Groningen (Bijvakscriptie BAI, Rijksuniversiteit Groningen);2
‘s-Hertogenbosch, BAAC - Archeologie en Bouwhistorie;51
Den Haag (Osteo Buro voor Skeletonderzoek);4
Kampen (Stichting Ijsselakademie);1
(ArcheoBone);76
(Uitgeverij Uniepers);1
Nijmegen (Katholieke Universiteit Nijmegen, Afdeling Provinciaal-Romeinse Archeologie);1
Windum (Scarab);38
Zaandam (BIAX);15
(RAAP);1
Haren, ArchaeoBone;1
 (Werkgroep Prehistorische Vuursteenmijnbouw, Geologische Vereniging Limburg);1
Zwolle (gemeente Zwolle);8
Gouda (Gemeente Gouda, afdeling SVM);2
Groningen (Stichting Monumenten en Materiaal);1
Groningen, University of Groningen;1
Bunschoten, ADC;2
(Stichting Archeologie Ijssel/Vechtstreek);1
Köln/Wien (Böhlau);1
Alkmaar, Hollandia Archeologie BV;1
Rotterdam/Brookfield (Balkema);1
Leiden/Amsterdam/Amersfoort (Doctoraalscriptie IPL/IPP/ROB);1
Groningen (Stichting Gebroeders Hesse Fonds/Regio-Project-Uitgevers);1
Groningen (Doktoraalscripte iBAI, Rijksuniversiteit Groningen);1
Amsterdam (Archeo-Zoo);1
Alkmaar, RAMA;1
Amsterdam (Scriptie hoofdvak IPP, Universiteit van Amsterdam);3
Middelburg (Walcherse Archeologische Dienst);2
Leiden (Doctoraalscriptie IPL, Universiteit Leiden);1
Zwolle (Waanders);1
Leiden (Stichting LAB);5
Rhaden/Westphalen (Verlag Marie Leidorf GmbH);1
Amsterdam (Scriptie zoo-archeologie IPP, Universiteit van Amsterdam);1
Leiden (bijvakscriptie IPL, Universiteit Leiden);2
Leiden, Archol;1
Amsterdam (Amsterdam University Press);4
Leiden (Leiden University Medical Center);1
Amsterdam, Archeologisch Centrum Vrije Universiteit;2
Groningen (proefschrift Rijksuniversiteit Groningen);1
(Ongepubl.);1
Zaandam (Archeologenbureau Argo);2
Zaandam (Argo);2
Deventer (BAAC);2
Amsterdam (IPP-bijvakscriptie, Universiteit van Amsterdam);1
Lelystad (Stichting Uitgeverij de Twaalfde Provincie);1
London (Thames and Hudson);1
Nijmegen (Stichting Stadsarcheologie Nijmegen);1
Tilburg (afstudeerverslag, Moller-instituut);1
Leeuwarden (ArcheoBone);1
Groningen (Gemeente Groningen);1
(Earth Integrated Archaeology);3
Groningen (Doctoraalscriptie, Rijksuniversiteit Groningen);2
Groningen (Doctoraalscriptie BAI, Rijksuniversiteit Groningen);2
Haarlem (De Vrieseborch);1
Amersfoort (RACM);8
's-Hertogenbosch;1
Oxford (Clarendon Press);1
Wiesbaden (Dr. Ludwig Reichert Verlag);1
‘s-Hertogenbosch (BAAC bv.);1
Amsterdam (Doctoraalverslag IPP, Universiteit van Amsterdam);1
Leiden (Kleine scriptie IPL, Universiteit Leiden);2
Dordrecht (Gemeente Dordrecht, Sector Stadsontwikkeling / Afdeling Inrichting Stadsdelen);1
Utrecht, Afdeling Erfgoed gemeente Utrecht;2
Amersfoort, ADC ArcheoProjecten;13
Leiden, Archol BV;29
Leiden (Rijksmuseum van Natuurlijke Historie);1
Amersfoort, Vestiga BV;1
Groningen (Doctoraalverslag BAI, Rijksuniversiteit Groningen);4
Den Haag, Gemeente Den Haag Afdeling Archeologie;2
Amsterdam (Doctoraalscriptie IPP, Universiteit van Amsterdam);5
Den Haag (Staatsuitgeverij);2
Leiden (Bachelor scriptie Universietit Leiden);1
Gouda/Delft (Stichting SPOOR/ Gemeente Gouda/ Eburon);2
Assen (Van Gorcum);4
Groningen (Scriptie BAI, Rijksuniversiteit Groningen);6
Amersfoort, Rijksdienst voor het Cultureelerfgoed;1
Zwolle (Stichting Promotie Archeologie);7
Vlaardingen (Het Vlaardings Archeologisch Kantoor, gemeente Vlaardingen);2
Zaandijk (Uitgeverij Batenburg);1
(Werkgroep Prehistorische Vuursteenmijnbouw, Geolologische Vereniging afd. Limburg);1
Den Haag (Staatsdrukkerij en Uitgeverij);1
Groningen (Proefschrift, Rijksuniversiteit Groningen);1
Dordrecht (Bureau Monumentenzorg en Archeologie gemeente Dordrecht);1
Breda (gemeente Breda);1
Nijmegen, Gemeente Nijmegen, Bureau Leefomgevingskwaliteit | Archeologie;1
Groningen;1
Groningen (Doktoraalverslag Archaeozoologie, Rijksuniversiteit Groningen);1
Den Haag (Afdeling Archeologie, Dienst Stadsbeheer, gemeente Den Haag);5
(Synthegra);5
(Helbing & Lichtenhahn);1
Assen (Drents Museum);1
(Scriptie IPP, Universiteit van Amsterdam);1
Groningen (Groninger Museum);1
Venlo (Limburgs museum);3
(Hollandia);1
Amsterdam (ArcheoZoo);4
Amsterdam (ACVU-HBS);35
Rijswijk (Gemeente Rijswijk, Bureau Monumentenzorg en Archeologie);1
Oxford (Oxbow Books);5
Amsterdam (IPP, Universiteit van Amsterdam);3
Groningen (Doctoraalverslag BAI, Rijksuniversiteit Groningen.;1
Leiden (Bijvakscriptie IPL, Universiteit Leiden);1
Amertsfoort (ADC ArcheoProjecten);3
's-Hertogenbosch (BAAC);1
Zutphen (Walburg Pers);5
(Rijksmuseum voor Oudheden);1
Amsterdam (Vuhbs);2
Nijmegen (Katholieke Universiteit Nijmegen);1
Zwolle, Gemeente Zwolle;6
Nijmegen, Bureau Archeologie en Bodemkwaliteit gemeente Nijmegen;3
Saonara (Logos);1
Amsterdam (Proefschrift, Vrije Universiteit Amsterdam);2
Szczecin;1
Amersfoort (ADC ArcheoProjecten;1
Oxford;1
Goes (de Koperen Tuin);2
(A.B.A.C.O. Edizioni);1
Amsterdam (materiaalpracticum, zoolab AAC, Universiteit van Amsterdam);1
Amersfoort (RCE);6
Wormer (Inmerc );1
Amsterdam, VUhbs archeologie Amsterdam;1
Haarlem (gemeente Haarlem);20
Amsterdam (practicumverslag zoolab AAC, Universiteit van Amsterdam);1
Amsterdam (Scriptie AAC, Universiteit van Amsterdam);1
‘s-Hertogenbosch/Deventer (BAAC bv);1
Zeist, Ex-Situ Archeologie B.V.;1
Tilburg/Amsterdam (Scriptie Faculteit Educatieve Opleidingen, Hogeschool Katholieke Leergangen Tilburg/IPP, Universiteit van Amsterdam);1
Utrecht;1
Groningen (Proefschrift Rijksuniversiteit Groningen);8
Leiden/Amsterdam (Scriptie IPP/IPL, Universiteit van Amsterdam/Universiteit Leiden);1
Amsterdam (Scriptie IPP, Universiteit van Amsterdam);18
Vlaardingen (gemeente Vlaardingen);1
Haarlem (Fibula-Van Dishoeck);2
Groningen (BAI, Rijksuniversiteit Groningen);5
Amsterdam (Bijvakscriptie AAC, Universiteit van Amsterdam);1
Aalten (Uitgeverij Fagus);1
Rotterdam (A.A. Balkema);1
Alkmaar (Gemeente Alkmaar);1
Groningen (Doctoraalscriptie & Catalogus, Rijksuniversiteit Groningen);1
Amersfoort (ROB);233
Delft, Archeologie Delft|Leiden, Sidestone Press;1
Waalre (Stichting Brabants Heem);1
Breda, Antea Group;3
Sellingen (Stichting Vesting Bourtange);1
Leiden (Doctoraalscripie IPL, Universiteit Leiden);1
's-Hertogenbosch (Kring Vrienden van 's-Hertogenbosch);1
