kolom_naam;record_aantal;tabel_naam;aantal_veldwaarden_met_null;aantal_lege_veldwaarde;aantal_veldwaarden_met_lege_lijst;totaal_aantal_veldwaarden;aantal_uunieke_veldwaarden;percentage_unieke_veldwaarden;kolom_is_leeg;veldwaarde_is_uuid;veldwaarde_is_url;veldwaarde_is_email;veldwaarde_is_int;veldwaarde_is_float;veldwaarde_is_bool;veldwaarde_is_dict;veldwaarde_bevat_html;veldwaarde_is_date;veldwaarde_is_str;aantal_decimalen;grootste_int_waarde;langste_str_waarde;primaire_sleutel;vreemde_sleutel;gerelateerde_tabel_naam;gerelateerde_kolom_naam
Publicatienr;2011;TblZoo_publicatie_verbeterd;0;0;0;2011;2011;1.0;False;0;0;0;0;2011;0;0;0;0;0;1;4;0;false;false;;
Auteur 1;2011;TblZoo_publicatie_verbeterd;0;0;0;2011;365;0.18;False;0;0;0;0;0;0;0;0;0;2011;0;0;28;false;false;;
Auteur 2;2011;TblZoo_publicatie_verbeterd;0;0;0;498;184;0.37;False;0;0;0;0;0;0;0;0;0;498;0;0;32;false;false;;
Auteur 3;2011;TblZoo_publicatie_verbeterd;0;0;0;180;95;0.53;False;0;0;0;0;0;0;0;0;0;180;0;0;28;false;false;;
Auteur 4;2011;TblZoo_publicatie_verbeterd;0;0;0;64;42;0.66;False;0;0;0;0;0;0;0;0;0;64;0;0;21;false;false;;
Auteur 5;2011;TblZoo_publicatie_verbeterd;0;0;0;23;22;0.96;False;0;0;0;0;0;0;0;0;0;23;0;0;20;false;false;;
Meer dan 5 auteurs;2011;TblZoo_publicatie_verbeterd;0;0;0;2011;2;0.0;False;0;0;0;0;0;2011;0;0;0;0;0;0;0;false;false;;
Overige auteurs;2011;TblZoo_publicatie_verbeterd;0;0;0;16;7;0.44;False;0;0;0;0;0;0;0;0;0;16;0;0;57;false;false;;
Redactie;2011;TblZoo_publicatie_verbeterd;0;0;0;41;2;0.05;False;0;0;0;8;0;0;0;0;0;33;0;1;4;false;false;;
Jaar;2011;TblZoo_publicatie_verbeterd;0;0;0;2009;66;0.03;False;0;0;0;2007;0;0;0;0;0;2;0;4;9;false;false;;
Artikel_titel;2011;TblZoo_publicatie_verbeterd;0;243;0;1374;755;0.55;False;0;0;0;0;0;0;0;0;0;1131;0;0;164;false;false;;
Boektitel;2011;TblZoo_publicatie_verbeterd;0;346;0;1991;1528;0.77;False;0;0;0;0;0;0;0;0;0;1645;0;0;255;false;false;;
Periodiek;2011;TblZoo_publicatie_verbeterd;0;26;0;2001;234;0.12;False;0;0;0;0;0;0;0;0;0;1975;0;0;80;false;false;;
Deel;2011;TblZoo_publicatie_verbeterd;0;331;0;1993;843;0.42;False;0;0;0;1228;26;0;0;0;135;273;4;8;50;false;false;;
Paginanr;2011;TblZoo_publicatie_verbeterd;0;0;0;1051;905;0.86;False;0;0;0;69;0;0;0;0;61;921;0;3;24;false;false;;
Plaats van uitgave(Uitgever);2011;TblZoo_publicatie_verbeterd;0;0;0;1639;329;0.2;False;0;0;0;0;0;0;0;0;0;1639;0;0;135;false;false;;
PDF;2011;TblZoo_publicatie_verbeterd;0;0;0;2011;2;0.0;False;0;0;0;0;0;2011;0;0;0;0;0;0;0;false;false;;
Bibliotheek plaatsingscode;2011;TblZoo_publicatie_verbeterd;0;0;0;1;1;1.0;False;0;0;0;0;0;0;0;0;0;1;0;0;15;false;false;;
DOI;2011;TblZoo_publicatie_verbeterd;0;0;0;124;113;0.91;False;0;124;0;0;0;0;0;0;0;0;0;0;47;false;false;;
