;0
Gestutzte Kopfschildschnecke;1
Gerade Scheidenmuschel;1
Inkarnatschnecke;1
Glatte Schließmundschnecke;1
Kurze Glasschnecke;1
Pantoffelschnecke;1
Bezahnte Glattsnecke;1
Genabelte Buckelschnecke;1
Falten-Erbsenmuschel;1
Dunkers Quellschnecke;1
Spitze Sumpfdeckelschnecke;1
Gefleckte Knopfschnecke;1
Strahlige Trogmuschel;1
Marschenschnecke;1
Längliche Sumpfschnecke;1
Rosige Ausschnittschnecke;1
Stachelige Streuschnecke;1
Dünenschnecke;1
Gewöhnliche Bohrmuschel;1
Rauhe Strandschnecke;1
Schweizer Glanzschnecke;1
Kleine Bernsteinschnecke;1
Kugelige Glasschnecke;1
Amerikanisches Posthörnchen;1
Gemeine Teichmuschel;1
Zweizähnige Schließmundschnecke;1
Teppichmuschel;1
Ohrschlammschnecke;1
Amerikanische Bohrmuschel;1
Kleine Pilgermuschel;1
Kentschnecke;1
Rotes Wendeltürmchen;1
Gemeine Flußdeckelschnecke;1
Posthörnchen;1
Spitzhornschnecke;1
Aufgeblasene Flußmuschel;1
Kalmar;1
Kleine Glanzschnecke;1
Nadel-Kronenschnecke;1
Weisse Bohrmuschel;1
Genetzte Ackerschnecke;1
Graue Kreiselschnecke;1
Goldrandporzellane;1
Zierliche Tellerschnecke;1
Gemeine Strandschnecke;1
Ohrförmige Glasschnecke;1
Flache Mützenschnecke;1
Flache Federkiemenschnecke;1
Keller-Glanzschnecke;1
Schlanke Bernsteinschnecke;1
Weinbergschnecke;1
Quendelschnecke;1
Grosse Nussmuschel;1
Pilzschnegel;1
Dreieckige Erbsenmuschel;1
Gemeine Napfschnecke;1
Kleine Sumpfschnecke;1
Gerippte Purperschnecke;1
Zauberbuckel;1
Gemeine Schlammschnecke;1
Gemeine Turmschnecke;1
Gemeine Windelschnecke;1
Rotmündige Heideschnecke;1
Gemeine Glattschnecke;1
Baumschnegel;1
Große Glasschnecke;1
Eckige Erbsenmuschel;1
Tigerschnegel;1
Venusmuschel;1
Essbare Herzmuschel;1
Dunkles Kegelchen;1
Nordischer Kalmar;1
Gemeine Kahnschencke;1
Spindelförmige Schließmundschnecke;1
Warzige Venusmuschel;1
Gemeine Bernsteinschnecke;1
Knotige Herzmuschel;1
Glänzende Tellerschnecke;1
Schwellenschnecke;1
Helles Kegelchen;1
Gemeine Wattschnecke;1
Schlanke Spitzschnecke;1
Braune Wegschnecke;1
Riemenschnecke;1
Bauchige Schnautzenschnecke;1
Rötliche Glanzschnecke;1
Rötliche Bernsteinschnecke;1
Mittlere Glattschnecke;1
Gebänderte Dreiecksmuschel;1
Gemeiner Elefantenzahn;1
Brackwasser-Dreikantmuschel;1
Bauchige Windelschnecke;1
Wendeltreppe;1
Moos-Blasenschnecke;1
Gemeine Malermuschel;1
Grosse Pilgermuschel;1
Große Teichmuschel;1
Gürtelrissoe;1
Stumpfe Strandschnecke;1
Spitze Blasenschnecke;1
Geldporzellane;1
Baumschnecke;1
Fluß-Steinkleber;1
Bunte Kammuschel;1
Westliche Heideschnecke;1
Riemen-Tellerschnecke;1
Schlanke Zwerghornschnecke;1
Gemeiner Krake;1
Weitmündige Glanzschnecke;1
Rändel-Käferschnecke;1
Schwarzer Schnegel;1
Gemeine Schnautzenschnecke;1
Gemeine Kristallschnecke;1
Klaffmuschel;1
Glänzende Nabelschnecke;1
Gläserner schlafrock;1
Ungarkappe;1
Salz-Bernsteinschnecke;1
Pelikanfuss;1
Fluß-Kugelmuschel;1
Gefurchte Scheidenmuschel;1
Weitgenabelte Kristallschnecke;1
Gemeine-Federkiemenschnecke;1
Wandermuschel;1
Arktische Kaurischnecke;1
Streifenglanzschnecke;1
Fasanenschnecke;1
Wald-Wegschnecke;1
Glatte Grasschnecke;1
Linksgewundene Windelschnecke;1
Grosse Nabelschnecke;1
Weißmündige Tellerschnecke;1
Europäische Auster;1
Großer Kielschnegel;1
Steinpicker;1
Meermandel;1
Roggenkornschnecke;1
Dickschalige Kugelmuschel;1
Zahnlose Schließmundschnecke;1
Tintenfish;1
Flache Teichmuschel;1
Große-Erbsenmuschel;1
Kleine Sepia;1
Glattes Tellerschnecke;1
Flußnapfschnecke;1
Wasserschnegel;1
Kleine Glattschnecke;1
Messermuschel;1
Gekielte Tellerschnecke;1
