kolom_naam;record_aantal;tabel_naam;aantal_veldwaarden_met_null;aantal_lege_veldwaarde;aantal_veldwaarden_met_lege_lijst;totaal_aantal_veldwaarden;aantal_uunieke_veldwaarden;percentage_unieke_veldwaarden;kolom_is_leeg;veldwaarde_is_uuid;veldwaarde_is_url;veldwaarde_is_email;veldwaarde_is_int;veldwaarde_is_float;veldwaarde_is_bool;veldwaarde_is_dict;veldwaarde_bevat_html;veldwaarde_is_date;veldwaarde_is_str;aantal_decimalen;grootste_int_waarde;langste_str_waarde;primaire_sleutel;vreemde_sleutel;gerelateerde_tabel_naam;gerelateerde_kolom_naam
Soortnummer;626;Weekdieren;0;0;0;626;626;1.0;False;0;0;0;626;0;0;0;0;0;0;0;6;0;false;false;;
Groepnummer;626;Weekdieren;0;0;0;626;1;0.0;False;0;0;0;626;0;0;0;0;0;0;0;2;0;false;false;;
Wetenschappelijke naam;626;Weekdieren;0;0;0;626;626;1.0;False;0;0;0;0;0;0;0;0;0;626;0;0;43;false;false;;
Auteursnaam;626;Weekdieren;0;0;0;626;250;0.4;False;0;0;0;0;0;0;0;0;0;626;0;0;28;false;false;;
Nederlandse naam;626;Weekdieren;0;0;0;626;585;0.93;False;0;0;0;0;0;0;0;0;0;626;0;0;30;false;false;;
Subgroep;626;Weekdieren;0;0;0;626;5;0.01;False;0;0;0;0;0;0;0;0;0;626;0;0;14;false;false;;
Systematisch niveau;626;Weekdieren;0;0;0;626;2;0.0;False;0;0;0;0;0;0;0;0;0;626;0;0;10;false;false;;
Status 1;626;Weekdieren;0;0;0;617;3;0.0;False;0;0;0;0;0;0;0;0;0;617;0;0;4;false;false;;
Status 2;626;Weekdieren;0;0;0;82;3;0.04;False;0;0;0;0;0;0;0;0;0;82;0;0;4;false;false;;
Alleen Belgie;626;Weekdieren;0;0;0;23;1;0.04;False;0;0;0;0;0;0;0;0;0;23;0;0;4;false;false;;
Familienummer;626;Weekdieren;0;0;0;626;165;0.26;False;0;0;0;626;0;0;0;0;0;0;0;3;0;false;false;;
Familienaam;626;Weekdieren;0;0;0;626;165;0.26;False;0;0;0;0;0;0;0;0;0;626;0;0;17;false;false;;
Flora Faunawet;626;Weekdieren;0;0;0;3;2;0.67;False;0;0;0;0;0;0;0;0;0;3;0;0;5;false;false;;
Doelsoort;626;Weekdieren;0;0;0;4;1;0.25;False;0;0;0;0;0;0;0;0;0;4;0;0;4;false;false;;
Rode Lijst;626;Weekdieren;0;0;0;192;9;0.05;False;0;0;0;0;0;0;0;0;0;192;0;0;7;false;false;;
Rode Lijst uitgebreid;626;Weekdieren;0;0;0;170;17;0.1;False;0;0;0;0;0;0;0;0;0;170;0;0;5;false;false;;
Habitatrichtlijn 1;626;Weekdieren;0;0;0;4;2;0.5;False;0;0;0;4;0;0;0;0;0;0;0;1;4;false;false;;
Habitatrichtlijn 2;626;Weekdieren;0;0;0;1;1;1.0;False;0;0;0;1;0;0;0;0;0;0;0;1;4;false;false;;
Conventie van Bern;626;Weekdieren;0;0;0;1;1;1.0;False;0;0;0;1;0;0;0;0;0;0;0;1;4;false;false;;
Rode Lijst Europa;626;Weekdieren;0;0;0;11;3;0.27;False;0;0;0;0;0;0;0;0;0;11;0;0;4;false;false;;
IUCN;626;Weekdieren;0;0;0;4;2;0.5;False;0;0;0;0;0;0;0;0;0;4;0;0;6;false;false;;
Atlas landslak;626;Weekdieren;0;0;0;99;1;0.01;False;0;0;0;0;0;0;0;0;0;99;0;0;4;false;false;;
Atlas zoobenthos;626;Weekdieren;0;0;0;13;1;0.08;False;0;0;0;0;0;0;0;0;0;13;0;0;4;false;false;;
Biotoop 1;626;Weekdieren;0;0;0;617;4;0.01;False;0;0;0;0;0;0;0;0;0;617;0;0;4;false;false;;
Biotoop 2;626;Weekdieren;0;0;0;4;1;0.25;False;0;0;0;0;0;0;0;0;0;4;0;0;4;false;false;;
Voorkomen;626;Weekdieren;0;0;0;318;6;0.02;False;0;0;0;0;0;0;0;0;0;318;0;0;4;false;false;;
Duitse naam;626;Weekdieren;0;0;0;236;236;1.0;False;0;0;0;0;0;0;0;0;0;236;0;0;35;false;false;;
Engelse naam;626;Weekdieren;0;0;0;306;304;0.99;False;0;0;0;0;0;0;0;0;0;306;0;0;28;false;false;;
