Graafstal;2
Gemeente Echt-Susteren;10
Gemeente Leidschendam;22
Gemeente Steenderen;1
Gemeente Scherpenzeel;1
Gemeente Sint-Michielsgestel;10
;0
Gemeente Sint-Anthonis;4
Gemeente Groenlo;17
Gemeente Hunsel;2
Gemeente Lisse;9
Gemeente Wunseradiel;3
Gemeente Leek;22
Gemeente Deurne;20
Gemeente Skartserlan;2
Siemons;1
Meijlink;4
Gemeente De Marne;36
Provincie Limburg;528
Gemeente Heusden;10
Gemeente Eemnes;2
Manders;1
Afdeling Monumentenzorg en Archeologie Gemeente Alkmaar;9
GEMEENTE MAASDONK;1
Vermeulen;45
Gemeente Opsterland;9
Borsboom;1
Stassen;25
Gemeente Nuth;3
Gemeente Goirle;5
Gemeente Reimerswaal;25
Archeologie Deventer RMW-VHMZ;8
Gemeente Roosendaal;11
Gemeente Hoorn;19
Gemeente Stede Broec;13
Gemeente Castricum;37
Gemeente Kampen;12
Gemeente Reiderland;15
Gemeente Breukelen;3
GEMEENTE DIEMEN;4
Lingewaard;28
Bureau Oudheidkundig Onderzoek Gemeentewerken Rotterdam;140
GEMEENTE AA EN HUNZE;5
Gemeente Ede;79
Gemeente Geldrop-Mierlo;3
Gemeente Zoetermeer;14
Gemeente Woudenberg;6
Holthausen;1
Debunne;2
Geerts;2
Gemeente Olst-Wijhe;2
PROJECTGROEP ARCHEOLOGIE BETUWEROUTE;1
Gemeente Haarlem;54
GEMEENTE CULEMBORG;8
GEMEENTE ERMELO;9
Gemeente Lochem;16
GEMEENTE DUIVEN;9
Gemeente Lichtenvoorde;2
Gemeente Goes;45
Gemeente Rheden;12
GEMEENTE AALBURG;9
Gemeente Rijnwoude;14
Peen;3
Gemeente Maasbree;5
Gemeente Gemert-Bakel;20
Waasdorp;2
Roode, van;1
Gemeente Schoonhoven;5
Gemeente Maasdonk;6
Gemeente Sliedrecht;1
Cruysheer;1
Bureau Cultureel Erfgoed;5
Rijkswaterstaat;69
Gemeente Medemblik;19
Gemeente Sassenheim;1
GEMEENTE ALPHEN-CHAAM;11
Spanjer;6
Gemeente Wierden;14
Gemeente Noord-Beveland;9
Gemeente Leiden;160
Besuijen;1
Gemeente Alkmaar;35
Gemeente Baarle-Nassau;11
Gemeente Schinnen;1
Aalburg;4
Gemeente Almere;141
ADC ArcheoProjecten;3
Gemeente Alphen aan den Rijn;30
Gemeente Achtkarspelen;6
Gemeente Ubbergen;21
Archeologisch en Bouwhistorisch Centrum;6
Roeloffs;4
Gemeente Veere;58
GEMEENTE EEMSMOND;53
van Duinen;6
GEMEENTE APPINGEDAM;53
Gemeente Zijpe;7
Gemeente 's-Hertogenbosch;56
Gemeente Oldebroek;7
Gemeente Rozendaal;3
ROOS;5
Gemeente Son en Breugel;7
Verschuur;1
Gemeente Voorschoten;23
GEMEENTE ECHT;4
Gemeente Brielle;19
Mars;3
Gemeente Dongeradeel;2
Gemeente Meerssen;5
Gemeente Druten;13
Gemeente;5772
Gemeente Valkenburg;1
GEMEENTE BERGEN OP ZOOM;3
Gemeente Leudal;7
Gemeente Veenendaal;6
Gemeente Ommen;4
Dorst;1
Bruin, de;1
GEMEENTE DRIMMELEN;11
Gemeente Franekeradeel;8
Gemeente Rhenen;9
Bouwhistorie,  Archeologie en Monumenten, 's-Hertogenbosch;1
Gemeente Harlingen;21
Gemeente Culenborg;11
Gemeente Bleiswijk;1
Huisman;2
Gemeente Best;12
Gemeente Bergeyk;8
Gemeente Loosdrecht;1
Gemeente Winschoten;13
Gemeente Bronckhorst;50
GEMEENTE ABCOUDE;10
BARWASSER;7
Gemeente Slochteren;44
Gemeente Westvoorne;9
Carmiggelt;1
Gemeente Lith;5
Gemeente Gendringen;1
Gemeente Zederik;8
Voormolen;3
Gemeente Giessenlanden;7
Gemeente Weststellingwerf;7
Boer, de;2
Gemeente Hof van Twente;7
Franzen;32
Gemeente Zelhem;4
Provincie Zeeland;170
Groninger Instituut voor Archeologie;5
Roode;1
Sanden, van der;61
Gemeente Meijel;2
Veenman;1
Gemeente Zundert;10
Genabeek , van;4
Provincie Fryslan;376
Gemeente Sneek;7
Gemeente Menterwolde;11
Gemeente Leiderdorp;11
Gemeente Katwijk;62
Gemeente Utrecht;132
Gemeente Susteren;1
GEMEENTE DELFZIJL;53
Dolmans;9
Gemeente Bladel;22
Gemeente Heerenveen;5
GEMEENTE BEESEL;2
Gemeente Schagen;6
Geraeds;1
Kloosterman;1
Gemeente Texel;10
Gemeente Renkum;2
Gemeente Boxtel;21
GEMEENTE FERWERDERADIEL;8
Gemeente Winsum;24
Gemeente Millingen aan den Rijn;2
Gemeente Raalte;5
Gemeente Lingewaal;22
Gemeente Dordrecht;39
Gemeente Binnenmaas;19
Gemeente Schijndel;5
Gemeente Schermer;1
Aarts;10
Gemeente Zeewolde;1
Gemeente Ouder-Amstel;3
Gemeente Nederweert;7
Groothedde;8
Gemeente Heel;1
ArchAeO Archeologische advisering en Ondersteuning;1
Gemeente Smallingerland;1
GEMEENTE ETTEN-LEUR;7
Diverse eigenaren;5
Gemeente Leusden;14
Gemeente Werkendam;8
Gemeente Schipluiden;1
Gemeente Eersel;16
Vlaardings Archeologisch Kantoor;28
Gemeente Wieringen;4
Gemeente Kerkwijk;1
Gemeente Oostflakkee;1
Rooijen, van;2
Instituut voor Prehistorie RUL;1
Gemeente Den Helder;9
Gemeente Strijen;7
Gemeente Hardenberg;10
Gemeente Waalwijk;15
Gemeente Vlagtwedde;18
Gemeente Zeist;7
Gemeente West Maas en Waal;32
Archeologisch Onderzoek Leiden BV;2
Gemeente Ouderkerk;4
Gemeente Zwijndrecht;14
GEMEENTE ALKEMADE;1
Hogestijn;2
Gemeente Leeuwarden;11
Particulier;14
Gemeente Vianen;24
Gemeente Renswoude;5
GEMEENTE PURMEREND;18
Gemeente Bussum;4
Gemeente Woudrichem;12
GEMEENTE ALBRANDSWAARD;5
Gemeente Oud-Beijerland;8
Rijn, van;1
Proos;303
Gemeente Hellevoetsluis;16
GEMEENTE 'S-HERTOGENBOSCH;10
Vreenegoor;2
GEMEENTE EPE;11
Gemeente Wageningen;6
Gemeente Beverwijk;27
Afdeling Archeologie, Dienst Stadsbeheer, Gemeente Den Haag;6
Reijnen;1
Gemeente Zaltbommel;33
Archeomedia / Arnicon;1
GEMEENTE EDAM;12
Amsterdams Archeologisch Centrum (UvA);6
Archeologie West-Friesland, Hoorn;4
DUIVEN;1
Gemeente Zierikzee;2
GEMEENTE BEDUM;24
Gemeente Doetinchem;55
Gemeente Didam;3
Gemeente Hoogeveen;8
Kerkhoven;4
Gemeente Landerd;13
GEMEENTE AMERONGEN;1
Gemeente Huizen;5
Gemeente Heiloo;16
Gemeente Reeuwijk;4
Gemeente Westland;70
Provincie Noord-Brabant;518
Gemeente IJsselstein;19
GEMEENTE BARENDRECHT;12
Gemeente Hoogezand-Sappemeer;19
Gemeente Bodegraven;22
Gemeente Liemeer;1
Gemeente Graafstroom;6
Gemeente Winterswijk;17
Omgevingsdienst regio Utrecht;8
Gemeente Kessel;3
Gemeente Mill en Sint Hubert;4
Gemeente Oisterwijk;10
GEMEENTE EMMEN;18
GEMEENTE EIJSDEN;3
Gemeente Leerdam;13
Gemeente Vorden;2
Gemeente Neder-Betuwe;18
Gemeente Landgraaf;1
Gemeente Tiel;68
Waterschappen;1
Parlevliet;5
Gemeente Heerde;6
DIJK;1
Provincie Gelderland;391
Gemeente Geldrop;4
Gemeente Onderbanken;5
Gemeente Haaksbergen;9
Gemeente Assen;3
Rooij, de;2
GEMEENTE DIRKSLAND;1
Peters;1
Gemeente Heeze-Leende;17
Gemeente Meppel;6
GEMEENTE PAPENDRECHT;2
GEMEENTE CAPELLE AAN DEN IJSSEL;2
Gemeente Kerkrade;3
Gemeente Ridderkerk;11
Rijksdienst voor Archeologie, Cultuurlandschap en Monumenten;116
Gemeente Hendrick-Ido-Ambacht;4
GEMEENTE ELBURG;8
Gemeente Oudewater;18
Gemeente Simpelveld;3
Provincie Overijssel;152
Gemeente Harderwijk;7
Gemeente Boarnsterhiem;4
Gemeente Wijk bij Duurstede;12
Gemeente Sint-Oedenrode;17
Gemeente Haarlemmermeer;4
Gemeente Nijkerk;19
Gemeente Doesburg;2
Gemeente Rijssen;4
Archeologische Dienst Gemeente Hoorn;4
Gemeente Andijk;3
Gemeente Akersloot;2
Poldermans;3
A, van der;23
Onbekend;4000
Gemeente Boer, Ten;7
Vanneste;1
Gemeente Baarn;8
Gemeente Vlissingen;22
Het Rijk;2
Walcherse Archeologische Dienst;3
GEMEENTE BERNHEZE;13
Bureau Monumenten & Archeologie Amsterdam;9
Gemeente Wymbritseradiel;1
Gemeente Noordwijkerhout;20
Overige (niet particuliere) eigenaar;27
Meffert;99
Bruijn, de;1
Gemeente Gorinchem;17
Oudhof;1
Gemeente Zaanstad;24
Gemeente Wisch;1
Gemeente Hulst;19
Gemeente Terneuzen;21
Bartels;1
Provinciaal Archeoloog Friesland;37
Gemeente Langedijke;9
Hessing;3
Bureau Archeologie Gemeente Haarlem;7
Afd. Archeologie en Monumenten Gemeente Maastricht;4
Gawronski;5
Gemeente Korendijk;2
Brandenburgh;9
Kortlang;3
GEMEENTE ALBLASSERDAM;5
Gemeente Oss;43
Hoogheemraadschap;2
GEMEENTE AALSMEER;11
Gemeente Barneveld;28
Gemeente Hummelo en Keppel;1
Gemeente Deventer;32
Gemeente Enkhuizen;22
Schmutzhart;3
GEMEENTE DALFSEN;4
Gemeente Borsele;16
Sectie Archeologie, Gemeente Amersfoort;7
Niet van toepassing;27612
Gemeente Wijchen;82
Deunhouwer;2
Gemeente Laarbeek;10
De Ridder;31
Gemeente Hillegom;8
Gemeente Landsmeer;3
Gemeente Wassenaar;39
Gemeente Grootegast;39
Gemeente Amersfoort;209
Gemeente Losser;1
Gemeente Hilvarenbeek;9
Gemeente Neunen, Gerwen en Nederwetten;3
Gemeente Arnhem;66
Gemeente Bergen op Zoom;27
Gemeente Boskoop;1
Gemeente Nijmegen;127
Gemeente Noordwijk;28
Gemeente Maarssen;6
Gemeente Bloemendaal;9
Gemeente Loenen;1
Provinciaal Depot voor Bodemvondsten Zuid-Holland;1
Gemeente Opmeer;13
Kleij;35
Heunks;1
Gemeente Sittard-Geleen;26
GEMEENTE RHENEN;8
Gelders Genootschap;5
Thijssen;1
Gemeente Liesveld;12
Gemeente Waterland;13
Gemeente Terschelling;1
Gemeente Veendam;9
Bureau Archeologie Gemeente Nijmegen;9
Afdeling Archeologie Gemeente Eindhoven;10
Stichting Cultureel Erfgoed Zeeland;17
Provincie Utrecht;242
Gemeente De Wolden;5
Gemeente Gulpen-Wittem;35
RAAP Archeologisch Adviesbureau;2
VUhbs archeologie;1
Gemeente Noordenveld;4
Gemeente Helmond;23
Gemeente Tubbergen;1
Eerden, van;31
Kahlman;1
GEMEENTE PUTTEN;7
Gemeente Montferland;32
Gemeente Westervoort;3
Gemeente Haren;35
Gemeente Papendrecht;1
Gemeente Vlaardingen;48
Gemeente Heumen;12
Gemeente Tynaarlo;10
Gemeente Haaren;8
GEMEENTE AALTEN;12
Gemeente Coevorden;49
Gemeente Steenwijk;2
Gemeente Hengelo (Gld);2
Universiteit Leiden;1
Instituut voor Pre- en Protohistorie A.E. van Giffen;1
Gemeente Westerveld;1
GEMEENTE ASTEN;4
Gemeente Kapelle;20
Gemeente Grave;11
Vaars;1
Gemeente Zeevang;7
Gemeente Nieuwerkerk aan den IJssel;1
Groenewoudt;2
Berg, van den;1
Gemeente Valkenswaard;24
Gemeente Dinkelland;6
Ras;1
SRE Milieudienst;2
Gemeente Sluis;27
Berkvens;3
Gemeente Wester-Koggenland;6
Provincie;35
Gemeente Geldermalsen;51
Soeters;4
Gemeente Gouda;58
Gemeente Bergschenhoek;2
