kolom_naam;record_aantal;tabel_naam;aantal_veldwaarden_met_null;aantal_lege_veldwaarde;aantal_veldwaarden_met_lege_lijst;totaal_aantal_veldwaarden;aantal_uunieke_veldwaarden;percentage_unieke_veldwaarden;kolom_is_leeg;veldwaarde_is_uuid;veldwaarde_is_url;veldwaarde_is_email;veldwaarde_is_int;veldwaarde_is_float;veldwaarde_is_bool;veldwaarde_is_dict;veldwaarde_bevat_html;veldwaarde_is_date;veldwaarde_is_str;aantal_decimalen;grootste_int_waarde;langste_str_waarde;primaire_sleutel;vreemde_sleutel;gerelateerde_tabel_naam;gerelateerde_kolom_naam
OMG_NR;51871;omg;0;0;0;51871;51871;1.0;False;0;0;0;0;51871;0;0;0;0;0;1;5;0;false;false;;
X_COORD;51871;omg;0;0;0;51871;43131;0.83;False;0;0;0;0;51871;0;0;0;0;0;1;6;0;false;false;;
Y_COORD;51871;omg;0;0;0;51871;43384;0.84;False;0;0;0;0;51871;0;0;0;0;0;1;6;0;false;false;;
TOPONIEM;51871;omg;0;0;0;40313;32089;0.8;False;0;0;0;0;4;0;8;0;5;40296;2;2;70;false;false;;
OZK_NAAM;51871;omg;0;0;0;18307;16335;0.89;False;0;0;0;21;0;0;1;0;222;18063;0;8;40;false;false;;
PLAATS;51871;omg;0;0;0;51871;2790;0.05;False;0;0;0;0;0;0;0;0;0;51871;0;0;24;false;false;;
GEMEENTE;51871;omg;0;0;0;51871;403;0.01;False;0;0;0;0;0;0;0;0;0;51871;0;0;22;false;false;;
PROVINCIE;51871;omg;0;0;0;51871;13;0.0;False;0;0;0;0;0;0;0;0;0;51871;0;0;14;false;false;;
OZK_TYPE;51871;omg;0;0;0;51871;22;0.0;False;0;0;0;0;0;0;0;0;0;51871;0;0;3;false;false;;
DATUM_AANM;51871;omg;0;0;0;51871;5756;0.11;False;0;0;0;313;0;0;0;0;51558;0;0;4;0;false;false;;
DATUM_AANV;51871;omg;0;0;0;51871;6310;0.12;False;0;0;0;386;0;0;0;0;51485;0;0;4;0;false;false;;
DUUR;51871;omg;0;0;0;51871;156;0.0;False;0;0;0;0;51871;0;0;0;0;0;1;4;0;false;false;;
MOTIEF;51871;omg;0;0;0;51871;5;0.0;False;0;0;0;0;0;0;0;0;0;51871;0;0;3;false;false;;
UITVOERDER;51871;omg;0;0;0;51870;274;0.01;False;0;0;0;0;0;0;0;0;0;51870;0;0;79;false;false;;
GEZAG;51871;omg;0;0;0;51870;650;0.01;False;0;0;0;0;0;0;0;0;0;51870;0;0;60;false;false;;
PROJ_LEIDE;51871;omg;0;0;0;51871;935;0.02;False;0;0;0;0;0;0;0;0;0;51871;0;0;79;false;false;;
OPD_GEVER;51871;omg;0;0;0;51868;887;0.02;False;0;0;0;0;0;0;0;0;0;51868;0;0;66;false;false;;
TOELICHT;51871;omg;0;0;0;28299;25143;0.89;False;0;0;0;1;0;0;1;0;1;28296;0;4;255;false;false;;
