Gemeente Steenderen;2
;0
Gemeente Sint-Michielsgestel;7
Gemeente Sint-Anthonis;7
Gemeente Groenlo;9
Stichting Mozaiek Wonen;3
Gemeente Hunsel;2
Gemeente Lisse;1
Gemeente Wunseradiel;11
Gemeente Leek;14
Gemeente Deurne;17
Stichting het Roer;1
Gemeente Skartserlan;3
Van Mierlo Planontwikkeling;1
Woningstichting Antonius van Padua;1
Meijlink;1
Gemeente De Marne;36
Provincie Limburg;47
Westerscheldetunnel NV;2
Gemeente Heusden;7
Borger & Burghouts milieu-adviseurs bv;1
Golfclub 't Zelle;2
MVO projecten;11
DHV;20
Bouwbedrijf Valkenburg bv;1
Gemeente Mierlo;1
Gemeente Opsterland;16
Gemeente Nuth;1
Gemeente Goirle;4
Tweekant BV & WFO/ABC;1
Gemeente Reimerswaal;3
Stienstra Nouville Ontwikkelaars;2
Mechanisatiebedrijf Lugtenberg;1
Vestigia BV;9
Van Dijk Geo- en Milieutechniek;60
Archeologie Deventer RMW-VHMZ;4
Gemeente Roosendaal;7
Gemeente Hoorn;7
Gemeente Stede Broec;7
Gemeente Castricum;16
Past2Present / Archeologic;39
Gemeente Kampen;7
Bouwbedrijf NAP bv;2
Gemeente Reiderland;8
J & J Adviseurs b.v.;3
Woningstichting Dodewaard;1
Lingewaard;6
Staatsbosbeheer;90
Gemeente Ter Aar;7
Het Flevo-landschap;4
Arcadis;141
KOOPMANS;1
Molenstichting;1
Berghe, van den;1
Bureau Oudheidkundig Onderzoek Gemeentewerken Rotterdam;1
GEMEENTE AA EN HUNZE;1
Gemeente Ede;67
Eneco Wind;2
Gemeente Geldrop-Mierlo;2
Gemeente Zoetermeer;3
Ten Brinke Bouw;1
Santema, P.;1
Pro Wonen;10
Gemeente Woudenberg;7
Debunne;2
Gemeente Olst-Wijhe;1
Gemeente Haarlem;28
Credo Integrale Planontwikkeling BV;3
Isarin;1
GEMEENTE ERMELO;6
GEMEENTE CULEMBORG;8
Gemeente Lochem;5
Gemeente Heerjansdam;1
GEMEENTE DUIVEN;9
Gemeente Goes;13
Gemeente Lichtenvoorde;7
SHP Planontwikkeling;1
Gemeente Huissen;3
Wauben;1
Rasenberg Milieutechniek BV;1
Gemeente Rheden;4
GEMEENTE AALBURG;1
Gemeente Noorder-Koggeland;2
Gemeente Rijnwoude;4
Peen;1
Gemeente Maasbree;5
Gemeente Gemert-Bakel;25
Maatschap Evers en van de Sandt;1
Dienst Landinrichting en Beheer Landbouwgronden (LBL);31
Woningstichting Spinoza;1
Intermanagement Projectontwikkeling;3
Bouwgroep Pelaene v.o.f.;1
Gemeente Schoonhoven;1
Gemeente Maasdonk;3
Raemaekers;5
Bureau Cultureel Erfgoed;1
Gemeente Holtum;1
Waterschap Friesland;4
Rijkswaterstaat;564
Gemeente Medemblik;5
Gemeente Sassenheim;4
GEMEENTE ALPHEN-CHAAM;15
Bouwbedrijf Ten Haken;3
Van Bergen Bouw bv;1
Gemeente Noorderveld;5
Gemeente Wierden;9
Gemeente Noord-Beveland;4
Gemeente Leiden;47
Katwijkse Bouwmaatschappij K.B.M;1
Gemeente Alkmaar;1
Gemeente Baarle-Nassau;1
Aalburg;4
Landschapsarchitect;1
GEMEENTE AXEL;3
Gemeente Almere;95
Gemeente Berkel en Rodenrijs;2
ADC ArcheoProjecten;8
Gemeente Alphen aan den Rijn;12
Gemeente Achtkarspelen;15
Bon, van;1
Gemeente Ubbergen;13
ProRail;71
Gemeente Veere;30
GEMEENTE EEMSMOND;52
Cauberg - Huygen;3
GEMEENTE APPINGEDAM;49
Gemeente Zijpe;1
Gemeente 's-Hertogenbosch;28
Gemeente Oldebroek;9
Van den Boom Bouwbedrijf  b.v.;1
Gemeente Son en Breugel;3
Gemeente Voorschoten;13
Aannemersbedrijf Van Bergen Geldrop BV;1
GEMEENTE ECHT;5
Esselink Vastgoed bv;3
Vink Milieutechnisch Adviesburo bv;5
Gemeente Brielle;16
Katalist Ruimte-management bv;2
Gemeente Dongeradeel;12
Gemeente Meerssen;3
Vitens;22
Gemeente Druten;5
Gemeente;1020
Gemeente Valkenburg;1
Tennis Club Zuid;1
KAPA Vastgoed BV;2
GEMEENTE BERGEN OP ZOOM;2
N.V. Waterleiding Maatschappij Limburg;11
De Bijvank vastgoed BV;1
Gommers-Ducheine BV;1
van der Woude Advies en Management;2
Golfclub De Dommel;1
