;0
MEEWA2;1
Oostrum, Wanssumseweg;1
BOORrapporten 45;1
Schijndel Kluisstraat - Project Hermetag;1
OPHU;1
Opperduit 92 Lekkerkerk;1
EMOS15;1
 AL4B1 V;1
Rapportage IVO;1
VLEUR;1
OGEM;1
Dunea PIM;1
TUF88 STH88;1
Zelhem-PrinsesBeatrixstraat_IVO-K;1
Kasteelhoeve Schaesberg;1
UTRM1;1
Elkshove;1
4111 Hulshorst;1
Tegelen-Riooltrace;1
Celtic field? Inspectie en veldonderzoek;1
BO en IVO F277 Gorinchem en Giessenlande;1
IVO Numero Dertien 2D, Veendam;1
BPVO2;1
De Hoof 7;1
IVO-O Rutbekerveld, Enschede;1
Sfku;1
ACS11b;1
Plesmanlaan/Vondellaan;1
Roeselaerestraat 4;1
4440 Haarlem;1
Graauwedijk 74;2
Maarsteeg 16, Rhenen;1
ROAB;1
AL5H1-k;1
Binnenweg 31, Twello;1
St-Michielsgestel-Zuid-Willemsvaart;1
Uitgeest Benes;1
Stad te Ospel;1
HILHI;1
CAUZ;1
Hof ter Weyde;1
OHS07b;1
Plangebied N484a;2
Plangebied Postweg 3a;1
IVO-P Vogelenzang 5 te Erp;1
KDW07h;1
VELDVI;1
Vorden, Schuttestraat;1
Valtherblokken-Zuid 10 AB;1
N215B en N215C;1
BHRH2;1
VOLM5;1
BO&IVO Dorpstraat perc L392 te Asenray;1
Stenen Hoofd;1
LDBH;1
Middenakker 1996-1998;1
Aanleg Natuurvriendelijke Oevers;1
KROK;2
Werkvak 2;1
MIHER3;1
Oud-Gastel, Kuivezand 7;1
SBB-percelen Ooijpolder: Buiten Ooij;1
Wierdstraat 13 te Uithuizen een archeolo;1
Onstaheerd, Singelweg 2 te Sauwerd;1
Winterswijkseweg te Groenlo;1
Groene Dijk, Assen;1
2011-04/15;1
Hippolytushoef;1
UDEKE3;1
BRRF;1
BO Baarn, Hermesweg;1
DERT;6
AO De Kop van Broek te Hardenberg;1
's Heerenloo;1
BPL werkvak 3b-5 Verlegging Rode Beek;1
Noorderhoofdstraat 149;1
NWHO;1
Berkelland Borculo Graaf Wichmanstraat;1
Holtenweg 14, Vries;1
Handboogstraat;1
LEOD;1
1HP09h;1
"Loostraat Zuid; Keizersallee";1
Pearyweg 1;1
Schouwburg;1
Burgerhartstraat;1
Waaldijk 18, Dalem;1
Westerdorpsstraat 42;1
Taanschuurpolder;1
QS 13-112 Valkenburgerstraat 72-106;1
Oude Boteringestraat, Groningen;1
Wageningen-Nudepark_II_IVO-P;1
4269 Volendam, Lange Weeren;1
2011-05/01;1
BO en IVO Herinrichting Varsen;1
IVO-WB_onderwater verbreding &verdieping;1
ZOWA;1
Uitbreiding excursieschuur;1
AM13149;1
Kloosterzande, Perkpolder;1
Huissen-Bloemstraat 4;1
Heibloem;2
BWZO;1
Haon3;1
ALOB;2
Bureauonderzoek Hoofdweg 97 te Westerlee;1
Herinrichting Whemerbeek;1
EDKL3;1
Bestemmingsplan Perkpolder;1
Stationsplein;2
Veldhoven - Habraken fase 3;1
Opgraving Lauwershof te Oudorp;1
Koaterhusterwei 3, Wierum (FR);1
NDRE2;1
Ketelmeer;1
Poortwijk, Oud-Beijerland;1
HORH/HORH2;1
Valtherlaan, Emmen;1
Zeeland Zevenhuis 8;1
