;0
Boerenboktor;1
Rhynchaenus alni (Linnaeus, 1758);1
Helmkruidsnuittor;1
Atheta malleus Joy, 1913;1
Dugesia polychroa (Schmidt, 1861);1
Hydrellia modesta Loew, 1860;1
Rode draadworm;1
Ophonus nitidulus Stephens, 1828;1
Chaetostomella onotrophes (Loew, 1846);1
Delia pallipalpis auct. (in errore);1
Mycophila barnesi Edwards, 1938;1
Tachina tessellata (Fabricius, 1794);1
Anthomyia caesia (Macquart, 1835);1
Pocota apiformis (Schrank, 1781);1
Isotoma tigrina;1
Andrena spinigera Kirby, 1802;1
Tetanocera unicolor Loew, 1847;1
Grootkoploopkever;1
Moerashertshooigoudhaantje;1
Sericostoma pedemontanum MacLachlan;1
Eristalis sylvarum Meigen, 1822;1
Cnodacophora adusta (Loew, 1870);1
Phytomyza pratensis De Meijere, 1924;1
Perilissus holmgreni Habermehl, 1925;1
Bradysia fucata (Meigen, 1818);1
Pteromicra nigrimana (Meigen, 1830);1
Arhopalus tristis (Fabricius, 1787);1
Andrena armata (Gmelin, 1790);1
Exechiopsis tenuicornis (Van der Wulp, 1859);1
Entedon fufius Walker, 1846;1
Simulium austeni Edwards, 1915;1
Dicraeus pallidiventris (Macquart, 1835);1
Graanmat;1
Potamothrix bavaricus (Oschman, 1913);1
Perla selysii;1
Harvest mouse;1
Simulium cambriense Davies, 1967;1
Bezzia spinifera Goetghebuer, 1920;1
Anthophora vulpina (Panzer, 1798);1
Empis nepticula Loew, 1869;1
Themira crassiseta (Duda, 1926);1
Exechia guttiventris (Meigen, 1830);1
Anomoia permunda (Harris, 1782);1
Euleia centauriae (Fabricius, 1794);1
Mest-waterkever;1
Anisobas quadrialbatus Constantineanu, 1951;1
Oxyptila sanctuaria (O. P.-Cambridge, 1871);1
Platluis;2
Goudenregen damschijfmot;1
Dennenbok;1
Lebertia lineata Thor, 1897;1
Modderkever;1
Dienerella elongata (Curtis, 1830);1
Palloptera arcuata (Fabricius, 1781);1
Paratendipes intermedius Chernovskij, 1949;1
Caecilius kolbei Tetens, 1891;1
Napomyza cineracea (Hendel, 1920);1
Myrmedobia coleoptrata (Fallén, 1807);1
Paralimnophyes hydrophilus (Goetghebuer, 1921);1
Chironomus annularis (De Geer, 1776);1
Campsicnemus pectinifer De Meijere, 1907;1
Tachymarptis melba Linnaeus, 1758;1
Sericostoma timidum ((Hagen));1
Geribde gordelhoren;1
Eurocoelotes inermis (L. Koch, 1855);1
Tetramesa ruschkai Hedicke, 1921;1
Asiorestia ferruginea (Scopoli, 1763);1
Corynoneura antennalis Kieffer, 1921;1
Schorskevermoorder;1
Coenosia nigra Meigen, 1826;1
Bremstengelmineermot;1
Siphona urbana (Harris, 1780);1
Pelomyiella angustifacies (De Meijere, 1928);1
Tipula variipennis Meigen, 1818;1
Groene boktor;1
Megasternum obscurum (Marsham, 1802);1
Zygomyia canescens Winnertz, 1863;1
Parachironomus longiforceps (Kieffer, 1921);1
Dolerus megapterus Cameron, 1881;1
Scaptomyza disticha (Duda, 1921);1
Delia cilicrura (Rondani, 1866);1
Hydrotaea anthrax (Meigen, 1826);1
Phaonia rufiseta (Zettersstedt, 1860);1
Tweetandige denneschorskever;1
Alopochen aegyptiacus (Linnaeus, 1766);1
Cerotelion lineatum (Fabricius, 1775);1
Hydrotaea brevipennis Loew, 1857;1
Lonchoptera furcata (Fallén, 1823);1
Hertshooihaantje;1
Baetis pumilus (Burmeister, 1839);1
Diplonevra versicolor (Schmitz, 1920);1
Chrysotoxum fasciatum (Müller, 1764);1
Chironomus tricolor (Van der Wulp, 1874);1
Bronzen bladkever;1
Nopoiulus venustus (Meinert, 1868);1
Bronsweekkever;1
Donkerblauw goudhaantje;1
Empis pennaria Fallén, 1816;1
Kleine sigarenmaker;1
Stierkever;1
Pseudocuma longicornis (Bate, 1858);1
Frambozenbloesemkever;1
Rijstmeelkever;1
Grote eikenboktor;1
Haloentomobrya dollfusi (Denis, 1924);1
Filippijnse tapijtschelp;1
Beukemineermot;1
Culicoides cubitalis Edwards, 1939;1
Glimwormpje;1
Chironomus vernalis Meigen, 1804;1
Globicornis marginata (Paykull, 1798);1
Zwartbuikgeelgerande;1
Ocypus ater (Gravenhorst, 1802);1
Megarthrus sinuatocollis (Lacordaire, 1835);1
Paradrina selini (Boisduval, 1840);1
Langhalsschorskever;1
Triphleba nigricornis (Egger, 1862);1
Rhagoletis indifferens Curran, 1932;1
Elzenmot;1
Chirosia parvicornis auct.;1
Pteromalus tenuicornis Foerster, 1841;1
Xysticus kempelini Thorell, 1872;1
Groot vliegend hert;1
Phytoecia coerulescens (Scopoli, 1763);1
Gekorrelde loopkever;1
Senotainia melaleuca (Meigen, 1824);1
Culicoides odilis Austen, 1921;1
Kleine meeltor;1
Dicranthus majzlani Kodada, Holecov  & Behne, 1992;1
Korenloopkever;1
Kleine kortschildboktor;1
Triturus helveticus Razoumowsky, 1789;1
Hieraaetus fasciatus (Vieillot, 1822);1
Asphondylia mayeri Liebel, 1889;1
Phytoptus cladophthira;1
Metalimnobia xanthoptera (Meigen, 1804);1
Lispe tenuipalpis Stenhammar in Zetterstedt, 1846;1
Metopomyza flavoscutellaris (Zetterstedt, 1838);1
Spudaea ruticilla (Esper, 1791);1
Broodklopkever;1
Otiorhynchus ligneus setosus auct.;1
Eupithecia goossensiata (Mabille, 1869);1
Smalle gerande watertor;1
Blepharipa scutellata (Robineau-Desvoidy, 1830);1
Isopteryx serricornis;1
Roe deer;1
Dicraeus xanthopygus (Strobl, 1909);1
Torymus macropterus Walker, 1833;1
Kardinaalkever;1
Thricops varians (Zetterstedt, 1838);1
Cuclotogaster heterographa (Nitzsch in Giebel, 1866);1
Groen schildpadtorretje;1
Catops kirbii auct.;1
Tempexkever;1
Drosophila unistriata Strobl, 1898;1
Sterna albifrons Pallas, 1764;1
Sericostoma turbatum MacLachlan;1
Populierenhaan;1
Rode kniptor;1
Megaselia atrimana (Wood, 1912);1
Bembidion rivulare Dejean, 1831;1
Opsibotys fuscalis (Denis & Schiffermüller, 1775);1
Platycheirus cyaneus (Müller, 1776);1
Sinoxylon conigerum Gerstaecker, 1855;1
Osmia plathycera Gerstäcker, 1869;1
Groene valkever;1
Neolimnomyia memoralis (Meigen, 1818);1
Zadenmot;1
Akkerzandloper;1
Arvicola terrestris Linnaeus, 1758;1
Macropelopia goetghebueri (Kieffer, 1918);1
Gevlekte beekroofkever;1
Grote berkenschorskever;1
Absidia rufotestacea (Letzner, 1845);1
Carcelia palpalis (Villeneuve, 1907);1
Cryptopygus gisini Massoud & Rapoport, 1968;1
Fannia mutica (Zetterstedt, 1845);1
Caenorhinus aeneovirens (Marsham, 1802);1
Grote pikzwarte watertor;1
Gymnetron hispidum Brullé, 1832;1
Fannia pretiosa (Schiner, 1862);1
Pempeliella dilutella (Denis & Schiffermüller, 1775);1
Eenstip-zandloopkever;1
Melanochaeta aterrima (Strobl, 1880);1
Osmia claviventris Thomson, 1872;1
Cordicomus instabilis (Schmidt, 1842);1
Rhamphomyia tenuirostris (Fallén, 1816);1
Leptophora perpusilla;1
Helina atripes (Meade, 1899);1
Gestreepte koolaardvlo;1
Europese paling;1
Entomotrogus megatomoides (Reitter, 1881);1
Oeverdoodgraver;1
Cephalops flavipes Meigen, 1824;1
Corymbia fulva (De Geer, 1775);1
Ocypus globulifer (Geoffroy, 1785);1
Rhaphium consobrina Zetterstedt, 1843;1
Kortsprietboktor;1
Sinella tenebricosa Folsom, 1902;1
Blaesoxipha gladatrix (Pandellé, 1896);1
Geelgerande watertor;1
Grote iepenschorskever;1
Roodvleklieveheersbeestje;1
Cypha hanseni (Palm, 1949);1
Carduelis hornemanni exilipes;1
Anopheles bifurcatus Meigen, 1818;1
Synaema globosum (Fabricius, 1775);1
Phytomyza daucivora Hering, 1931;1
Rode schildluiskever;1
Nyctiphanes couchi;1
Glimworm;1
Megaselia hibernica Schmitz, 1938;1
Delia fusciceps (Zetterstedt, 1845);1
Exephanes tricolor (Tischbein, 1881);1
Kleine dennensnuitkever;1
Sphaerophoria nitidicollis Zetterstedt, 1849;1
Microphor velutinus Macquart, 1827;1
Harsmannetje;1
Schizohelea copiosus (Winnertz, 1852);1
Melanophthalma curticollis (Mannerheim, 1844);1
Fagocyba cruenta douglasi (Edwards, 1878);1
Pristina menoni (Aiyer, 1906);1
Chloroperla apicalis;1
Phronia vittata Winnertz, 1863;1
Boccardia ligerica (Ferronière, 1898);1
Chrysotus monochateus Kowarz, 1874;1
Tipula submensoda Tjeder, 1941;1
Archanara geminipuncta (Haworth, 1809);1
Sphaeriestes ater (Paykull, 1798);1
Acroperus elongatus (Sars, 1862);1
Quedius humeralis auct.;1
Megaselia funesta Schmitz, 1935;1
Sarcophaga offuscata Meigen, 1826;1
Schutterboktor;1
Phorbia unipila (Karl, 1917);1
Paratendipes transcaucasicus Chernovskij, 1949;1
Megophthalmidia ferruginea (Van der Wulp, 1859);1
Hilara cingulata Dahlbom, 1850;1
Nereis diversicolor O.F. Müller, 1776;1
Cephalia nigripes Meigen, 1826;1
Otter;1
Chrysolina diversipes (Bedel, 1892);1
Metaallangsprietmot;1
Phyllonorycter platanoidella (Joannis, 1920);1
Rymosia minor Landrock, 1925;1
Boccardia redekei (Horst, 1920);1
Dubbelgevlekt nepkapoentje;1
Aedes rusticus (Rossi, 1790);1
Smalle kniptor;1
Latridius anthracinus (Mannerheim, 1844);1
Acalles roboris Curtis, 1835;1
Laccophilus ponticus Shp., 1882;1
Drosophila latestriata Becker, 1908;1
Gegroefde snuittor;1
Hypnogyra glabra (Gravenhorst, 1802);1
Nemotelus nigroaeneus Verhoeff, 1891;1
Ozirhincus crassipes (Winnertz, 1853);1
Zwartpootloopkever;1
Koprakever;2
Witlesia pallida (Curtis, 1827);1
Melanotus rufipes (Herbst, 1784);1
Leptura maculata Poda, 1761;1
Leptura attenuata Linnaeus, 1758;1
Tethina latigenis (Becker, 1907);1
Elipsocus pallidus Jentsch, 1938;1
Bolitophila fusca Meigen, 1818;1
Agria punctata Robineau-Desvoidy, 1830;1
Chelicorophium curvispinum (G.O. Sars, 1895);1
Systenus tener Loew, 1859;1
Aleochara obscurella auct.;1
Liogluta nitidula auct.;1
Cadelle;1
Onychiurus folsomi;1
Campoplex rufnator Aubert, 1971;1
Breedkaakkever;1
Microdon eggeri Mik, 1897;1
Caryocolum marmoreum (Haworth, 1828);1
Roodpootgroefbij;1
Common hamster;1
Cratyna pictiventris (Kieffer, 1898);1
Nothodelphax albocarinatus;1
Gastracanthus quadrum Fabricius, 1787;1
Lathrobium multipunctum Gravenhorst, 1802;1
Klein elzenbokje;1
Hydra;1
Aardbeienhaantje;1
Placobdella raboti;1
Erioptera gemina (Tjeder, 1967);1
Diplonevra palpina (Zetterstedt, 1848);1
Bledius bicornis jutlandensis Herman, 1986;1
Gestippelde rietuil;1
Ocypus compressus (Marsham, 1802);1
Frambozekever;1
Brakwaterbeekkever;1
Triphleba similis (Lundbeck, 1921);1
Grote huisbok;1
Zevenvleklieveheersbeestje;1
Sycophila cooperi (Curtis, 1831);1
Bradysia bruunipes (Meigen, 1804);1
Geelharige zwamkever;1
Psychoda severini Tonnoir, 1922;1
Drosophila amelophaga Loew, 1862;1
Heterotanais oerstedi;1
Protodeltote pygarga (Hufnagel, 1766);1
Witte dolfijn;1
Agriotella picipennis (Bach, 1852);1
Hartigiola faginea (Kieffer, 1909);1
Rhithrogena iridina picteti Sowa, 1970;1
Meliscaeva maculicornis (Zetterstedt, 1843);1
Myxexoristops arudinacea (De Meijere, 1920);1
Badger;1
Pales opulenta (Herting, 1980);1
Ptenidium corpulentum Allibert, 1847;1
Parus palustris Linnaeus, 1758;1
Chortodes pygmina (Haworth, 1809);1
Staphylinus minax (Mulsant & Rey, 1861);1
Rode knopworm;1
Memel;1
Baris picicornis (Marsham, 1802);1
Cheilosia honesta Rondani, 1868;1
Ferdinandea nigrifrons (Egger, 1860);1
Rhaphium praerosum Loew, 1850;1
Brandnetelsnuitkever;1
Oriental cockroach;1
Psammotettix exilis Wagner, 1941;1
Atheta ripicola Hanssen, 1932;1
Groot populierhaantje;1
Roodbuik aasgarnaal;1
Nephrotoma appendiculata maculosa (Meigen, 1818);1
Maculinea alcon (Denis & Schiffermüller, 1775);1
Mycetophila obscura Dziedzicki, 1884;1
Populierbok;1
Ringelrupsvlinder;1
Geelgestreepte aardvlo;1
Aphelia viburnana (Denis & Schiffermüller, 1775);1
Kleine populierenbok;1
Oxyptila blackwalli Simon, 1875;1
Rivierkruiskruidmot;1
Grootkruis;1
Phytomyza melampyri Hering, 1934;1
Macrophya rustica;1
Pruimeplaatmijnmot;1
Anapausis tenuicauda Duda, 1928;1
Nais barbata Müller, 1773;1
Phasia umbripennis Meigen, 1824;1
Edwardsiana staminata Ribaut, 1931;1
Mydaea scutellaris Robineau-Desvoidy, 1830;1
Bradysia scatopsoides (Meigen, 1818);1
Bellardia agilis (Meigen, 1826);1
Chloroperla grammatica Stephens, 1835;1
Rhynchaenus jota (Fabricius, 1787);1
Sphegina clavata (Scopoli, 1763);1
Heidekruidsnuittor;1
Waterkervelhaantje;1
Chinese modderkruiper;1
Pseudopachystylum goniaeoides (Zetterstedt, 1838);1
Rhingia austriaca (Meigen, 1830);1
Aardbeisnuittor;1
Megaselia plurispinosa (Lundbeck, 1920);1
Geelbehaarde ruigkortschild;1
Isopteryx apicalis;1
Egelhaantje;1
Phyllodesma tremulifolium tremulifolium (Hübner, 1810);1
Erioptera meyerei Edwards, 1921;1
Roodkopveldmestkever;1
Molorchus umbellatarum (Schreber, 1759);1
Phaonia innoxia (Meigen, 1838);1
Withius subruber (E. Simon, 1878);1
Athalia glabricollis Thomson, 1870;1
Venerupsis decussata (Linnaeus, 1758);1
Phasia nebulosa (Girschner, 1886);1
Zwarte duinsnuittor;1
Caenis dimidiata Stephens, 1835;1
Rozekever;1
Symplecta punctipennis (Meigen, 1818);1
Megaselia irregularifrons (Schmitz, 1921);1
Andrena bremensis Alfken, 1900;1
Groengele snuittor;1
Dasyhelea obscura (Winnertz, 1852);1
Callosobruchus quadrimaculatus (Fabricius, 1792);1
Gordelslakje;1
