Elaphropus haemorroidalis (Ponza, 1805);1
Ilyobates bennetti Donisthorpe, 1914;1
Chetogena acuminata Rondani, 1859;1
Anthaxia sepulchralis (Fabricius, 1801);1
Hylecoetus dermestoides (Linnaeus, 1760);4
Lepyrus palustris (Scopoli, 1763);2
Pimpla rufipes (Miller, 1759);1
Quedius suturalis Kiesenwetter, 1845;1
Ditrichophora palliditarsis (Becker, 1896);1
Azelia nebulosa Robineau-Desvoidy, 1830;1
Trichiura crataegi (Linnaeus, 1758);1
Tachina magnicornis (Zetterstedt, 1844);1
Cerceris rybyensis (Linnaeus, 1771);1
Paranais litoralis (Müller, 1780);1
Palpomyia fulva (Macquart, 1826);1
Onoba semicostata (Montagu, 1803);3
Aclypea opaca (Linnaeus, 1758);1
Orchestes rusci (Herbst, 1795);1
Dienerella costulata (Reitter, 1877);1
Aedes communis (De Geer, 1776);1
Liriomyza congesta (Becker, 1903);1
Rheocricotopus fuscipes (Kieffer, 1909);1
Pterostichus melanarius (Illiger, 1798);2
Lepidochelys kempii Garman, 1880;1
Pegomya bicolor (Wiedemann, 1817);1
Anthocomus equestris (Fabricius, 1782);1
Mytilus edulis Linnaeus, 1758;2
Meligethes tenebrosus Förster, 1849;1
Ptilinus pectinicornis (Linnaeus, 1758);5
Delia pallipennis (Zetterstedt, 1838);2
Pogonocherus hispidus (Linnaeus, 1758);1
Blatta orientalis Linnaeus, 1758;1
Acanthis hornemanni exilipes (Coues, 1862);1
Leucoptera laburnella (Stainton, 1851);1
Isoneuromyia semirufa (Meigen, 1818);2
Anthomyza gracilis Fallén, 1823;1
Musca autumnalis De Geer, 1776;1
Metriocnemus albolineatus (Meigen, 1818);1
Asphondylia sarothamni (Loew, 1850);2
Alitta virens (M. Sars, 1835);1
Malacomyia sciomyzina (Haliday, 1833);1
Stigmella plagicolella (Stainton, 1854);1
Eurysthaea scutellaris (Robineau-Desvoidy, 1848);2
Botanophila striolata (Fallén, 1824);1
Agromyza pseudoreptans Nowakowski, 1967;1
Molophilus appendiculatus (Staeger, 1840);1
Tethina grisea (Fallén, 1823);2
Orchestes quercus (Linnaeus, 1758);5
Lampronia corticella (Linnaeus, 1758);1
Trypeta immaculata (Macquart, 1835);1
Bezzia flavicornis (Staeger, 1839);1
Metalimnobia bifasciata bifasciata (Schrank, 1781);1
Lyonetia clerkella (Linnaeus, 1758);1
Bembidion stephensii Crotch, 1866;1
Tipula flavolineata Meigen, 1804;1
Pegomya notabilis (Zetterstedt, 1846);1
Conicera floricola Schmitz, 1938;2
Atomaria linearis Stephens, 1830;2
Pales pavida (Meigen, 1824);1
Hypothenemus obscurus (Fabricius, 1801);1
Leptomeraporus nicaee (Walker, 1839);1
Orfelia lugubris (Zetterstedt, 1851);1
Hister unicolor Linnaeus, 1758;3
Lyctoxylon dentatum (Pascoe, 1866);1
Kurtiella bidentata (Montagu, 1803);1
Harnischia curtilamellata (Malloch, 1915);1
Thereva cinifera Meigen, 1830;1
Curimopsis setosa (Waltl, 1838);1
Ochlerotatus nigrinus (Eckstein, 1918);1
Ceramica pisi (Linnaeus, 1758);1
Platyrhinus resinosus (Scopoli, 1763);1
Orchesella quinquefasciata (Bourlet, 1842);1
Melanagromyza aeneoventris (Fallén, 1823);1
Hylaeus leptocephalus (Morawitz, 1871);1
Tetragoneura sylvatica Curtis, 1837;1
Scatophila noctula (Meigen, 1830);2
Neolimnomyia nemoralis (Meigen, 1818);2
Tropinota hirta suturalis Reitter, 1913;1
Zorochros dermestoides (Herbst, 1806);1
Philhygra luridipennis (Mannerheim, 1830);1
Hyalomma aegyptium (Linnaeus, 1758);1
Anthonomus piri Kollar, 1837;3
Simulium vernum Macquart, 1826;1
Thecophora fulvipes (Robineau-Desvoidy, 1830);1
Bythinus securiger (Reichenbach, 1816);1
Polypedilum scalaenum (Schrank, 1803);3
Dicrotendipes lobiger (Kieffer, 1921);1
Propylea quatuordecimpunctata (Linnaeus, 1758);1
Megaselia aristica (Schmitz, 1920);1
Turdus eunomus Temminck, 1831;1
Psectrocladius limbatellus (Holmgren, 1869);1
Mesachorutes quadriocellatus Absolon, 1900;1
Drosophila littoralis Meigen, 1830;1
Anevrina unispinosa (Zetterstedt, 1860);1
Scolytus multistriatus (Marsham, 1802);2
Atomaria basalis Erichson, 1846;1
Megasyrphus erraticus (Linnaeus, 1758);1
Neuroterus numismalis (Fourcroy, 1785);1
Hydroporus tessellatus (Drapiez, 1819);1
Blondelia nigripes (Fallén, 1810);2
Argyra ilonae Gosseries, 1989;1
Euplectus mutator Fauvel, 1895;1
Ptycholoma lecheana (Linnaeus, 1758);1
Macrophya montana (Scopoli, 1763);1
Caradrina kadenii (Freyer, 1836);1
Necrodes littoralis (Linnaeus, 1758);2
Scotina palliardii (L. Koch, 1881);1
Palpomyia distincta (Haliday, 1833);1
Drisina glutinosa Giard, 1893;1
Plateumaris bracata (Scopoli, 1771);1
Bembidion axillare occiduum Marggi & Huber, 2001;1
Megaselia sulphuripes (Meigen, 1830);2
Diastata fuscula (Fallén, 1823);1
Culicoides minutissimus (Zetterstedt, 1855);1
Alosterna tabacicolor (De Geer, 1775);1
Nycteribia latreillii (Leach, 1817);2
Nematinus luteus (Panzer, 1805);1
Caryocolum cauligenella (Schmid, 1863);1
;0
Paratendipes albimanus (Meigen, 1818);1
Epistrophe obscuripes (Strobl, 1910);1
Ceratitis capitata (Wiedemann, 1824);1
Archips xylosteana (Linnaeus, 1758);1
Coleophora obscenella Herrich-Schäffer, 1855;1
Mycetophila fungorum (De Geer, 1776);1
Hydrophorus signifer Coquillett, 1899;1
Favonius quercus (Linnaeus, 1758);3
Mesapamea secalella Remm, 1983;1
Meligethes aeneus (Fabricius, 1775);2
Xantholinus distans Mulsant & Rey, 1853;1
Archarius crux (Fabricius, 1777);1
Halictus leucaheneus Ebmer, 1972;1
Argyresthia curvella (Linnaeus, 1761);1
Orchestes alni (Linnaeus, 1758);1
Limonius minutus (Linnaeus, 1758);1
Ochlodes sylvanus (Esper, 1777);1
Sarcophaga filia Rondani, 1860;2
Pristiphora aphantoneura (Förster, 1854);1
Torymus tanaceticola Ruschka, 1921;1
Rhaphium fissum Loew, 1850;1
Copromyza nigrina (Gimmerthal, 1847);1
Eusphalerum tenenbaumi (Bernhauer, 1932);1
Monocorophium insidiosum (Crawford, 1937);1
Sciapus contristans (Wiedemann, 1817);1
Glyptotendipes glaucus (Meigen, 1818);1
Bruchus rufimanus Boheman, 1833;4
Lymexylon navale (Linnaeus, 1758);1
Chrysotus obscuripes Zetterstedt, 1838;1
Crioceris duodecimpunctata (Linnaeus, 1758);5
Craspedosoma rawlinsi Leach, 1814;1
Nomada panzeri Lepeletier, 1841;1
Hyadina rufipes (Meigen, 1830);1
Bichaeta sanguinea Bretscher, 1900;1
Procambarus clarkii (Girard, 1852);2
Sminthurinus niger (Lubbock, 1868);1
Coenosia mollicula (Fallén, 1825);1
Chrysotimus molliculus (Fallén, 1823);1
Haplorhynchites caeruleus (De Geer, 1775);1
Archarius salicivorus (Paykull, 1792);1
Bisnius varipennis (Scriba, 1864);2
Cricotopus ornatus (Meigen, 1818);1
Empis sericans Brullé, 1832;1
Tinearia alternata (Say, 1824);1
Chyromya oppidana (Scopoli, 1763);1
Epuraea biguttata (Thunberg, 1784);1
Bispira crassicornis (Sars, 1851);1
Spatulosminthurus flaviceps (Tullberg, 1871);1
Ctenicera pectinicornis (Linnaeus, 1758);2
Blaps mucronata Latreille, 1804;4
Pegomya pulchripes (Loew, 1857);1
Centromerus brevivulvatus Dahl, 1912;1
Leiodes ruficollis Sahlberg, 1898;1
Ozyptila sanctuaria (O. P.-Cambridge, 1871);1
Gasterophilus nasalis (Linnaeus, 1758);3
Aeshna mixta Latreille, 1805;1
Prosena siberita (Fabricius, 1775);1
Mycomya cinerascens (Macquart, 1826);1
Squalius cephalus (Linnaeus, 1758);1
Mucrosomia garretti (Bagnall, 1939);3
Stevenia atramentaria (Meigen, 1824);1
Grapholita tenebrosana Duponchel, 1843;1
Eophona migratoria Hartert, 1903;1
Incurvaria pectinea Haworth, 1828;1
Polyporivora picta (Meigen, 1830);1
Rhopalosiphoninus staphyleae (Koch, 1854);1
Meroplius minutus (Wiedemann, 1830);1
Sylvia althaea blythi (Ticehurst & Whistler, 1933);2
Siphonoperla torrentium (Pictet, 1841);2
Chrysotus gramineus (Fallén, 1823);4
Tischeria ekebladella (Bjerkander, 1795);1
