A, van der;30
AAC Projectenbureau;39
ADC ArcheoProjecten;447
ADDINK SAMPLONIUS;10
AKKER VAN DEN;1
AKKERMAN;1
ANTONIDES;1
APPELS;26
AREND VAN DEN;1
ASSINK;1
AWN Afd. 10 Zeeland;2
AWN Afd. 11 Lek en Merwestreek;67
AWN Afd. 12 Houten;43
AWN Afd. 14 Vallei en Eemland (Amersfoort e.o.);26
AWN Afd. 15 Betuwe en Bommelerwaard;1
AWN Afd. 16 Nijmegen e.o.;5
AWN Afd. 17 Zuid-Veluwe en Oost-Gelderland;1
AWN Afd. 19 Twente;2
AWN Afd. 2 Noord-Holland Noord;5
AWN Afd. 20 IJsseldelta-Vechtstreek;2
AWN Afd. 21 Flevoland;1
AWN Afd. 23 Kempen en Peelland;3
AWN Afd. 3 Zaanstreek Waterland;5
AWN Afd. 4 Kennemerland;251
AWN Afd. 6 Rijnstreek;3
AWN Afd. 7 Den Haag e.o.;2
AWN Afd. 8 Helinium (Waterweg Noord);23
Aalbersberg;38
Aalders;1
Aarts;3
Abbink;8
Abelmannn;2
Achterop;133
Ackermans;46
Actualisering MonumentRegister;1
Adede;1
Afdeling Archeologie Gemeente Eindhoven;28
Afdeling Archeologie, Dienst Stadsbeheer, Gemeente Den Haag;19
Afdeling Monumentenzorg en Archeologie Gemeente Alkmaar;16
Afdeling archeologie onder water;9
Akkerman;14
Alders;324
Alink;2
Alphen, G.H.J. van;24
Amkreutz;1
Amsterdams Archeologisch Centrum (UvA);14
Anscher, ten;11
Arcadis;2
Archaeological Research en Consultancy;69
Archeo-Team Miramar;11
Archeodienst Gelderland BV;94
Archeologie Deventer RMW-VHMZ;77
Archeologie West-Friesland, Hoorn;130
Archeologisch Depot Bergen op Zoom;1
Archeologisch Instituut VU;17
Archeologisch Onderzoek Leiden BV;154
Archeologische Dienst Gemeente Hoorn;81
Archeologische Dienst Zwolle;1
Archeologische Vereniging Meppel;3
Archeologische Werkgemeenschap voor Nederland;133
Archeologische Werkgroep;23
Archeologische Werkgroep BATO;1
Archeologische Werkgroep Echt;589
Archeologische Werkgroep Erthepe;1
Archeologische Werkgroep Leen de Keijzer;1
Archeologische Werkgroep Leidschendam-Voorburg;2
Archeologische Werkgroep P.H.G., Putten;2
Archeologische Werkgroep Ravenstein;1
Archeologische Werkgroep Tablis;1
Archeologische Werkgroep Voorburg;11
Archeologische werkgroep en heemkundekring Heeze, Leende en Zesgeheugten;1
Archeomedia / Arnicon;96
Archeos Fryslan;1
Archis;39
Arnoldussen;5
Arts;255
As, van;1
Asmussen;111
Asperen, van;1
BAAC BV;435
BAKELS;1
BAKHUIZEN;1
BAKKER;68
BAKS;1
BARWASSER;2
BAUER;2
BEDIJN;1
BEEKMAN;1
BELLEN;14
BESTEMAN;18
BEUKER;168
BEZAAN;7
BIEMANS;4
BLOEMEN;3
BLOMMESTEIJN;61
BOELENS;3
BOER DE;1
BOERSMA;17
BOETZKES;2
BOKMA;32
BOLT;1
BOLTZE;6
BONHOF;8
BOONE DE;20
BORST-PAUWELS;6
BRAAT;49
BRANDT;3
BRESSER;11
BROERTJES;2
BRUNSTING;48
BURGER;1
BURSCH;82
BUTTER;5
Baardewijk, van;11
Baarle, van;8
Baars;4
Baart;13
Bakels;9
Bakker;41
Bakx;6
Baltes;1
Bardet;1
Bartels;119
Bats;1
Bazelmans;1
Becker en Van de Graaf;207
Beckers;18
Beckers & G.A.J. Beckers;2
Bedeaux;13
Beek, van;38
Beek, van der;1
Beekhuyzen;1
Beeks;5
Beekwilder;1
Beemt, van den;172
Been;1
Beeren;2
Beest, van;901
Beestman;2
Beex;1245
Beijen;1
Beijk;7
Beks;2
Belien;1
Benerink;121
Benjamins;1
Bente;1
Benthem, van;75
Berg, van den;52
Bergh, van den;12
Berghe, van den;13
Bergman;22
Berkel, van;9
Berkers-Romonesco;1
Berkhout;6
Berkien;2
Berkmortel, van den;1
Berkvens;71
Besselaar, van den;8
Besselsen;2
Besuijen;16
Beukhof;12
Beumer;4
Beunder;9
Beverdam;22
Bijl;4
Bijlsma;3
Bil;2
Bink;23
Biologisch Archeologisch Instituut;39
Bitter;113
Blaak;16
Blauw;1
Bloemen;52
Bloemers;637
Blokzijl;1
Blom;308
Bloo;4
Boekema;1
Boemaars;12
Boer, de;97
Boer, den;9
Boersma;103
Bogaers;200
Bohmers;29
Bolhuis;7
Bon, van;15
Bongaerts;1
Boon;2
Boonstra;2
Boorn, van den;1
Boots;19
Boreel;7
Borgh, van de;30
Borman;59
Borre, van den;10
Borsboom;1
Bos;9
Bos, van den;24
Bosch, ten;2
Bosch, van den;8
Boshoven;15
Bosma;2
Bosman;127
Bougie;34
Boulonois;2
Bouma;17
Bouwmeester;10
Boveldt- van Essen, te;1
Brandenburgh;15
Brandhof, van den;2
Brandt;1
Brandt, van de;6
Brandts;29
Breda, van;1
Bredie;1
Brenk, van den;3
Breukers;1
Briels;22
Brienen;2
Brienen-Molenaar;1
Briggen;1
Brinck, N.;12
Brinkhuizen;1
Broek, van den;625
Broeke, ten;77
Broeke, van den;211
Brokke;29
Brongers;6
Brounen;384
Brouwer;35
Bruekers;5
Bruel, van den;6
Brugge, ten;6
Brugge, ter;93
Bruijn;198
Bruijn, de;1
Bruin, de;2
Brusse-Bruin;1
Buesink;4
Buisman;230
Buitenhuis;41
Bult;152
Bulten;17
Bunt;88
Bureau Archeologie Gemeente Haarlem;90
Bureau Archeologie Gemeente Nijmegen;95
Bureau Interdisciplinaire Landschapsanalyse;213
Bureau Monumenten & Archeologie Amsterdam;6
Bureau Monumenten en Archeologie Gemeente Leiden;6
Bureau Oudheidkundig Onderzoek Gemeentewerken Rotterdam;822
Burman;1
Burnier;18
Butler;38
CANNEGIETER;1
CENTRUM VOOR SCHEEPSARCHEOLOGIE;348
CLEIJ;14
CLEVIS;11
COENRAADTS;22
COMIS;15
CORDFUNKE;41
Campenhout, van;8
Casparie;10
Centrum voor Archeologie (Gemeente Amersfoort);2
Claassen;18
Clason;33
Cleij, P.;1
Cleijne;10
Cleton;1
Cohen Stuart;3
Coolen;32
Coppens;31
Cornelissen;2
Corver;103
Coumans;1
Craane;13
Crombe;1
Cruysheer;2
D'hondt;28
D.de Jong;2
DEKKER;9
DIJK;4
DIJK, VAN;14
DILZ;1
DINTEREN, VAN;3
DOCTER;13
DONKERSGOED, VAN;1
DOODEHEEFVER;1
DRIEL, VAN;2
DUIVEN;1
Daalen, van;1
Daele, van;4
Dahhan;266
Dalfsen, van;8
Daniel;2
Dasselaar, van;49
Datema;42
Dautzenberg;4
De Ridder;23
De Steekproef, Archeologisch Onderzoeks- en Adviesbureau;360
Debruyne;3
Debunne;1
Deeben;52
Defilet;20
Delaruelle;3
Delfin - Van Mourik Broekman;395
Delporte;20
Demey;4
Dentener;1
Depuydt;4
Derks;3
Deunhouwer;12
Deville;30
Diachron UvA BV;3
Diederik;68
Dielemans;1
Dienst der Hydrografie;2
Diepen, van;3
Diependaal;4
Diependaele;15
Diepeveen;5
Diepeveen-Jansen;8
Dieren van;7
Dierendonck, van;50
Dijk;2
Dijk, van;75
Dijkman;5
Dijkstra;136
Dockum, van;35
Doef, van der;11
Doesburg, van;38
Doorn, van;18
Dorenbos;4
Dorst;99
Drenth;6
Driedijk;6
Driesen;1
Driessens;235
Duijn;2
Duijvestein;3
Duikclub Ecuador;5
Duikclub Sirene;1
Duikclub Texel;1
Duikteam Caranan;3
Duikteam Get Wet;1
Duikteam Zeester;5
Duikvereniging;1
Duikwacht Zeeland;7
Duinen, van;33
Duurland;8
Dyselinck;15
EARTH Integrated Archaeology BV;8
Econsultancy BV;32
Eelman;10
Eeltink;18
Eerden, van;4
Eijk, van;115
Eijskoot;10
Eilander;1
Eimermann;12
Elisabeth Vellinga en Martijn Felder;1
Ellenkamp;12
Elzinga;404
Emaus;5
Emmery;2
Enckevort, van;7
Ende, van den;5
Engel, van den;1
Engelse;9
Ernst;1
Es, van;101
Esch, van der;58
Esman;2
Evers;5
Exaltus;26
FEEN, VAN DER;1
FEENSTRA;9
FOHR;1
FRANZEN;61
Faessen;3
Familie Steenbakkers;1
Feenstra;2
Feest, van der;28
Feijst, van der;8
Feiken;18
Felder;2
Fermin;13
Ferri;10
Fijma;14
Flamman;3
Flokstra;66
Flonk;1
Floore;1
Fokkens;22
Fontein;4
Fonteyn;24
GEHASSE;1
GEMEENTE AMELAND;1
GEMEENTE BERGEN OP ZOOM;1
GEMEENTEMUSEUM 'T BEHOUDEN HUYS;3
GEMEENTEMUSEUM ARNHEM;2
GERRITSEN;1
GOOL, VAN;1
GOORHUIS;1
GROOD DE;8
GUSSENHOVEN;1
Gaauw, van der;200
Gawronski;7
Gazenbeek;3
Geelen;3
Geer, van de;5
Geerts;1
Geffen, van;2
Gelderse Archeologische Stichting;68
Gemeente Alkmaar;4
Gemeente Amsterdam;1
Gemeente Apeldoorn;1
Gemeente Bergen op Zoom;1
Gemeente Breda;29
Gemeente Delft;25
Gemeente Den Haag;2
Gemeente Deventer;3
Gemeente Dordrecht;36
Gemeente Geldermalsen;1
Gemeente Gouda;1
Gemeente Hellevoetsluis;1
Gemeente Leiden;5
Gemeente Montferland;1
Gemeente Rijswijk;1
Gemeente Rijswijk, Sectie Archeologie;1
Gemeente Rotterdam;1
Gemeente Zaanstad;2
Gemeente Zutphen;57
Gemeentelijk Depot voor Bodemvondsten Zutphen;1
Genabeek , van;21
Geraeds;24
Gerrets;3
Gerrits;1
Gerritsen;14
Geurts;1
Geusen;2
Gheysen;15
Ghignatti;1
Giesbers;1
Giffen, van;281
Gijn, van;2
Gils, J.A. van;1
Glas;1
Glasbergen;44
Glazema;75
Goedkoop;8
Gool, van;1
Goossens;481
Goudswaard;3
Graaf, de;25
Graaf, van der;19
Graaf,van de;7
Graaff, de;8
Graafstal;34
Greving;1
Greydanus;3
Grievink;4
Griffioen;14
Groen;4
Groen-Lubbers;1
Groenendijk;617
Groeneweg;6
Groenewold;1
Groenewoudt;19
Groenman-Van Waateringe;12
Groninger Instituut voor Archeologie;6
Grontmij;62
Groot, de;42
Groothedde;71
Gruben;9
Guiran;8
Gulik, van;1
HAALEBOS;94
HAAN DE;1
HABETS;103
HANNINEN;1
HARTEN;3
HASSELT;9
HAVELAAR;2
HEEMKUNDIGE KRING KESTEREN E.O;1
HEER DE;2
HEESTERS;14
HEIDINGA;23
HEIJENGA-KLOMP;3
HEIJMANS;50
HELDERMAN;13
HENDRIKX;75
HENDRIX;13
HET VEENKOLONIAAL MUSEUM;10
HIJSZELER;19
HOEF VAN;5
HOEK;40
HOEKSTRA;3
HOENDERVANGERS;1
HOFS;8
HOMMES;8
HONTEM, VAN;4
HOUBEN;1
HUBREGTSE;50
HULST;6
HUPPERETZ;1
HURK, VAN DEN;3
Haaff, van;438
Haakmeester;1
Haan;1
Haan, de;919
Haarhuis;59
Haaring;4
Habermehl;6
Hageman;2
Hagen, van;205
Hagers;122
Hajenius;3
Hakvoort;4
Halbertsma;452
Hallewas;1525
Halverstad;12
Ham, van der;35
Hamburg;21
Hanemaaijer;11
Hansen;18
Hanssen;239
Harenberg;2
Harmsen;17
Harsema;164
Hattink;1
Hazelhoff;1
Hazenberg;20
Hazenberg Archeologie Leiden BV;166
Heemkunde Vereninging Sint Achten op Boeckel;1
Heemkundekring Bergh;1
Heemkundekring Carel de Roy;2
Heemkundige Studiekring De Acht Zaligheden;1
Heemkundige Vereniging Beek;1
Heemkundige Vereniging Roerstreek;2
Heemkundige Vereniging/Heemkundige Kring;2
Heeren;2
Heeringen, van;719
Heide, van der;570
Heiden, van der;8
Heijden, van der;203
Heijenga;1
Heitzer;5
Hekkers;1
Hekman;26
Heldoorn, B.;1
Helmich;9
Hemert, van;9
Hendriks;28
Hendrikse;30
Hendrikus;1
Hendrikx;13
Hengst, den;2
Henk;32
Hennepe, te;1
Hensen;69
Henstra;1
Henzen;11
Hermsen;12
Herweijer;1
Hesseling;1
Hessing;295
Hest, van;4
Heugten, van;2
Heunks;8
Hiddink;20
Hielkema;44
Hijma;7
Hissel;1
Historisch Centrum Wassenaar;1
Historisch Informatiecentrum Helmond;1
Historische Vereniging Oosthuizen;1
Hoegen;6
Hoff;7
Hogestijn;189
Holk, van;2
Holl;30
Hollandia Cultuurhistorisch Onderzoek en Archeologie;46
Holthausen;8
Holwerda;94
Homburg;1
Honigh;1
Hoof, van;12
Hoogendoorn;1
Hoogers;2
Hoogzaad;34
Hopman;1
Horbach;288
Horn;18
Horst, van der;1
Horst, van der Horst;1
Hos;15
Houben;23
Houkes;61
Hout, van;73
Houttuin;77
Hoven;28
Hubers;11
Huijbers, T.;27
Huis in 't Veld;38
Huiskes;53
Huisman;52
Huizer;1
Hulsebos;1
Hulshoff;4
Hulst;1677
Huss;55
Huybers;3
Huynen;1
IDDS Archeologie B.V.;12
IJzereef;2
INSTITUUT VOOR TOEGEPAST HISTORISCH ONDERZOEK;17
ISINGS;50
ITERSON SCHOLTEN, VAN;1
ITTERSUM, VAN;2
Ilson;24
Immerzeel;16
Ingenieursbureau Amsterdam;1
Inst. voor Bouwhistorische Inventarisatie en Documenten;4
Instituut voor Pre- en Protohistorie A.E. van Giffen;29
Instituut voor Prehistorie RUL;4
JACOBI;2
JAGER;537
Jacobs;12
Jacobs & Burnier;10
Jager;3
Jager, de;110
Jans;21
Jansen;91
Jansen of Lorkeers;1
Janssen;25
Janssens;28
Jayasena;3
Jelsma;41
Jole - de Visser, van;31
Jong - Lambregts;4
Jong, de;22
Jonge, de;16
Jongepier;337
Jongste;23
Jordanov;18
Jozen;1
Jungen;2
Jungerius;1
KAAL;11
KAMPMAN;2
KISTEMAKER;5
KLEPPER;1
KLOK;552
KNIPPELS;3
KNIPPENBERG;11
KNOL;10
KOELING;3
KOK, DE;10
KOOI;43
KOOISTRA;1
KOSTER;11
KRAMER;5
KRAUWER;5
KUYPERS;1
KWAKKERNAAT;7
Kaathoven, van;3
Kalee;10
Kalisvaart;25
Kamermans;1
Kampen, van;5
Kannamuller;2
Kappel, van;3
Kappers;1
Kaptein;109
Kars;4
Kastelein;18
Kauling;3
Keetels;2
Keijers;5
Kemme;18
Kempen, van;14
Kenemans;12
Kerckhaert;25
Kerckhove;1
Kerkhoven;67
Kerkwijk, van;1
Kessel, van;1
Keunen;38
Keyzer;5
Klaassens;18
Klaessen;6
Klapwijk;2
Klaveren, van;176
Klei, van der;5
Kleij;43
Kleijburg;1
Kleijne;2
Kleijne Mak;10
Kleinhuis;43
Klinkenberg;1
Klok;1
Klomp;9
Klooster;2
Klooster, van der;1
Kloosterman;1
Kluit;138
Klunder;5
Klungel;46
Koeman;3
Kok;3
Kolen;1
Koning;4
Koning, de;56
Koninklijk Penningkabinet;1
Koninklijke Marine;2
Kooi;39
Kooiman;12
Koolen;14
Koop;2
Koopmanschap;55
Koopstra;4
Koorevaar;19
Koot;51
Korps Landelijke Politie Diensten;1
Kort, de;12
Kortekaas;2
Kortlang;7
Korver;1
Kossen;22
Koster;26
Kouwen, van;13
Kraan;8
Kraayenhagen;1
Kramer, de;5
Kregten, van;12
Krekelbergh;10
Kremer;16
Krist;48
Kroft, van der;10
Krol;22
Kruidhof;30
Kruif, de;8
Kruining, van;1
Kruithof;1
Kruysen;60
Kubbe, van der;1
Kuijl, van der;256
Kuijpers;2
Kuijten;1
Kuipers;109
Kuppeveld, van;1
Kusters;23
LAET DE;1
LAGERWERF;3
LAND;1
LEEMANS;9
LEENDERS;1
LEENHEER;2
LEEWIS;1
LEHMANN;7
LOCKEFEER;4
LOECKER DE;1
LOON, VAN;2
LUBBERDING;8
LUBBERS;1
LUPAK;52
Laan, van der;22
Laarman;1
Laat, de;1
Landelijke Werkgroep Archeologie Onder Water;25
Landzaat;10
Langbroek;13
Lange;10
Langen, de;3
Langveld;2
Lanting;119
Lanzing;6
Lascaris;2
Lauwerier;2
Lee, van der;25
Leeflang;25
Leenheer;1
Leeuw, de;64
Leeuwe, de;2
Leijnse;18
Leinders;5
Lelivelt;10
Lengkeek;1
Lenting;45
Leon Schmitz & Janine Apeldoorn;1
Leuvering;2
Lichtveld;2
Liefferinge;5
Lil, van;1
Linde, van der;3
Lindeman;1
Linden, van der;1
Lohof;24
Londen, van;18
Loon, van;1
Looveren, van;6
Lorijn, de;1
Louvenberg;1
Louwe;14
Louwe Kooijmans;57
Lucassen;11
Luijtelaar;84
Luijten;2
Luksen-IJtsma;1
Luys;616
Lyklema;15
MACHIELS;2
MARITIEM MUSEUM/GEORGISCH MUSEUM;1
MEIJERS;3
MENNENS;1
MENSCH, VAN;1
MEUFFELS;1
MEZGER;16
MILLIKOWSKI;2
MOST VAN DER;5
MUG Ingenieursbureau BV;1
MUSCH;1
MUSEUM SCHOKLAND;1
MUSEUM VOOR VOLKSKUNDE/HET NEDERLANDS OPENLUCHTMUSEUM;1
Maarleveld;23
Magnee;1
Magnee-Nentjes;2
Manders;3
Mans;331
Marinelli;90
Mark, van der;33
Marsen-Glas;1
Martens;1
Mathieu Fannee;1
Mathot;1
Mauro;6
Meens;17
Meer, van de;6
Meffert;4
Meij;9
Meij, van der;5
Meijer;123
Meijlink;13
Meirsman;5
Mengerink;1
Mennens-van Zeist;1
Mergor in Mosam;12
Mertens;7
Meulen, van der;1
Meurkens;3
Meurs, van;16
Michels;1
Miedema;51
Mientjes;15
Mietes;2
Mijderwijk;1
Mijle Meijer, van der;74
Mildner;7
Milojkovic;1
Ministerie van Defensie;1
Mittendorff;12
Modderman;774
Moerman;8
Mol;6
Molema;67
Molen, van der;52
Molenaar;23
Molthof;6
Montforts;1
Mooij;2
Moonen;36
Mooren;358
Moortel, van den;1
Moree;5
Morel;9
Mostert;27
Mousch, van;6
Muis;2
Mulder;18
Muller;14
Munsters M.S.C.;7
Museumhuis Groningen;1
Mutsaers;2
NEIJENHUIS;4
NEWELL;5
NIE VAN;8
NOORDELIJK SCHEEPVAARTMUSEUM;1
NUMIS;2
Nales;31
Nederlands Centrum voor Dendrochronologie / Stichting RING;4
Nederlands Instituut voor scheeps- /onderwaterarcheologie;136
Nederlandse Jeugdbond ter Bestudering van de Geschiedenis;1
Nederlandse Kastelenstichting;3
Nederpelt;1
Neef, J.A.;1
Nes, de;10
Netten;1
Nicolay;2
Niekus;52
Niet van toepassing;68
Nieuwenhuijsen;268
Nieuwenhuis;8
Nieuwenhuizen;13
Nieuwhof;10
Nijdam;81
Nijsen;7
Nijst;1
Nistelrooij, van;1
Noens;1
Nokkert;5
Nollen;55
Noordam;1192
Nooren;9
Norde;13
Nuenen, van;2
Numan;10
Nutte, de;8
Nyst;3
ODE;40
OELE;6
OMMEREN, VAN;1
OTTE;3
OUDHOF;1
Oerlemans;1
Offermans;2
Okel;53
Olivier;176
Olthof;1
Olthoff;1
Onbekend;4454
Ooijevaar;9
Oomen;3
Oomen, J.M.F.;1
Oorsouw, van;6
Oort, van;1
Oosten, van;1
Oosterbaan;3
Oosterhout, van;4
Oosting;2
Opdebeeck;11
Openbare Werken, Gemeente Noord-Beveland;1
Oppenheimer;1
Oranjewoud BV;28
Osinga;4
Ostkamp;8
Otte;1
Otte-Klomp;8
Otter, den;2
Oude Rengerink;172
Ouden, den;1
Oudhof;3
Oudhuis;4
Overige (niet particuliere) eigenaar;1
Overmeer;1
PEL;2
POELS;1
POLAK;23
POLDERMAN;1
POPPING;6
POULS;1
PRAAMSTRA;61
PRINS;3
PROVINCIAAL MUSEUM DRENTHE/DRENTS MUSEUM;2745
PROVINCIAAL MUSEUM FRIESLAND/FRIES MUSEUM;17
PROVINCIAAL MUSEUM GRONINGEN/MUSEUM VOOR STAD EN LANDE;80
PROVINCIAAL MUSEUM KAM;2
PROVINCIAAL UTRECHTS GENOOTSCHAP;3
Paleo Terra;1
Panhuysen;16
Pape;1
Parlevliet;2
Particulier;4568
Pavlovic;8
Peddemors;267
Peen;8
Peeters;64
Pelsdonk;21
Peltenburg;1
Pelzer;1
Penning;10
Pepels;56
Perger;1
Periplus Archeomare;8
Peters;74
Pijls;1
Piras;1
Pisters;27
Plas, van der;2
Plasmeijer;5
Plettenberg;4
Pleyte;68
Ploegaert;21
Pol, van de;2
Poldermans;15
Pont;1
Posthuma;2
Pot;2
Poulus;3
Prangsma;36
Prins;170
Pronk;10
Proos;63
Provinciaal Depot voor Bodemvondsten Drenthe;199
Provinciaal Depot voor Bodemvondsten Noord-Brabant;55
Provinciaal Depot voor Bodemvondsten Noord-Holland;1
Provinciaal Depot voor Bodemvondsten Utrecht;2
Provinciaal Depot voor Bodemvondsten Zeeland;46
Provinciaal Depot voor Bodemvondsten Zuid-Holland;3
Provinciaal museum Limburg/Bonnefantenmuseum;13
Provincie Flevoland;7
Provincie Noord-Brabant;1
Provincie Noord-Holland;2
Pruim;7
Prummel;10
Put;1
Putten, van;6
Puype, J.P.;3
RAAIJ, VAN;8
RAAP Archeologisch Adviesbureau;13322
REGTEREN ALTENA, VAN;57
REGTOP;1
REINDERS;3
REUSELAARS;47
RIET VAN DE;3
RIJK, DE;1
RIJKEN;1
RIJKS GEOLOGISCHE DIENST;15
RIJKSDIENST VOOR DE MONUMENTENZORG;4
