---;68
GBERM;1
OVER;1
PART;4
XXX;21
aaa;16
aabbi;8
aac;14
aacpb;39
aadh;19
aaker;67
aalbe;38
aao;9
abake;9
abakk;21
abard;1
abeex;102
abent;75
aberk;1
abeuk;12
abeve;22
aboer;24
abohm;29
abors;1
abosm;120
abran;6
abred;1
abreu;1
abroe;625
abrok;29
abrue;5
abrui;198
abues;4
abuis;230
abunt;88
aclas;33
acruy;2
acven;6
acvu;30
adani;2
adate;1
adboz;1
adc;447
add;1
aderk;1
adevi;30
adhoo;81
aduin;33
aemau;5
aflon;1
ageff;2
agemd;77
agies;1
agiff;281
agijn;2
agrif;14
aguir;8
ahaar;59
ahakv;4
aholk;2
ahorb;288
ahuis;53
ahuls;4
ahuyb;3
aivu;17
ajage;3
ajans;5
ajbak;1
ajver;2
ajwul;1
akeet;2
akerk;1
aklun;46
akooi;39
akost;26
alee;25
alori;1
aluks;1
ambak;18
ameer;6
ameij;121
amenn;1
amien;15
amira;11
ammei;2
amoor;1
amr;1
amull;14
amuns;7
amvis;20
amw;9
anieu;10
anuma;10
aotte;8
aover;1
apavl;8
apedd;267
apira;1
aplas;2
arc;69
arcad;2
archi;39
archo;154
ardgl;94
aremo;25
aridd;7
arnic;96
arooi;5
asand;157
aschr;7
aschu;37
aspoe;21
aspra;56
atenh;1
athol;1
atimm;6
atol;11
atolh;1
atwal;40
aufke;2
avasb;3
avbon;15
avdbu;2
aveld;1
averh;4
averl;2538
averp;45
avheu;1
avils;23
aviss;10
avlas;1
avlie;6
avmep;3
avonk;7
avos;7
avred;4
awagn;3
awate;6
awave;20
awech;589
awerf;15
awert;1
awfld;130
awg;23
awhh;1
awier;1
awilb;16
awldk;1
awlv;2
awn;133
awn10;2
awn11;67
awn12;43
awn14;26
awn15;1
awn16;5
awn17;1
awn19;2
awn2;5
awn20;2
awn21;1
awn23;3
awn3;5
awn4;251
awn6;3
awn7;2
awn8;23
awott;1
awout;24
awrav;1
awt;1
awv;11
azado;4
azali;1
azeve;1
azwol;1
baac;435
bagn;95
bahva;1
bai;39
bakx;2
bargh;90
bato;1
bbeek;2
bberk;1
bbijl;3
bblau;1
bcorv;103
bdael;4
bdebu;1
beckd;1
becke;207
beekw;1
bergh;9
bfeen;1
bghig;1
bgoud;3
bgraa;25
bgroe;19
bgroo;6
bhaan;1
bhaze;1
bheld;1
bhend;13
bihoo;3
bilan;213
bjans;75
bkloo;2
bkruy;60
blaan;1
blind;1
bluca;11
bmaa;6
bmal;6
bmeij;13
bmoon;34
boele;6
boor;822
bpelt;1
bpenn;10
bpete;28
bpol;1
brand;1
brend;1
breye;13
brijn;1
brobb;9
brouw;3
bruin;1
bschr;1
bsilk;13
bsmit;6
bsmor;2
bstra;1
bterr;1
btops;4
btuyn;2
bveen;4
bvers;16
bvoor;1
bzijl;2
cakke;1
car;2
cbaar;8
cbake;1
cbeek;1
cblaa;16
cblom;61
cbran;15
cbrie;1
cbrig;1
cburn;18
ccohe;3
ccopp;14
cdekk;9
cdelf;395
cdoef;11
cduij;3
ceelm;10
cesch;58
