A, van der;9
ADC ArcheoProjecten;347
ADDINK SAMPLONIUS;9
AKKERMAN;1
ANDREA;2
ANTONIDES;1
APPELS;26
AREND VAN DEN;1
ASSINK;2
AWN Afd. 11 Lek en Merwestreek;71
AWN Afd. 12 Houten;60
AWN Afd. 13 Naerdincklant (Hilversum e.o);1
AWN Afd. 14 Vallei en Eemland (Amersfoort e.o.);31
AWN Afd. 15 Betuwe en Bommelerwaard;8
AWN Afd. 16 Nijmegen e.o.;7
AWN Afd. 17 Zuid-Veluwe en Oost-Gelderland;1
AWN Afd. 2 Noord-Holland Noord;11
AWN Afd. 21 Flevoland;1
AWN Afd. 23 Kempen en Peelland;4
AWN Afd. 24 Midden-Brabant;1
AWN Afd. 3 Zaanstreek Waterland;6
AWN Afd. 4 Kennemerland;248
AWN Afd. 5 Amsterdam e.o.;1
AWN Afd. 6 Rijnstreek;2
AWN Afd. 7 Den Haag e.o.;2
AWN Afd. 8 Helinium (Waterweg Noord);8
AWN Afd. 9 De Nieuwe Maas (Rotterdam e.o.);1
Aarts;1
Abbink;8
Achterop;23
Afd. Archeologie en Monumenten Gemeente Maastricht;1
Afdeling Archeologie, Dienst Stadsbeheer, Gemeente Den Haag;6
Akkerman;13
Alders;215
Alink;4
Allingham;2
Alphen, G.H.J. van;37
Amerongen, van;79
Amsterdams Archeologisch Centrum (UvA);1
Anderson;5
Archaeological Research en Consultancy;70
Archeologisch Instituut VU;4
Archeologisch Onderzoek Leiden BV;14
Archeologische Dienst Gemeente Hoorn;2
Archeologische Vereniging Land van Heusden en Altena;19
Archeologische Werkgemeenschap voor Nederland;317
Archeologische Werkgroep;104
Archeomedia / Arnicon;17
Archis;27
Arkema;23
Arnoldussen;7
Arts;400
As, van;1
BAAC BV;15
BAKHUIZEN;1
BAKKER;77
BALSTER;6
BARWASSER;1
BEDIJN;1
BEEKMAN;2
BELLEN;8
BEUKER;113
BEZAAN;1
BIEMANS;9
BLOEMEN;15
BLOMMESTEIJN;1
BOELENS;2
BOER DE;1
BOERSMA;1
BOETZKES;3
BOKMA;2
BOLT;5
BONHOF;16
BOONE DE;3
BORST-PAUWELS;11
BRAAT;23
BRESSER;11
BROERTJES;3
BRUNSTING;16
BURSCH;65
BUTTER;15
Baak;42
Baardewijk, van;17
Baarle, van;24
Baars;3
Baart;19
Bakels;9
Bartels;17
Bats;1
Beckers;15
Bedeaux;4
Beek, van;138
Beemt, van den;92
Beeren;20
Beest, van;900
Beestman;1
Beex;886
Bekkers;6
Benerink;137
Benjamins;1
Benthem, van;84
Berg, van den;370
Berg-Meelis, van den;3
Berghe, van den;8
Bergman;65
Bergmans;56
Bergsma;1
Berkel, van;1
Berkhout;17
Berkmortel, van den;44
Berkvens;1
Bes;1
Besselsen;1
Besuijen;21
Beukhof;60
Beumer;5
Beunder;14
Beverdam;67
Bijl;1
Bijlsma;4
Bink;11
Biologisch Archeologisch Instituut;276
Bitter;15
Blauw;1
Bloemen;108
Bloemers;75
Blokzijl;1
Blom;308
Blonk;52
Bloo;3
Boekema;24
Boemaars;83
Boer, de;147
Boer, den;23
Boersma;2
Bogaers;13
Bohmers;6
Bolhuis;1
Bongers;97
Boon;28
Boots;20
Borman;92
Borre, van den;4
Bos;5
Bos, van den;60
Bosch, ten;2
Boschloo;12
Boshoven;94
Bosman;35
Bostelen, van;1
Bot;1
Boulonois;193
Bouma;18
Brandenburgh;15
Brandt, van de;22
Braven, den;3
Bredie;18
Brenk, van den;3
Briels;172
Brienen;7
Brienen-Molenaar;5
Briggen;1
Brinkhuizen;2
Broeke, ten;77
Broeke, van den;70
Brokke;25
Brongers;81
Brounen;607
Brouwer;125
Bruekers;1
Bruel, van den;12
Brugge, ten;5
Brugge, ter;3
Bruijn;99
Bruijn, de;2
Buesink;65
Buisman;100
Buitenhuis;41
Bult;117
Bulten;2
Bunt;90
Bureau Archeologie Gemeente Haarlem;102
Bureau Monumenten & Archeologie Amsterdam;5
Bureau Monumenten en Archeologie Gemeente Leiden;5
Bureau Oudheidkundig Onderzoek Gemeentewerken Rotterdam;642
Burnier;8
Butler;3
CLEIJ;5
CLEVIS;10
COENRAADTS;26
COMIS;2
CORDFUNKE;83
Campenhout, van;10
Carmiggelt;1
Claeys;1
Conradi;40
Coolen;228
Coppens;37
Corver;50
Coumans;1
Craane;25
D'hondt;29
DAEMEN;1
DEKKER;3
DIJK;2
DIJK, VAN;12
DILZ;1
DINTEREN, VAN;35
DOCTER;4
DOODEHEEFVER;6
DRIEL, VAN;2
DUIVEN;5
Dahhan;315
Daleman;15
Dalen, van;1
Dalfsen, van;3
Daniel;2
Dasselaar, van;43
Datema;36
Dautzenberg;44
De Ridder;2
Deeben;11
Deitch - van der Meulen;1
Delfin - Van Mourik Broekman;373
Delporte;30
Depuydt;20
Deville;26
Diederik;107
Dielemans;2
Diepen, van;3
Diependaal;21
Diependaele;10
Diepeveen;2
Diepeveen-Jansen;4
Dierendonck, van;29
Dijk;7
Dijk, van;48
Dijkman;5
Dijkstra;82
Dijkstra-van Gelder;8
Dockum, van;1
Doef, van der;11
Doesburg, van;5
Domburg, van;3
Dorenbos;4
Dorst;63
Drenth;25
Driedijk;321
Driessens;285
Duinen, van;1
Dyselinck;1
Eck, van;10
Eeltink;1
Eerden, van;5
Eggermont;11
Eijk, van;84
Eimermann;12
Ellenkamp;84
Elzinga;317
Ende, van den;5
Engelse;8
Es, van;4
Esch, van der;45
Exaltus;7
FEENSTRA;22
FOHR;1
FOLKLORISTISCH MUSEUM;1
FRANZEN;89
Feest, van der;37
Feijst, van der;44
Feiken;7
Fijma;5
Fischer;2
Flokstra;172
Fokkens;12
Fonteyn;25
Franzen;14
Freericks;1
GEMEENTEMUSEUM ARNHEM;55
GEORGIUS;1
GLASER;1
