's-Heerenberg;6
's-Heerenloo;1
2e Exloermond;2
Aadorp;2
Aagtdorp;4
Aagtekerke;43
Aalbeek;2
Aalburg;6
Aalden;24
Aalderinkshoek;1
Aalkeet Buitenpolder;2
Aalsmeer;8
Aalst;50
Aalsum;10
Aalten;86
Aam;1
Aan de Berg;12
Aan de Maas;9
Aan de Rijksweg;6
Aan de Rouwenbocht;2
Aan de Rouwenbogt;3
Aanschot;2
Aardenburg;150
Aarlanderveen;1
Aarle;4
Aarle-Rixtel;146
Aartswoud;35
Abbega;2
Abbekerk;15
Abbekinderen;3
Abbenbroek;18
Abbenes;2
Abbewier;1
Abcoude;50
Abcoven;2
Abdissenbosch;8
Absdale;7
"Abshoven; Munstergeleen";1
Abtshoven;2
Abtspoel;1
Abtswoude;5
Achlum;14
Acht;1
Achterambacht;1
Achterberg;177
Achterbroek;3
Achterdijk;2
Achterdrempt;3
Achterholte;2
Achterlo;4
Achterste Brug;8
Achterste Erm;5
Achterste Steeg;2
Achterveld;18
Achthoven;1
Achthuizen;2
Achtmaal;48
Achtse Hoek;1
Achttienhoven;5
Acquoy;3
Addensdiep;1
Adorp;25
Aduard;21
Aerdenhout;5
Aerdjesberg Eo;2
Aerdt;5
Afferden;59
Ageler Veld;1
Agelo;4
Agodorp;3
Agsselte;1
Aijen;16
Akersloot;71
Akkerdijkse Polder;1
Akkersmilde;2
Akkerwoude;1
Akkrum;11
Akmarijp;4
Albergen;35
Alblasserdam;72
Alblasserwaard;2
Albrandswaard;4
Aldeboarn;2
Aldemardum;6
Aldenhaag;1
Alem;32
Alendorp;4
Alforst;1
Alkemade;1
Alkmaar;150
Allingawier;2
Almelo;45
Almen;27
Almere;155
Almere-Buiten;5
Almere-Haven;11
Almere-Hout;3
Almere-Stad;14
Almkerk;36
Alphen;74
Alphen aan de Maas;1
Alphen aan den Rijn;76
Alphen-Chaam;8
Alphen-Oosterwijk;1
Altena;5
Alteveer;8
Altforst;3
Alting;4
Altweerderheide;4
Altweert;9
Alverna;32
Ambt Delden;4
Amby;31
Amen;36
America;20
Amerongen;155
Amersfoort;381
Ammerstol;5
Ammerzoden;10
Ampsen;8
Amstelveen;52
Amstenrade;14
Amsterdam;264
Amsterdamscheveld;2
Amsweer;10
Andel;7
Andelst;99
Anderen;117
Andijk;299
Ane;20
Anerveen;7
Anevelde;4
Angelslo;8
Angeren;32
Angerlo;29
Anholt;7
Anjum;16
Ankeveen;5
Anklaar;1
Ankum;9
Anloo;157
Anna Jacobapolder;4
Anna Paulownapolder;4
Annen;36
Annendaal;2
Annertol;2
Annerveenschekanaal;4
Anreep;10
Ansen;10
Apeldoorn;138
Appel;2
Appelscha;27
Appeltern;28
Appingedam;34
Arcen;28
Archem;7
Arensgenhout;14
Arkel;117
Arnemuiden;25
Arnhem;134
Arrien;17
Arum;7
Arwerd;1
Asch;7
Asenray;12
Asperen;11
Assel;5
Asselt;44
Assen;91
Assendelft;90
Assum;6
Asten;51
Augustinusga;1
Austerlitz;12
Avendorp;1
Avenhorn;117
Averlo;2
Avest;8
Axel;62
Axwijk;4
Azelo;15
Azewijn;7
Baak;11
Baal;2
Baalder;19
Baambrugge;8
Baamsum;3
Baanhoek;1
Baard;3
Baarderadeel;1
Baarland;11
Baarle-Nassau;77
Baarle-Nassau\;1
Baarlo;76
Baarn;35
Baarsdorp;5
Babberich;4
Babylonienbroek;19
Baexem;76
Baflo;7
Baggelhuizen;1
Bahneheide;8
Bahr en Lathum;1
Baijum;5
Bakel;27
Bakenberg;2
Bakhuizen;4
Bakkersdam;1
Bakkeveen;21
Bakkum;8
Balderhaar;1
Balgoij;7
Balgzand Spuisluis;7
Balinge;2
Balk;6
Balkbrug;4
Ballast;1
Balloerveld;2
Balloo;108
Ballum;5
Baneheide;3
Banholt;19
Bant;65
Bantega;1
Barchem;8
Barendrecht;27
Barger-Compascuum;9
Barger-Oosterveen;1
Barger-Oosterveld;20
Bargeres;3
Bargermeer;1
Barkwerd;1
Barlo;8
Barneveld;49
Barnflair;2
Barnheem;1
Barnheemster Polder;3
Barradeel;5
Barsingerhoorn;2
Barsingerhorn;22
Basse;5
Batadorp;3
Batau-Noord;1
Batenburg;10
Bath;7
Bathmen;11
Bavel;18
Bazuin;1
Beckum;1
Bedum;12
Beegden;60
Beek;149
Beek en Donk;58
Beekbergen;49
Beekhuizer Zand;1
Beekhuizerzand;1
Beekhuzerzand;1
Beers;56
Beerta;8
Beerze;15
Beerzerhaar;1
Beerzerveld;4
Beesd;40
Beesel;229
Beetgum;7
Beetgumermolen;10
Beets;3
Beetsterzwaag;12
Beijum;3
Beilen;48
Beilervaart;1
Beinum;3
Belfeld;75
Bellingwolde;22
Belt, De-Schutsloot;1
Beltrum;12
Belvert;1
Bemelen;19
Bemmel;75
Benderse;3
Beneden-Leeuwen;19
Benes;1
Bengerden;1
Bennekom;108
Benneveld;48
Benningbroek;12
Benschop;21
Bent;8
Bentelo;13
Benthuizen;14
Bentveld;2
Berchem;2
Berg;24
Berg Aan De Maas;7
Berg en Dal;32
Berg en Terblijt;6
Bergakker;7
Bergambacht;142
Bergeijk;81
Bergen;57
Bergen aan Zee;3
Bergen op Zoom;49
Bergentheim;5
Bergerden;6
Bergermeerpolder;1
Bergharen;60
Berghem;73
Berghuizen;2
Bergschenhoek;39
Bergum;5
Beringe;3
Berkel;5
Berkel en Rodenrijs;23
Berkel-Enschot;30
Berkenheuvel;1
Berkenhorst;1
Berkheide;2
Berkhout;222
Berkum;14
Berkumerbroek;1
Berlicum;30
Berlikum;13
Bern;3
Bernisse;3
Besoijen;2
Best;36
Besthmen;4
Beugen;41
Beugt;2
Beulake;1
Beulakerweide;2
Beumel;1
Beuningen;162
Beuningerstraat;1
Beuseberg;2
Beusichem;44
Beutenaken;1
Beutjesheide;1
Bevermeer;2
Beverwijk;81
Biddinghuizen;48
Bierum;8
Biervliet;32
Biessum;4
Biest;11
Biesthoutakker;2
Biezelinge;13
Biggekerke;25
Bijssel;1
Bikbergen;1
Bilgaard;1
Bilthoven;7
