Kampershoek Noord;1
Rijksweg 325;1
;0
Kasteelse gang;2
HERWENDAALSE HOEK;1
Mosselboomgaard;1
UITWATERINGSKANAAL;1
Janum;1
't Soerlant III;4
Jodenpaadje;2
YERSEKENDAM;2
JARDINGA, JOHANNAHOEVE;1
VLIEGTUIGWEG, KAVEL P1;2
LYSKEMEER;1
Heuf;1
DE BLOEMERT;1
Huurne, vindplaats 5;1
HET BOLWERK;1
Schansweg;1
Riels Laag;2
Zuidbarger esch;1
OOSTERBLOKKER;2
Vronkenlaan 2;1
GROTE KERKSPLEIN;2
ZIERIKZEE;5
BROEKSE DIJK;5
VLIEGTUIGWEG, KAVEL J118;3
OOSTSTRAAT;1
VEER ANNA PAULOWNAPOLDER;1
VENUSDAM;2
LEEUWENHORST;1
"Tielebeek ; De Diepen";1
WILDERVANKSWEG;1
Verkeersknooppunt NS station Voorburg;1
Spuioeverweg;1
ZOEKER ES;1
BINNENWAARD;1
HEBREGT;1
Kastelenlaan-Koekeltse Bolslaan (Peppelensteeg);2
Franse Akker 11;1
RITTHEM;2
Verlengde Dishoekseweg;1
BIJ OUD DIEPJE;1
UFFELTERZAND;13
Spechtenweg;1
Boonberg;1
Doniaweg 17;1
MONNIKENWIERDE;1
STEENBANKPAD, KAVEL D49;1
BULLEPOLDER;8
BOOMGAARDSKUILWEG;1
Burgemeester Smulderslaan;1
ERVE HEUVELMAN;1
RENKUMSE HEIDE;1
ERVE HURING;1
Archeologische zone 6, Oostvlietpolder;1
Hof ter Weyde;1
"Buissteeg; Zoomweg";1
Groot-Holthuizen;1
ROELAGEBRUG;1
Damastberg;1
MARIASCHOOL SPEELPLAATS, GROENENDAAL;1
Lunteren, Klompweg;1
Golfbaan de Brugse Vaart;1
Hardenbergerweg;1
ORANJE-NASSAULAAN;1
De Grassen;1
LEEUWENPLAS-NOORD;2
Hoogdalem;1
SPAARNDAMSE WEG;1
merum-zuid;1
KLOKKENBERG BASISCHOOL;1
ONDERSTE MOLEN;1
KAPITTELSBOS;10
POOLSHOOGTE-ZUID;1
Stappegeoor;1
DRONKELAAR, DONKELAAR;1
De Sportvriend;1
KIJKUIT;2
Het broek;1
Voormalig AMK-terrein M9457 / CMA37E-066: De Bommeer;1
Sier 3;1
BIJ ZWOLLE;1
Jeroen Boschlaan 1;1
DRIE HEULEN;3
HOPWEG, KAVEL K61/K62;1
KUILENWEG;1
CHARLOIS;1
Zuilensteinsche Bosch;14
Stokstraat 35-37;1
LINKER BERKELOEVER;1
DRIESUMERTERP;1
"Voormalig AMK-terrein M8779 / CMA37D-039: Polder Oudenhoorn; Zuidhoek";1
LEESLOOT;1
HUIS 'T HAVEKE;1
Hekberg;7
Informatiecentrum;3
Bierkaaistraat;1
Goudsberg;2
N.H. KERK / ST JANSKERK;2
Oosterleek 37;1
Schokland, Kavel P6;1
HAMELWEG 9;1
Rekkense Binnenweg 24;1
Minnertsga;1
EINDSE PAD;1
Muggenpad;1
Markt 4-5;1
BELVEDERE (SITE C);1
SCHOTERPAD, KAVEL K58;1
"Remmerstein ; Geertesteeg";2
HAANTJEBAK;1
POLDER DE BRAKE;1
Patronaatsgebouw / Schoolstraat 2;1
"Kadoelerveld; kavel T85";1
Nachtegaallaan;1
RONDE BLESSE;1
Peuschkensheide;1
SCHILLIGEHAM;1
SOETERBEEK;2
ALLINGEREIND;1
TUINBOUWSTRAAT 2;1
De Hoef Oostzijde nr 115, Vindplaats 1, Hoeve Schijn Bedriegt;1
Kromvenweg;1
De Pas;1
Wilibrordlaan;1
Het Heilig Kempke;2
Leikant VP2;1
Breeweg/ 't Hof Dorpszicht;1
AKKERDIJKSE POLDER;1
HEIDEHOF E8;1
KLEINE KERK;1
LEMSELO;3
Heibloem;1
J.B.KANWEG-NOORD;1
WELLERLOOI;1
BULTEN;5
RK KERKHOF/KLOOSTER;1
BEUKEBOOM;1
"Verpleeghuis Velserduin ; Nicolaas Beetslaan 4";1
OUDE CAMPSPOLDER 03;1
SELWERDERHOF;1
Kluiverboom;1
Eelswert;1
Sumatrastraat, Adm. de Banckertweg, Tasmanstraat;1
KEMPERFLESCH;1
KOEDAMSTRAAT;1
Scharense Enk;2
LAGEWIJST;1
Stationsplein;7
HOUTJESLAAN;1
"ZUILENSTEINSCHE BOSCH; DE BLAASBALG";2
zuidesch;1
"Genoenhuis; Cocody";1
Ketelmeer;1
HAESELAARBROEK;2
TUSSEN KERKVELD 35 EN 41;1
NIJENBEEK;4
KEIZERSGRACHT-WAL;1
Groote Wielen;1
Lytse Brekken;1
Graafdijk-Oost;1
Rotterdam Grote Markt;1
Klein Geest;1
het Smitsveen;1
SIMMELINK/VIJVER;1
Zinkwegsedijk, 16 eeuwse boerderij;1
Oosterringweg;1
Valkseweg 5;1
Groot Zeeland;1
De Locht;5
WESCH 17;1
GROTEKERKPLEIN;1
DEUTLANDEN;1
Amtstraat;1
HOEVE DE BOLK;1
Windmolen kollenberg;1
ELSENEHOF;6
SCHOLTENBURG;1
RUINEN;1
06.012 Jan de Rooijstraat;1
HEZENESCH;1
GEDEMPTE OUDE GRACHT 120;1
VAALSERBERG;2
KAAPLANDSTRAAT;1
"ESCHARENSCHE BRUG; GRAAFSCHE RAAM";1
DORPSSTRAAT 13;1
"Locatie 6 ""Jansen""";1
akkerperceel bij Geitweg;1
Medevoort;12
WERFSTRAAT 59;1
BOLKSBEEK;1
Kleinwijk;2
MOLENSTRAAT 10;1
Aardenweg;5
HARTELHAVEN;1
DIRK VAN HORNELAAN;1
LIENSVELDEN;1
Matsloot;2
Beverakkers;1
RHEEZER BELTEN;1
AZELO;1
Hoevervaart;2
POLDERWEG;6
WITDONK;1
BURGEMEESTER WALLERWEG;1
Wilgenlaan;1
KAREL DOORMANWEG, KAVEL J83;1
NIEUWE STEEG;6
VOLLENHOVERWEG, KAVEL S100;1
RUITENBORG;1
De Staten;1
Houwenberg;1
"HET GOOR ; TROPRIJT";1
Rijksweg 35/36, locatie 1;2
KOBUS;2
RONDWEG;4
DE SPICK;15
KAPERSHOEK;2
BRINKSTRAAT;1
Tolstraat 5-19;1
Park 't Nieuwelant;2
NOORDESCH;10
HET KASTEEL VAN HEEZE-EYMERICK;1
PEPINUSBRUG;3
NOORDERLEKDIJK, VOORDAAN;1
DE HORN;2
Vijf schelpen;1
"WESTLAAN ; VERDOLVEN LANDEN";1
RUTBEEK;1
Langstraat 30;1
Grote Woerd;2
VOSAKKER;5
PRATTENBURGSCHE BOSCH;8
De Volgerlanden-West;2
Hooge Heide (Kattenbosch en Rios Mink);1
BLEEKVELD;1
Oude Kerk;1
DE ZWARTE HORSTEN;1
KORTE NIEUWSTRAAT;1
BARNHEEMSTERPOLDER;1
LEMSTERWEG, KAVEL K64;1
Hooisteeg 2A-10;1
BAARSKAMP-OOST;1
Kom Schoondijke;1
Lieve Vrouweplein;1
Hoeve aan de Venushoek;1
Grebbeweg;3
De Akkers;4
Schellers Hoek;1
Barrierweg;2
Herstraat (perceel 11);3
"Vogelweg; Kavel L1";1
Erichem;1
-;42
Siemelinksweg;3
WITSTRAAT DE;2
"Voormalig AMK-terrein M7227/CMA30E-014: Waterleidingduinen; Ganzenhoek";1
"Nieuw Levendaal ; Cuneraweg ; Laareind";2
"ZANDPAD A/D HOUTSE STRAAT ; HET HOUT";1
Hoep Noord;1
ZWAAG;1
WORM LANDGRAAF;1
Oude Drydijck;1
Uddelerweg;3
Westeinde 34;1
VOORVELD;2
KONINGBEEMDWEG;1
Sluis 10;1
JONKERSHOF-OOST;1
KLOOTWIJKHOEVE;1
Panoven;2
Dunoweg;1
Wallen van Aardenburg-Oost;1
A-73, HENRI DUNANTWEG-'T BRUKSKE;1
HOHORST;1
ST. MAARTENSKERKHOF;2
Hoeve;1
Westerstraat;3
Tuitjenhorn-West;1
HORNESTREEK;2
"MAZENBURG; MASENBURG; HET MEER";1
ERICA;3
DE LAREN;1
Dinkelpark;1
GALGEWEG 6;1
Heveringseweg / 2e zandweg;1
Gemondseweg 1;1
DE RIET;5
"Vuurpad; Kavel C24";1
HUIS 'T ELZE;1
Juckemastate;1
Sassenmolen;1
Berkter heitje;1
BOUWSTEEG;2
Regina van Geunshof;1
ITTERSUMERBROEK;1
VOORSTE VELD;1
KNARDIJK KAVEL E59;1
De essenpas, Vindplaats 2;1
D32A;2
Groenkappolder/Iendrachtswei;1
Tolsteeg;2
TRAAY, HEUVEL 4;1
Rijndijk 191;1
GOUDDUINEN;1
Seggelant Noord 2;2
HENGSTHEUVEL;1
NUNHEM;1
Sint Jansstraat 3;1
Wielstraat;2
DWINGELERSTROOM;3
Leestenseweg 18;1
POLDER KAMPHUIZEN;1
Hoefstraat 2;2
Marspoortstraat (Marspoort);1
de Bijenkorf;1
KOUWENBERG;3
DE MARSHOEK;1
KLEINE BERGERWEG;24
Kerktiend;1
PEERBOOMPJE;2
Dorpstraat 52-54;1
TEXEL PAAL 26, 2;1
zandstraat;1
POLDER OUDE GOOTE/MOERSAATSENWEG;1
TJALLEWAL;6
SLENERWEG-NOORD;2
OVEREINDSEWEG;2
MIDDEN FLIERT;1
Op den Hering;1
FRANKENHOF;1
Nieuwe Wijk, Allardsoog;1
OORTMANSMOLEN;1
Oude Lierpolder;1
PAUWENBURG;1
UILENBURSESTR/WAALBANDIJK;1
PEEST;1
St. Joris driehoek/Torenstraat/Ringweg;1
OUDE MEYE;4
16.41 AALKEET BUITENPOLDER;1
SINT JANS GELEEN;1
2e Kwartierstraat 10;1
JAN SMITSLAAN 10;1
"SLOT TE MEERWIJK; DEKEN POMPENSTRAAT";1
Voormalig AMK terrein 11947;1
DE BIJL;2
KAVEL K04;1
Kloostertuin;5
Kavel J58;1
Kelderweg;2
"VERLENGDE PLESMANWEG ; DE NOLLEN";1
Ellestraat;1
HEIDEWEG;5
Taxandrialaan;2
Huis te Voorst;2
TUIN DELFLAND 15;1
Plein15;1
Luxemburglaan, voormalige lichtboei;1
NIEUWE RUITERWEG;3
BESSELING;1
"Voormalig AMK terrein; Grote Blauwe Polder";2
Rijswijkseplein;1
"Voormalig AMK-terrein M10497: Polder Liesveld; Achterlandsche Wetering";1
Engelstilstraat;1
Wickenburgse Weg;1
terp Nesserwei;5
De Afhang;1
TIELLANDTWEG;1
"Hoogbosch; voormalig AMK-terrein";1
Trambrugweg, Kanaaldijk Z-W;1
Ring;1
OLDENZAALSESTRAAT;3
Markdal 11b Ulvenhout;1
DIEMERPOLDER;29
"Zwaak; Bredeweg";1
MOERHEINING;1
WESTFRIESE SLUIS;1
Grolloerstraat 5;1
BERG ESCH;1
RONDUITPOLDER;1
HEIWEG;2
KAMP MIDDELBOER;1
K NR. 99 (KAD. ARNHEM);1
BISSCHOPSSTRAAT;1
Rheder kerktoren/Dorpsstraat;2
Bornsche Maten;2
Honte 3;1
Gasleidingtrace Esveld - Angeren;1
Park de Leeuwenkuil;1
