't Hart-Michilsen;1
A, van der;1
A.M. Wijkel;3
AAC Projectenbureau;45
ADC ArcheoProjecten;1680
ADDINK SAMPLONIUS;4
AKKERMAN;1
ANDREA;7
APPELS;26
AREND VAN DEN;1
ARON;1
ASSINK;4
AWN Afd. 10 Zeeland;7
AWN Afd. 11 Lek en Merwestreek;138
AWN Afd. 12 Houten;86
AWN Afd. 13 Naerdincklant (Hilversum e.o);3
AWN Afd. 14 Vallei en Eemland (Amersfoort e.o.);27
AWN Afd. 15 Betuwe en Bommelerwaard;9
AWN Afd. 16 Nijmegen e.o.;26
AWN Afd. 17 Zuid-Veluwe en Oost-Gelderland;19
AWN Afd. 18 Zuid-Salland, IJsselstreek, Oost-Veluwezoom;2
AWN Afd. 19 Twente;9
AWN Afd. 2 Noord-Holland Noord;41
AWN Afd. 20 IJsseldelta-Vechtstreek;2
AWN Afd. 21 Flevoland;13
AWN Afd. 23 Kempen en Peelland;28
AWN Afd. 24 Midden-Brabant;3
AWN Afd. 3 Zaanstreek Waterland;37
AWN Afd. 4 Kennemerland;275
AWN Afd. 5 Amsterdam e.o.;17
AWN Afd. 6 Rijnstreek;11
AWN Afd. 7 Den Haag e.o.;3
AWN Afd. 8 Helinium (Waterweg Noord);100
AWN Afd. 9 De Nieuwe Maas (Rotterdam e.o.);1
Aa, van der;2
Aalbersberg;1
Aalders;1
Aalpol;1
Aannemers-combinatie Keent;1
Aannemingsmaatschappij Ploegam;1
Aarts;13
Abelmannn;6
Acht, van;1
Achten;1
Achterop;6
Ackermans;32
Adede;1
Aeres Milieu;20
Afd. Archeologie en Monumenten Gemeente Maastricht;19
Afdeling Archeologie Gemeente Eindhoven;90
Afdeling Archeologie, Dienst Stadsbeheer, Gemeente Den Haag;178
Afdeling Monumentenzorg en Archeologie Gemeente Alkmaar;95
Afdeling archeologie onder water;3
Akkerman;2
Alberts;7
Alders;89
Alebeek, van;1
Alink;4
Alphen, G.H.J. van;14
Alphen, van;1
Amelsvoort, van;1
Ams, van;1
Amsterdams Archeologisch Centrum (UvA);36
Angenent;1
Antea Group Archeologie;1
Arcadis;54
Archaeological Research en Consultancy;441
Archeo-Team Miramar;8
Archeodienst Gelderland BV;141
Archeologenbureau Argo;1
Archeologie Deventer RMW-VHMZ;116
Archeologie West-Friesland, Hoorn;64
Archeologisch Instituut Rijksuniversiteit Utrecht;1
Archeologisch Instituut VU;37
Archeologisch Onderzoek Leiden BV;235
Archeologische Dienst Gemeente Hoorn;25
Archeologische Dienst Zwolle;13
Archeologische Vereniging Land van Heusden en Altena;4
Archeologische Vereniging Limburg;1
Archeologische Vereniging Meppel;3
Archeologische Werkgemeenschap voor Nederland;856
Archeologische Werkgroep;180
Archeologische Werkgroep BATO;3
Archeologische Werkgroep Echt;24
Archeologische Werkgroep Eindhoven;1
Archeologische Werkgroep Erthepe;3
Archeologische Werkgroep Geertruidenberg;2
Archeologische Werkgroep Heemkundekring Helmond-Peelland;9
Archeologische Werkgroep Leen de Keijzer;7
Archeologische Werkgroep Leidschendam-Voorburg;3
Archeologische Werkgroep Old Ruerlo;1
Archeologische Werkgroep P.H.G., Putten;2
Archeologische Werkgroep Ravenstein;5
Archeologische Werkgroep Schoonhoven;1
Archeologische Werkgroep Tablis;1
Archeologische Werkgroep Valkenburg;1
Archeologische Werkgroep Voorburg;11
Archeologische Werkgroep Wijk bD- St. Wijks Castellum;2
Archeologische Werkgroep Zoetermeer;1
Archeologische Werkgroep van de Heemkundekring Myerle;1
Archeologische werkgroep Beesel;1
Archeologische werkgroep Heemkundekring Vechele;4
Archeomedia / Arnicon;365
Archeopro;3
Archeos Fryslan;1
Archeosupport BV;1
Archis;2
Argeologysk Wurkferban;20
Armaex Explosievenopruiming;2
Arnoldussen;3
Artefact! Advies en Onderzoek in Erfgoed;14
Arts;25
Asmussen;5
Augustijn;1
Avoort, van den;1
Avoort, van der;1
BAAC BV;1050
BAKKER;6
BALSTER;7
BEDIJN;1
BEEKMAN;5
BELLEN;44
BEUKER;182
BEZAAN;26
BIEMANS;11
BLOEMEN;4
BODAC bv explosievenopruiming;4
BOER DE;1
BOETZKES;4
BOGAERT;1
BOKMA;1
BOLT;12
BONHOF;21
BOONE DE;2
BORST-PAUWELS;12
BRAAT;12
BRANDT;1
