---;8
32077;1
GBERM;1
PART;123
VNM;1
XXX;22
aaa;95
aac;36
aacpb;45
aadh;178
aalbe;1
aao;3
aargo;1
abaat;20
abakk;3
abeex;80
abeuk;82
abeve;64
abigg;1
aboel;1
aboer;7
abohm;9
aboo;1
abosm;6
abran;11
abred;17
abree;1
abreu;6
abrok;1
abrue;2
abrui;82
abuis;68
acarm;1
acloe;1
acmne;31
acven;2
acvu;80
adc;1680
add;1
adeij;12
adeur;1
adhoo;25
adijk;2
adkra;1
adonk;2
aduij;1
aduin;1
aeres;20
aesch;2
aflon;1
afolk;1
ageff;1
agemd;116
agies;1
agiff;137
aguir;5
ahaar;44
ahakv;1
ahari;1
aheri;1
aholk;1
ahorb;11
ahuis;52
ahuls;1
ahuyb;10
airu;1
aivu;37
ajans;10
ajdej;1
ajsan;4
ajver;3
ajwul;10
akall;2
akeet;4
akeiz;1
akeng;1
aklun;3
akool;2
akoop;1
akors;5
akost;54
akrak;7
alass;1
alee;15
alinc;3
alori;6
amars;1
ambak;2
ameij;14
amira;8
ammaa;19
amoer;1
amplo;1
amull;3
amvis;5
amw;26
angra;1
anieu;5
apavl;1
apira;3
apkle;2
aplas;1
araaf;1
arc;441
arcad;54
archi;2
archo;235
archs;1
ardgl;141
aremo;4
areuv;3
armae;2
arnic;365
aron;1
arpro;3
artef;14
arutt;1
arwbe;1
arwsc;1
asand;3
aschi;2
ascho;1
aschr;2
aselm;1
asloo;1
asmee;1
aspoe;9
aspra;48
ateur;1
athel;1
athol;1
atolh;1
atwal;2
aufke;1
aulem;2
avasb;1
avbon;16
avdbo;6
avdij;1
aveen;8
aveer;1
averh;1
averl;124
averr;1
avheu;1
avils;8
avism;1
aviss;1
avl;1
avlas;1
avlha;4
avlie;6
avmep;3
avoma;1
awaal;1
awe;1
awech;24
awerf;10
awert;3
awf;20
awfld;64
awg;180
awgee;2
awhel;1
awhgv;4
awhhp;9
awhkm;1
awier;2
awijk;3
awilb;17
awldk;7
awlv;3
awn;856
awn10;7
awn11;138
awn12;86
awn13;3
awn14;27
awn15;9
awn16;26
awn17;19
awn18;2
awn19;9
awn2;41
awn20;2
awn21;13
awn23;28
