Breugel;15
Berg Aan De Maas;1
Alkmaar;102
;0
Teteringen;1
Oirschot;3
Nijkerk;13
OOSTERHOUT;32
Doetinchem;159
Stevensweert;5
Oss;36
GULPEN;95
Smalle Ee;1
HELMOND;12
Veldhoven;3
Doesburg;1
Vlierden;1
Apeldoorn;4
SOEST;4
AADORP;1
Zutphen;34
Vreeswijk;1
Maartensdijk;1
JIPSINGHUIZEN;6
ZIERIKZEE;5
Nieuwerkerk aan de IJssel;365
Brummen;2
Kwintsheul;1
DEN BOSCH;100
Deil;1
Warnsveld;2
Boxtel;18
Jutphaas;11
Posterholt;21
Culemborg;1
Oosterhout;45
Sprundel;1
WEERT-BOSHOVEN;2
Houthem (Valkenburg aan de Geul);55
Sint Anthonis;1
Belfeld;9
Loosbroek;1
Buchten;55
Hapert;3
SASSENHEIM;1
Berlicum;1
SEBALDEBUREN;18
KAMPEN;54
Koningsbosch;1
Gouda;1
Montfort;321
Moerstraten;2
Diever;16
Horst;1
Ruinen;1
Ulvenhout;1
Riel;1
Nederweert;16
RENKUM;38
Oostburg;11
Hardenberg;1
Zwolle;46
Ochten;1
Retranchement;10
Sprang-Capelle;3
Bodegraven;15
Uden;126
Den Haag;201
Zeewolde;3
Scheveningen;8
Den Bosch;1063
Tilburg;320
Merselo;1
Zaltbommel;16
MOOK;12
Metslawier;1
KERKRADE;3
regio Heinsberg (Duitsland);1
Heel;10
Deurne;4
Huissen;6
Baexem;1
Waalwijk;31
BURGH;95
Ulicoten;21
's-Heerenberg;1
Amesrfoort;2
Lichtenvoorde;1
Hoensbroek;17
Delft;107
Westervoort;1
Sint Joost;2
Haps;2
Steenwijk;1
Raalte;1
KORTENHOEF;1
HOENSBROEK;12
Noordwijk;451
Sweikhuizen;2
Helmond;9
WILDERVANK;22
Erp;15
Makkum;8
Lochem;1
ST. ODILIENBERG;4
VALKENBURG;10
Breukelen;2
Heerjansdam;1
Hemmen;2
Houten;19
Sint Jansklooster;1
Drunen;3
Middelburg;101
HARDENBERG;1
Brandenborch;1
Middelaar;1
Walsoorden;2
Reuver;183
EERBEEK;17
Doenrade;1
Bladel;3
Heesch;1
Tollebeek;1
s-Heer-Arendskerke;2
Giessenburg;1
Denekamp;1
NIEKERK;2
Dieteren;6
Leersum;42
Velp;2
Kootwijk;1
Scherpenisse;3
Tweede Exloermond;1
Zeeland;2
AMERONGEN;7
ZEERIJP;5
ST. MICHIELSGESTEL;11
MIDDELAAR;1
Ede;13
s-Hertogenbosch;3
Driel;2
AMSTERDAM;1311
Neerbeek;1
DRUTEN;25
IJsselstein;2
Kerkrade;42
Hilversum;3
Esch;2
Grave;60
Huisseling;1
Gapinge;1
Veenoord;1
Eijsden;4
Stavenisse;1
ZEVENAAR;4
HARDINXVELD-GIESSENDAM;13
Voerendaal;3
Mijnsheerenland;40
Wijchen;17
Oosthuizen;1
Bennekom;1
Heemskerk;4
's-Hertogenbosch;2
Buurmalsen;2
Cothen;4
Herkenbosch;1
Meppel;3
Zweeloo;3
HILVERSUM;7
HEESCH;2
Uitgeest;1
Borger;130
Melick;13
NIEUWE NIEDORP;2
ENS;2
VENLO;295
Geleen;1
Beesel;12
Woerden;22
Einighausen;1
MIERLO-HOUT;183
Maasbracht;31
Sint-Oedenrode;16
Eys;1
LOCHEM;37
Leens;1
Geysteren;1
Dalfsen;1
Blerick;7
Callantsoog;1
Heerlen;3
Wageningen;91
Breda;20
Haelen;10
Groningen;1541
America;11
Roosendaal;5
Cranendonck;1
Asten;12
Noordwolde;2
DEN HAAG;26
Kolhorn;5
Gent;2
Scherpenzeel;13
HEERLEN;1
Roermond;5
WIJK EN AALBURG;10
s-Gravenhage;7
Wijbosch;1
Losser;1
Sluis;6
Bussum;1
Nieuwegein;1
NUNSPEET;21
Geffen;2
Rijswijk;2
Kloetinge;2
PAPENDRECHT;63
Eindhoven;118
