;0
Common Dandelion;1
Maritime Pine;1
Wild Candytuft;1
Green Figwort;1
Ribbon-leaved Water-plantain;1
Beak-sedge;1
Cornel;1
Pigmy Rush;1
Iva;1
Fen Bedstraw;1
Stinking Chamomile;1
Cat's-tail;2
Boston Horsetail;1
Nodding Bur-marigold;1
Upright Hedge-parsley;1
Floating Bur-reed;1
Smooth Tare;1
Bindweed;1
Rock Samphire;2
Glaucous Sedge;1
Hastate Orache /Spear-leaved Orache;1
Red Horse-chestnut;1
Speedwell;1
Rose of Heaven;1
White Dead-nettle;2
Virginian Pokeweed;2
Orpine;1
Devil's-bit Scabious;2
Hybrid Black Poplar;1
Green Amaranth;1
Eastern Rocket;1
Tapegrass;2
Reflexed Stonecrop;1
Oval Sedge;1
Slender Soft-brome;1
Sweet Vernal-grass;1
Wild Camomile;1
Spiked Star-of-Bethlehem;1
Fibrous Tussock-sedge;2
Restharrow;1
Smallest Glasswort;1
Strawberry;1
Deadly Nightshade;2
Coastal Small-reed;1
Yellow Anemone;1
Yellow Star-of-Bethlehem;2
Amsinckia;1
Balm;2
Jagged Chickweed;1
Common Snowdrop;1
Butterfly-orchid;1
Sensitive Fern;2
Clover;1
Red-berried Elder;1
Garden Orache;1
Greater Goatsbeard;1
Spiny Restharrow;1
Intermediate Lady's-mantle;1
Pickerel Weed;1
Sneezewort;1
Angelica;1
Rape / Cole / Swede;2
Heath Pearlwort;1
Dwarf Cherry / Sour Cherry;1
Lesser Meadow-rue;1
Bedstraw;1
Orache/Goosefoot;1
Sea Purslane;1
Ramsons;1
Yellow Chamomile;1
Whorled Water-milfoil;1
Strawberry Clover;1
Dock;1
Marsh Helleborine;1
Wallflower Cabbage;2
Bur Medick;1
Hairy-brome;1
Thin-spiked Wood-sedge;1
Townsend's Cord-grass;1
Early Marsh-orchid;1
Dioecious Sedge;1
Prickly Sow-thistle;1
Tartarian Honeysuckle;1
Italian Lords-and-Ladies;1
Common Ragwort;1
Hartman's Sedge;1
Garden Cress;1
Tutsan;1
Common Gorse;1
Water Celery;1
Hard Fern;2
Lesser Bladderwort;1
Bearded Fescue;1
Field Star-of-Bethlehem;1
Stonecrop;1
Marsh-mallow;2
Snow-in-Summer;1
Creeping Bent / Fiorin;1
Yew;2
Clary / Sage;1
Gipsywort;2
Russian-vine;1
European Mallow;1
Giant Butterbur;1
Southern Marigold;1
Tickseed;1
Blue Bugle;1
Mustard;1
Privet;1
Red Pondweed;1
Bog Bilberry;1
Long-bracted Sedge;1
Hairy Violet;1
Black Oat / Bristle Oat;1
Burdock;1
Maiden Pink;1
Beet;2
Brittle Bladder Fern;2
Rosemary;2
Swamp Meadow-grass;1
Branched Bur-reed;2
Bogbean / Buckbean;1
Petty Whin;1
Toothed Medick;1
Cabbage;1
Alder Buckthorn;1
Black Horehound (ssp. foetida);1
Common Yellow-sedge;1
Distant Sedge;1
Warty Cabbage;1
Spring Forget-me-not;1
Red Fescue x Rat's-tail Fescue;1
Black Horehound;2
Great Woodrush;1
Saw-wort;2
Common Orache;1
Field Madder;2
Crab Apple;1
Burnt Orchid;1
European Larch;1
Smooth-stalked Sedge;1
Golden Top;1
Barren Strawberry;1
Field Mouse-ear;1
Eelgrass / Grass-wrack;1
Fen Orchid;2
London Plane;1
Slender Deutzia;1
Man Orchid;2
Not identified;2
Salmonberry;1
Chaffweed;1
Wood Stitchwort;1
Copse-Bindweed;1
Field Polycnemum;1
Pussy Willow/Great Sallow/Goat Wil.;1
Creeping Soft-grass;1
Fringed Pink;1
Marsh Speedwell;1
Hibiscus;1
Pale Sedge;1
Arbor vitae;1
Red Campion;2
Tall Rocket;1
Bean;1
Fritillary;1
Gallant Soldier;2
Pasqueflower;2
False Virginia Creeper;1
Common Hawkweed;1
Goatsbeard Spiraea;2
Common Rock-rose;1
Himalayan Knotweed;1
Meadow Gagea;1
Sea Couch-grass/Couch-grass;1
Barren Brome;1
Field Woodrush;1
Fern-grass;1
Spotted Rock-rose;2
Musk;1
Wood Small-reed;1
Water-dropworts;1
Common Scurvygrass;1
Elongated Sedge;1
Japanese Bindweed;1
Tormentil;2
Silver Hair-grass;1
Rough Chervil;2
Broad-leaved Cottongrass;1
Field Garlic;1
Larch;1
Grey Polar;1
Cape Gooseberry;2
Round-leaved Crane's-bill;1
Silver Fir;1
Large Skullcap;1
Greater Yellow-rattle;2
Solomon's seal;2
Water-starwort;1
White Mignonette;1
Sea Pea;1
Rowan/ Moutain Ash;1
Floating Fern;2
Russian Cinquefoil;1
Black-grass;1
Hairy Buttercup;1
