Helmogentroost;1
Doornden;1
Nerfamarant;1
;0
Bruin cypergras;1
Gewimperd langbaardgras;1
Bosaardbei;1
Engels gras;2
Iva;2
Japanse berberis;1
Boswilg x Katwilg;1
Klaverzuring;1
Vogelpootklaver;1
Purperorchis;1
Amerikaanse populier;1
Tweehuizige amarant;1
Veelwortelig kroos;2
Basterdwikke;1
Knolspirea;1
Grote waterranonkel;1
Glanzend sneeuwklokje;1
Klein glaskruid;1
Meidoorn;1
Muskusplantje;1
Aardbei;1
Smalle beukvaren;2
Wollige munt;1
Viltige spirea;1
Wilde bertram;1
Vijfdelig kaasjeskruid;1
Scheefkelk;1
Honingklaver;1
Muskuskaasjeskruid;1
Greppelrus en Zilte greppelrus;1
Heksenmelk s.s.;1
Bergvlas;1
Puntwederik;1
Gesteeld glaskroos;1
Scheefbloem;1
Duivenkervel;1
Handjesgras;2
Gewone en Duinreigersbek;1
Liggend hertshooi;1
Stijve zegge;1
Heelbeen;2
Druif/Krent/Rozijn;1
Kleverig kruiskruid;1
Fijn hoornblad;1
Vlashuttentut;1
Citroenmelisse;2
Rolklaver;1
Lampionplant;2
Nuphar advena;1
Knolrus s.l.;1
Erwt;2
Knolvossenstaart/Geknikte vossenstaart;1
Peen;2
Goudenregen;2
Kegelsilene;1
Amsinckia;2
Ruige rudbeckia;1
Komijn;2
Groot blaasjeskruid;1
Akkerviooltje;1
Absintalsem;1
Stekelbrem;1
Nagelkruid;1
Tulp;1
Geel x Knikkend nagelkruid;1
Spiesmelde (var. longipes);1
Zandlangbaardgras;1
Bloedooievaarsbek;1
Alpenheksenkruid;1
Raapzaad;1
Graslathyrus;1
Zeewolfsmelk;1
Waterpest;1
Bosandoorn;1
Smalle stekelvaren;1
Gewone zoutmelde;1
Wolfspoot;2
Bosgierstgras;1
Melde;1
Japanse zilverspar;1
Strandvarkensgras;1
Beverneltorkruid;1
Ruige veldbies;1
Bergroos;1
Epimedium;2
Echt duizendguldenkruid;1
Eenstijlige meidoorn;1
Ribbelbies;1
Knolbeemdgras;1
Brave hendrik;1
Echte salie;1
Ridderspoor;1
Gewone veldsla;1
Amandelwolfsmelk;1
Echte karwij;1
Blauw glidkruid;1
Zandblauwtje;2
Lansvaren;1
Bultkroos;1
Dwergviltkruid;1
Dwergvlas;2
Bergcentaurie;1
Wilde tijm;1
Schijnaardbei;1
