12Aa'';6
20Bc06;6
;0
07A;2
13;12
13Ba02;2
20Bb03;1
13Ba01;4
30Bb02;1
24Aa01;3
34;2
12Ba02;1
11Aa;2
19B;3
25A;16
05Ba02;1
18Aa;2
34Ac01;1
24Ab03;3
07Ab02;1
05Bc02;2
30Aa;14
25Ba03;2
05Ca02;2
19Aa;2
30Aa03;3
38Aa08;1
24A;2
19Ac01;1
33Aa;3
26A;1
37A;5
38Aa;20
29Aa;2
12Aa02;4
25Aa03;2
11A;5
13Ca;4
12Bd01;5
19Aa04;4
17Bb01;1
13Aa01;4
07Ab03;4
23Aa01;5
17Bb04;2
19Ab;3
05Ba01;1
19Ca02;1
15Ab;6
27Ba04;1
37Aa02;10
03A;1
12Bd03;2
34Ab03;2
05Ca;5
30Aa01;2
19Ca;4
07Aa03;1
29;3
11Ab;4
36Aa02;1
03Aa;3
11Aa01;4
19Ba;2
05Ba09;1
19Bb;4
17Aa;3
15A;2
27Aa01;2
02Aa01;1
13Ab02;1
38Aa03;4
38Aa05;4
12Ba07;2
38Aa01;6
24Ab02;1
12Aa';8
27Ba07;2
12Ba01;4
36Ab;1
24Ac;2
12Bb;2
17Bb05;1
34Aa;2
19Bb01;1
35Aa02;3
29B;3
12Bd;9
01Aa04;1
20Bc;11
05Bc;2
38Ab01;20
16Aa04;1
34Ba;4
19Aa03;2
16Ab10;1
27Ba03;3
31A;13
33Aa03;2
24Ac03;1
20Bb;5
01Aa;2
12Bd04;2
14Aa01;1
36Aa;1
07Ab04;1
01Aa02;2
19Bb03;1
25Ab01;5
17Ac01;4
01Aa01;1
09Bb01;4
10Aa07;1
20Ba02;2
17Aa01;6
18Ab;6
12Ba05;7
05Aa01;1
24Aa02;1
01Aa03;1
29Aa01;2
16Aa02;1
18Aa02;1
02Aa;1
19A;5
15Aa;1
17Ba;16
19Ac;3
31Aa02;1
30Ba02;1
05Aa02;1
16Ab03;2
05Ca03;1
09B;2
13Ab;5
05Ca01;1
16Ab05;1
12Aa03;5
19Ca05;4
12Bb02;1
24;3
11Aa03;1
25Aa;6
14Aa;1
27Ba;12
20Bc04;1
19Ba10;1
06Aa04;1
37Aa;7
02Aa03;1
17B;4
25Aa01;2
05Bb01;2
07Aa01;1
38Aa07;9
25Ac01;5
09Ba;1
16A;6
20Ba03;2
35Aa01;3
25Aa02;2
05B;5
29Aa02;1
05Ba03;1
09Aa02;1
12Aa01;7
27Ba01;2
38A;21
19Aa01;3
34Ab;6
20Aa01;1
12Ba08;1
19Ca04;3
13Ab01;6
09Aa01;1
12Ba06;2
12Aa04;3
12B;7
10Aa03;3
11Ab01;4
24Ab;6
32Aa;4
36A;5
11Ab02;1
26Aa01;1
20B;18
10Aa06;7
06Aa01;1
12;8
27Aa;5
21Aa;11
05Bc01;1
24Aa;1
20Ba;3
12Ba;17
31Aa;2
24Aa03;1
25Ba;12
30Aa02;1
34A;11
26Aa04;1
17Bc01;1
12Aa05;5
19Ca06;2
26Aa;2
33Aa01;1
17;6
17Ab01;6
10Aa05;3
20Ca01;4
20Ca;1
19Ba09;1
10Aa04;1
30Ba01;6
09Ba01;2
20Bc05;2
20Ba04;2
20Bc03;1
12Bd02;6
05Aa;2
10Aa01;5
05Bc04;1
06Aa;8
17A;6
17Aa02;7
05Ab02;2
31Aa01;9
16Ab01;2
16Aa03;1
12Ba03;4
05Ab01;1
10Aa02;2
09Bb;1
05Bb;1
18A;2
28Aa01;3
19;6
19Ca01;1
10Aa;12
20;6
05Bc03;1
05Ab03;1
25;9
16Ab;25
25Ba01;12
25Ac;5
27Ba05;2
07;2
24Ac02;1
24Ac01;1
28Aa08;1
38;18
20Bc02;4
21Aa01;18
12Aa;10
07Aa02;1
19Ba01;2
16Ab02;4
30;5
06Aa06;1
27;8
19Bb02;3
08Aa01;1
13A;9
16Ab04;1
11Aa02;5
20Bb02;2
05Ba11;1
16Aa;3
21Aa02;7
05Ab;2
05Ba05;1
26Aa'';1
13Ba;22
37Aa01;1
24Ab01;1
05Ba04;1
11Aa04;1
19Ca03;2
05Ba07;1
05Bc05;1
17Aa03;1
34Ab04;8
30B;2
12Bc01;8
05Ba06;1
05;3
28Aa02;2
06Aa03;4
32Aa01;1
24Ab04;1
19Ba02;2
22Aa01;2
20Bb01;2
25Ab;3
35Aa;2
12Bb01;4
30Ba;4
18Aa01;2
19Ba04;1
NULL;1842
