12;1
awn;4
bds;14
brc;7
bsc;4
bud;129
cal;1
car;50
cha;8
chf;6
clm;2
csc;1
ctk;42
cts;4
cul;1
cup;3
ear;1
end;58
ens;1
epi;1
fgm;1
flb;1
flo;5
flw;4
fr;1
frg;57
frk;7
frm;55
frt;224
ger;1
glb;11
lbm;1
lea;67
les;1
let;1
lmb;4
lsr;4
nee;2
not;1
nut;93
per;22
pod;1
pol;9
ppf;1
ppm;6
ras;12
rhi;61
roo;8
rsp;1
scl;8
sea;1
see;2629
skl;3
snc;1
spd;3
spf;5
spi;4
stb;4
stc;9
ste;1
stm;32
sto;2
tes;2
tho;7
tst;1
tub;1
tur;6
twi;38
utr;2
val;9
woo;42
xxx;2
zem;33
