kolom_naam;record_aantal;tabel_naam;aantal_veldwaarden_met_null;aantal_lege_veldwaarde;aantal_veldwaarden_met_lege_lijst;totaal_aantal_veldwaarden;aantal_uunieke_veldwaarden;percentage_unieke_veldwaarden;kolom_is_leeg;veldwaarde_is_uuid;veldwaarde_is_url;veldwaarde_is_email;veldwaarde_is_int;veldwaarde_is_float;veldwaarde_is_bool;veldwaarde_is_dict;veldwaarde_bevat_html;veldwaarde_is_date;veldwaarde_is_str;aantal_decimalen;grootste_int_waarde;langste_str_waarde;primaire_sleutel;vreemde_sleutel;gerelateerde_tabel_naam;gerelateerde_kolom_naam
Report nr;7;Plakfouten sites ADC;0;0;0;7;6;0.86;False;0;0;0;7;0;0;0;0;0;0;0;5;0;false;false;;
Site nr;7;Plakfouten sites ADC;0;0;0;7;7;1.0;False;0;0;0;7;0;0;0;0;0;0;0;5;0;false;false;;
Plaats;7;Plakfouten sites ADC;0;0;0;7;6;0.86;False;0;0;0;0;0;0;0;0;0;7;0;0;13;false;false;;
Toponiem;7;Plakfouten sites ADC;0;0;0;7;7;1.0;False;0;0;0;0;0;0;0;0;0;7;0;0;33;false;false;;
X-coordinate;7;Plakfouten sites ADC;0;0;0;7;7;1.0;False;0;0;0;0;7;0;0;0;0;0;1;6;0;false;false;;
Y-coordinate;7;Plakfouten sites ADC;0;0;0;7;7;1.0;False;0;0;0;0;7;0;0;0;0;0;1;6;0;false;false;;
Archis wnr;7;Plakfouten sites ADC;0;0;0;0;0;;True;0;0;0;0;0;0;0;0;0;0;0;0;4;false;false;;
Archis omnr;7;Plakfouten sites ADC;0;0;0;7;6;0.86;False;0;0;0;7;0;0;0;0;0;0;0;10;0;false;false;;
Regio_ID;7;Plakfouten sites ADC;0;0;0;7;3;0.43;False;0;0;0;0;7;0;0;0;0;0;1;2;0;false;false;;
Prov;7;Plakfouten sites ADC;0;0;0;7;3;0.43;False;0;0;0;0;0;0;0;0;0;7;0;0;2;false;false;;
Complextype;7;Plakfouten sites ADC;0;0;0;7;2;0.29;False;0;0;0;0;0;0;0;0;0;7;0;0;7;false;false;;
Cultural period;7;Plakfouten sites ADC;0;0;0;7;5;0.71;False;0;0;0;0;0;0;0;0;0;7;0;0;6;false;false;;
Begin date;7;Plakfouten sites ADC;0;0;0;7;5;0.71;False;0;0;0;0;0;0;0;0;0;7;0;0;6;false;false;;
End date;7;Plakfouten sites ADC;0;0;0;7;5;0.71;False;0;0;0;0;0;0;0;0;0;7;0;0;4;false;false;;
Remarks;7;Plakfouten sites ADC;0;0;0;0;0;;True;0;0;0;0;0;0;0;0;0;0;0;0;4;false;false;;
BIAX_ID;7;Plakfouten sites ADC;0;0;0;0;0;;True;0;0;0;0;0;0;0;0;0;0;0;0;4;false;false;;
