Aesculus x carnea;1
Agrostis capillaris;1
Agrostis gigantea|Agrostis stolonifera;1
Alchemilla micans;1
Alchemilla vulgaris s.l.;1
Alopecurus aequalis|Alopecurus geniculatus;1
Amaranthus blitum;1
Ambrosia psilostachya;1
Anagallis arvensis ssp. arvensis;1
Anagallis arvensis ssp. coerulea;1
Anchusa arvensis;1
Anisantha sterilis;1
Anisantha tectorum;1
Arabidopsis arenosa;1
Arabis glabra;1
Arabis hirsuta ssp. hirsuta;1
Arabis hirsuta ssp. sagittata;1
Arenaria serpyllifolia subsp. leptoclados;1
Arenaria serpyllifolia subsp. serpyllifolia;1
Arrhenatherum elatius subsp. bulbosum;1
Arrhenatherum elatius subsp. elatius;1
Artemisia campestris subsp. campestris;1
Artemisia campestris subsp. maritima;2
Arundinaria japonica;1
Asparagus officinalis subsp. officinalis;1
Asparagus officinalis subsp. prostratus;1
Asplenium foresiense;1
Atriplex patula|Atriplex prostrata;1
Atriplex pedunculata;2
Atriplex portulacoides;2
Atriplex prostrata;1
Avenula pratensis;1
Avenula pubescens;1
Azolla caroliniana;1
Ballota nigra subsp. foetida;1
Ballota nigra subsp. nigra;1
Berula erecta;1
Beta vulgaris subsp. maritima;1
Beta vulgaris subsp. vulgaris;1
Betula pendula|Betula pubescens;1
Bidens cernua;1
Bidens connata;1
Bidens connata|Bidens tripartita;1
Bidens frondosa;1
Bidens tripartita;1
Blackstonia perfoliata subsp. perfoliata;1
Blackstonia perfoliata subsp. serotina;1
Blysmus compressus;1
Blysmus rufus;1
Bolboschoenus maritimus;1
Bromopsis erecta;1
Bromopsis inermis;1
Bromopsis ramosa subsp. benekenii;1
Bromopsis ramosa subsp. ramosa;1
Bromopsis ramosus;1
Bromus carinatus;1
Bromus catharticus;1
Bromus hordeaceus;1
Bromus hordeaceus subsp. hordeaceus;1
Bromus hordeaceus subsp. thominei;1
Bromus racemosus subsp. commutatus;1
Bromus racemosus subsp. racemosus;1
Bryonia dioica;1
Buglossoides arvensis;1
Calamagrostis stricta;1
Caltha palustris subsp. araneosa;1
Caltha palustris subsp. palustris;1
Camelina sativa subsp. alyssum;1
Carex divulsa subsp. divulsa;1
Carex divulsa subsp. leersii;1
Carex elata;1
Carex oederi;1
Carex oederi subsp. oederi;2
Carex oederi subsp. oedocarpa;2
Carex otrubae;1
Carex otrubae|Carex vulpina;1
Catapodium marinum;1
Catapodium rigidum;1
Centunculus minimus;1
Centunculus minimus|Samolus valerandi;1
Cerastium fontanum subsp. holosteoides;1
Cerastium fontanum subsp. vulgare;1
Chaenorhinum;1
Chaenorhinum minus;1
Chaenorrhinum minus;1
Chamerion;1
Chamerion angustifolium;1
Cirsium acaule;1
Clinopodium acinos;3
Clinopodium calamintha subsp. calamintha;1
Clinopodium calamintha subsp. sylvatica;1
Clinopodium vulgare;1
Cochlearia officinalis subsp. anglica;1
Cochlearia officinalis subsp. officinalis;1
Coincya monensis;1
Comarum  palustre;1
Consolida orientale;1
Consolida regalis;1
Convolvulus sepium;1
Convolvulus soldanella;1
Conyza canadensis;1
Corispermum intermedium;1
Corydalis cava|Corydalis solida;1
Crassula tillaea;1
Crataegus rosiformis;1
Crepis vesicaria (ssp. taraxacifolia);1
Cruciata laevipes;1
Cymbalaria muralis;1
Cystopteris fragilis;1
Cytisus scoparius;1
Dactylorhiza incarnata;1
Dactylorhiza maculata;1
Dactylorhiza majalis subsp. majalis;2
Dactylorhiza majalis subsp. praetermissa;2
Danthonia;1
Danthonia decumbens;1
Daucus carota subsp. sativus;1
Dentaria bulbifera;1
Deschampsia flexuosa;1
Desmazeria;1
Doronicum plantagineum;1
Dryopteris affinis;2
Dryopteris carthusiana|Dryopteris dilatata;1
Eleocharis ovata;1
Eleocharis palustris;1
Eleocharis uniglumis;1
Eleogiton fluitans;1
Elymus caninus;1
Elytrigia;1
Elytrigia atherica;3
Elytrigia atherica|Elytrigia repens;1
Elytrigia caninus;1
Elytrigia juncea;3
Elytrigia maritima;1
Elytrigia repens;2
Elytrigia|Festuca|Lolium;1
Epilobium ciliatum;1
Eragrostis minor;1
Eragrostis pilosa;1
Erigeron acer;1
Erodium cicutarium;2
Erodium lebelii;1
Euonymus;1
Euonymus europaeus;1
Euphorbia esula subsp. esula;1
Euphorbia esula subsp. tommasiniana;2
Fallopia  japonica;1
Fallopia convolvulus;1
Fallopia dumetorum;1
Fallopia sachalinense;1
Festuca arenaria;1
Festuca filiformis;2
Festuca ovina subsp. cinerea;1
Festuca ovina subsp. ovina;1
Festuca rubra;1
Festulolium loliaceum (x-);1
Ficaria vema subsp. grandiflora;1
Ficaria vema subsp. vema;1
Ficaria verna;1
Filago arvensis;1
Filago minima;1
Filago vulgaris;1
Fragaria moschata|Fragaria vesca;1
Fumaria muralis;2
Fumaria officinalis subsp. wirtgenii;1
Galeopsis angustifolia;1
Galeopsis ladanum ssp. ladanum;1
Galium glaucum;1
Galium odoratum;1
Galium saxatile;1
Glebionis coronaria;1
Glyceria declinata;1
Glyceria fluitans|Glyceria notata;1
Glyceria notata;1
Groenlandia densa;1
Gymnocarpium dryopteris;1
Gymnocarpium robertianum;1
Hammarbya paludosa;1
Helleborus viridis;1
Hieracium lactucella;1
Hieracium murorum s.l.;1
Hieracium praealtum subsp. bauhinii;2
Hieracium praealtum subsp. praealtum;1
Hierochloë;1
Hierochloë odorata;1
Hordeum vulgare subsp. distichum;1
Huperzia selago;1
Hypericum maculatum s.l.;1
Hypericum tetrapterum;1
Isoetes echinospora;1
Isolepis setacea;1
Jacobaea aquatica;1
Jacobaea paludosa;1
Jacobaea vulgaris;1
Juncus alpinoarticulatus;5
Juncus ambiguus;1
Juncus ambiguus|Juncus bufonius;1
Juncus balticus;2
Juncus conglomeratus;1
Juncus pygmaeus;1
Juncus x kernreichgeltii;1
Kickxia elatine;1
Kickxia spuria;1
Koeleria macrantha;1
Lamiastrum galeobdolon subsp. argentatum;5
Lamiastrum luteum;1
Lamium hybridum;1
Lamium purpureum;1
Larix x eurolepis;1
Lathyrus japonicus;1
Lemna gibba|Lemna minor;1
Lemna minuta;1
Leontodon saxatilis;1
Lepidium draba;1
Leucanthemum vulgare;1
Lilium bulbiferum s.l.;1
Lilium bulbiferum subsp. bulbiferum;1
Lilium bulbiferum subsp. croceum;1
Lotus corniculatus;1
Lotus glaber;1
Lotus pedunculatus;1
Luzula multiflora subsp. congesta;1
Luzula multiflora subsp. multiflora;1
Lychnis viscaria;1
Lycopodiella inundata;1
Lycopodium complanatum;1
Lycopodium tristachyum;1
Lythrum portula;1
Malva neglecta|Malva pusilla;1
Matricaria discoidea;1
Medicago falcata|Medicago sativa;1
Medicago polymorpha;1
Melilotus albus;1
Melilotus altissimus;1
Melilotus indicus;1
Mentha aquatica|Mentha x verticillata;1
Mentha x gentilis;1
Mentha x rotundifolia;1
Milium vernale;1
Misopates orontium;1
Monotropa hypopitys subsp. hypophegea;1
Monotropa hypopitys subsp. hypopitys;1
Montia fontana;1
Montia minor;1
Morella caroliniensis;2
Muscari armeniacum|Muscari botryoides;1
Myosotis laxa (ssp. cespitosa);1
Myosotis laxa|Myosotis scorpioides;1
Myosotis scorpioides;1
Narcissus pseudonarcissus subsp. major;1
Narcissus pseudonarcissus subsp. pseudonarcissus;1
Nasturtium microphyllum;1
Nasturtium microphyllum|Nasturtium officinale;1
Nasturtium officinale;1
Odontites vernus;1
Odontites vernus subsp. litoralis;2
Odontites vernus subsp. serotinus;1
Odontites vernus subsp. vernus;1
Oenothera biennis|Oenothera erythrosepala;1
Ononis repens subsp. repens;1
Ononis repens subsp. spinosa;1
Ornithogalum umbellatum subsp. campestre;1
Ornithogalum umbellatum subsp. umbellatum;1
Orobanche major;1
Oxalis dillenii;1
Persicaria amphibia;1
Persicaria bistorta;1
Persicaria hydropiper;1
Persicaria lapathifolia;1
Persicaria maculosa;1
Persicaria minor;1
Persicaria mitis;1
Persicaria wallichii;1
Petrorhagia prolifera;2
Phegopteris connectilis;1
Phleum pratense subsp. pratense;1
Phleum pratense subsp. serotinum;2
Phyteuma spicatum s.l.;1
Phyteuma spicatum ssp. spicatum;1
Phyteuma spicatum subsp. nigrum;1
Plananthera montana;1
Plantago major subsp. intermedia;1
Plantago major subsp. major;1
Platanthera bifolia|Platanthera montana;1
Platanus x hybrida;1
Poa angustifolia;1
Poa angustifolia|Poa pratensis;1
Polygonum convolvulus;1
Polygonum oxyspermum;1
Polypodium interjectum|Polypodium vulgare;1
Polystichum aculeatum|Polystichum setiferum;1
Polystichum setiferum;1
Populus x canescens;1
Potamogeton berchtoldii|Potamogeton pusillus;1
Potamogeton mucronatus;1
Potamogeton pusillus;1
Potentilla tabernaemontani;1
Prunus domestica subsp. domestica;1
Prunus domestica subsp. insititia;1
Pseudorchis;1
Pseudorchis albida;1
Puccinellia distans ssp. borealis;1
Puccinellia distans subsp. borealis;1
Puccinellia distans subsp. distans;1
Puccinellia distans|Puccinellia maritima;1
Pulmonaria montana;1
Ranunculus aquatilis|Ranunculus peltatus;1
Ranunculus peltatus;1
Ranunculus polyanthemos subsp. nemorosus;1
Ranunculus polyanthemos subsp. polyanthemoides;1
Ranunculus subg. Batrachium;1
Rhamnus cathartica;1
Rheum rhabarbarum x rhaponticum;1
Rhinanthus angustifolius;1
Rhinanthus angustifolius|Rhinanthus minor;1
Rosa rubiginosa s.l.;1
Rubus fruticosus s.l.;1
Rubus x corylifolius;1
Rumex acetosella;2
Rumex obtusifolius subsp. obtusifolius;1
Rumex obtusifolius subsp. transiens;1
Sagina apetala;1
Sagina micropetala;1
Salicornia europaea s.l.;1
Salicornia pusilla;1
Salix atrocinerea;1
Salix atrocinerea|Salix aurita|Salix cinerea;1
Salsola kali subsp. kali;1
Salsola kali subsp. ruthenica;1
Satureja calamintha;1
Satureja hortensis;1
Satureja montana;1
Satureja vulgaris;1
Schoenoplectus lacustris;1
Schoenoplectus mucronatus;1
Schoenoplectus pungens;1
