kolom_naam;record_aantal;tabel_naam;aantal_veldwaarden_met_null;aantal_lege_veldwaarde;aantal_veldwaarden_met_lege_lijst;totaal_aantal_veldwaarden;aantal_uunieke_veldwaarden;percentage_unieke_veldwaarden;kolom_is_leeg;veldwaarde_is_uuid;veldwaarde_is_url;veldwaarde_is_email;veldwaarde_is_int;veldwaarde_is_float;veldwaarde_is_bool;veldwaarde_is_dict;veldwaarde_bevat_html;veldwaarde_is_date;veldwaarde_is_str;aantal_decimalen;grootste_int_waarde;langste_str_waarde;primaire_sleutel;vreemde_sleutel;gerelateerde_tabel_naam;gerelateerde_kolom_naam
Nummer_code;3619;Taxa thesaurus ArnoldsvdM;0;0;0;3619;3614;1.0;False;0;0;0;3619;0;0;0;0;0;0;0;4;0;false;false;;
REGNUM;3619;Taxa thesaurus ArnoldsvdM;0;0;0;3613;1;0.0;False;0;0;0;0;0;0;0;0;0;3613;0;0;7;false;false;;
PHYLUM;3619;Taxa thesaurus ArnoldsvdM;0;0;0;3613;4;0.0;False;0;0;0;0;0;0;0;0;0;3613;0;0;12;false;false;;
KLASSE;3619;Taxa thesaurus ArnoldsvdM;0;0;0;3613;7;0.0;False;0;0;0;0;0;0;0;0;0;3613;0;0;13;false;false;;
ORDE;3619;Taxa thesaurus ArnoldsvdM;0;0;0;3607;52;0.01;False;0;0;0;0;0;0;0;0;0;3607;0;0;19;false;false;;
FAMILIE;3619;Taxa thesaurus ArnoldsvdM;0;0;0;3619;154;0.04;False;0;0;0;0;0;0;0;0;0;3619;0;0;29;false;false;;
Name Thesauruslijst;3619;Taxa thesaurus ArnoldsvdM;0;0;0;3619;3619;1.0;False;0;0;0;0;0;0;0;0;0;3619;0;0;68;false;false;;
Synoniem;3619;Taxa thesaurus ArnoldsvdM;0;0;0;514;514;1.0;False;0;0;0;0;0;0;0;0;0;514;0;0;163;false;false;;
Arnolds_VanderMaarel;3619;Taxa thesaurus ArnoldsvdM;0;1109;0;2620;49;0.02;False;0;0;0;5;0;0;0;0;355;1151;0;1;4;false;false;;
Categorie gebruiksplant;3619;Taxa thesaurus ArnoldsvdM;0;0;0;447;26;0.06;False;0;0;0;0;0;0;0;0;0;447;0;0;31;false;false;;
Gebruiksplant/Houtig/Struik/Liaan;3619;Taxa thesaurus ArnoldsvdM;0;0;0;704;7;0.01;False;0;0;0;0;0;0;0;0;0;704;0;0;4;false;false;;
Nederlands;3619;Taxa thesaurus ArnoldsvdM;0;0;0;3618;3594;0.99;False;0;0;0;0;0;0;0;0;0;3618;0;0;50;false;false;;
Veld12;3619;Taxa thesaurus ArnoldsvdM;0;0;0;3618;3613;1.0;False;0;0;0;3618;0;0;0;0;0;0;0;4;4;false;false;;
Engels;3619;Taxa thesaurus ArnoldsvdM;0;0;0;2504;2096;0.84;False;0;0;0;0;0;0;0;0;0;2504;0;0;40;false;false;;
Duits;3619;Taxa thesaurus ArnoldsvdM;0;0;0;2562;2505;0.98;False;0;0;0;0;0;0;0;0;0;2562;0;0;39;false;false;;
Franse naam;3619;Taxa thesaurus ArnoldsvdM;0;0;0;2393;2326;0.97;False;0;0;0;0;0;0;0;0;0;2393;0;0;40;false;false;;
Veld16;3619;Taxa thesaurus ArnoldsvdM;0;0;0;0;0;;True;0;0;0;0;0;0;0;0;0;0;0;0;4;false;false;;
