Aquifoliales;3
Sapindales;25
Asterales;344
Boraginales;55
Filicales;92
;0
Commelinales;4
Celastrales;3
Vitales;8
Asparagales;76
Gentianales;60
Fagales;42
Buxales;5
Fabales;176
Alismatales;113
Ericales;95
Ranunculales;131
Brassicales;179
Geraniales;23
Malpighiales;116
Lamiales;313
Poales;573
Lycopodiales;8
Malvales;46
Sphagnales;2
Arecales;6
Poales/Ranunculales;1
Piperales;8
Indet.;2
Magnoliales;3
Caryophyllales;313
Charales;7
ANITA-groep;8
Laurales;2
Oxalidales;8
Gunnerales;1
Ceratophyllales;5
Cucurbitales;14
Rosales;217
Myrtales;49
Dipsacales;52
Coniferales;48
Cornales;18
Apiales;131
Proteales;4
Isoetales;4
Liliales;98
Brassicales/Fabales;1
Saxifragales;52
Santalales;7
Lamiales/Sapindales;1
Ophioglossales;7
Solanales;48
NULL;12
