MESOV-MESOM;5
IJZM/IJZL;1
BRONSV_BRONSL;9
;0
IJZL ;5
LMEA-NTC;2
VMECD;2
ROMV-LMEA;2
ROMV-ROML;61
ROMM-VMEA;1
IJZ-IJZM;1
MEVD;39
IJZL-ROM;1
PALEOLB;2
MESOM-NEOM;1
NEOV-BRONSV;7
ROMV;64
NTL;5
BRONSL-ROMM;4
?;7
VMEC;182
ROMBB;2
BRONSL;72
VMEB-VMED;10
BRONSV-BRONSM;18
NEOL-BRONS;2
melb;1
ROMM-?;9
NEOV;162
NTA;161
ROMMB;9
ROMMA;23
NEOL;206
IJT;2
IJZV-M;1
ROML-VME;3
NEO;2
BRONSL-IJZ;1
mesov;1
BRONSM-IJZL;1
BRONSL/IJZV;2
ROML-VMEB;10
IJZM/L;2
BRONS/IJZ;2
VMEB (mero);1
LME;97
NTB;106
BRONS-IJZ;1
VMEA-LMEB;2
PALEOL;1
BRONSV;29
LMEB-NTB;7
NEOV-NEOM;28
VMEA-LMEA;2
XME;14
LMEA/B;1
IJZL-LMEB;1
VMEC (karol);1
VMED-NTA;2
IJZ-ROM;3
NTA ;1
IJZV-IJZL;7
VMEB;115
BRONSV-ROM;1
ROMM;323
NTC;14
IJZM;125
IJZV-VMED;1
VMEA;5
MELA;76
IJZL-XME;1
IJZV;173
MEV;43
MESOL-NEOM;3
MESO;3
VME-LMEA;3
ROMM-LMEB;1
IJZM-NTA;1
VMEC-LMEB;12
preROM-ROML;1
BRONSM;171
VME-LME;2
LMEA;301
NEOM -NEOL;1
XME-NTB;3
ROMVB;4
NEOM;166
BRONSL-IJZL;4
VMEB-LMEA;2
NEOL-BRONSL;1
NEOL-BRONSV;13
VMEC-LMEA;68
BRONSM-IJZV;1
ROM;335
VMEB-VMEC;82
BRONSL-IJZV;13
preROM;8
ROM-VME;2
ROMV-VMED;10
IJZV-LMEA;1
LMEB-NTA;63
IJZML;17
RT;1
NTM;37
NTV;76
preROM-XME;16
IJZ;168
XME-NT;2
LMED;1
VMEA-VMEC;4
ROMV-ROMM;111
VEMC;1
BRONSV-BRONSL;1
LMED-NTA;2
NTA-NTB;103
BRONS;88
MEL;37
NEOV ;1
ROMLB;1
ME;40
ROMVB-ROMMA;2
PALEOL-MESOV;1
LMEA-LMEB;115
IJZL-ROMV;25
ROML-VMEC;8
LMEA/LMEB;1
IJZM-IJZL;74
BRONSMA;2
MESOV-NEOM;1
BRONSMB;16
MESOL;45
ROMVA;4
VME;44
ROM-NTB;1
ROMM ;1
BRONSM-LMEB;3
IJZV-ROML;5
BRONSM-L;7
IJZM-ROMM;13
IJZL-VMEC;3
ROM ;2
MELB;94
NEOM ;3
BRONSL-ROML;7
NEOM-NEOL;14
VMED;78
NEOM  ;11
MBT;1
LMEB;436
VMEA-VMED;30
IJZL-ROML;3
ROMV-NTA;1
ROMM-ROML;113
VMED-LMEA;151
LMEB/NTA;3
VMEA-VMEB;20
NEOL-BRONSM;22
MEVC;21
NTB ;4
LMEB ;11
IJZL-ROMM;15
IJZV ;1
VMED-LMEB;22
MESOM;14
MESOL-NEOV;8
ROMMB-ROML;1
BRONSM-IJZM;1
IJZV-IJZM;13
LMEB-NTC;6
VEMB-VMEC;1
VMEB-LME;17
MELV;7
NTB-NTC;20
MEVB;11
LBT;1
XME-NTC;1
ROM-NTC;1
??;1
ROM-VMEB;5
PALEOL-ROM;1
IJZ?;1
NEOVA;3
MESOV-MESOL;2
ROML;102
BRONSM-BRONSL;7
IJZM-ROML;4
MESOV;49
ROMVA-ROMLB;3
BRONSL-IJZM;1
VIJT;1
IJZV/M;1
ROML-VMEA;8
IJZL;126
IJZL-ROMMA;4
NTA-NTC;21
LMEA-NTA;2
VIJZ;1
NT;61
VMEC-VMED;26
NULL;8
