kolom_naam;record_aantal;tabel_naam;aantal_veldwaarden_met_null;aantal_lege_veldwaarde;aantal_veldwaarden_met_lege_lijst;totaal_aantal_veldwaarden;aantal_uunieke_veldwaarden;percentage_unieke_veldwaarden;kolom_is_leeg;veldwaarde_is_uuid;veldwaarde_is_url;veldwaarde_is_email;veldwaarde_is_int;veldwaarde_is_float;veldwaarde_is_bool;veldwaarde_is_dict;veldwaarde_bevat_html;veldwaarde_is_date;veldwaarde_is_str;aantal_decimalen;grootste_int_waarde;langste_str_waarde;primaire_sleutel;vreemde_sleutel;gerelateerde_tabel_naam;gerelateerde_kolom_naam
Id;97;Akkeronkruiden Karl;0;0;0;97;97;1.0;False;0;0;0;97;0;0;0;0;0;0;0;2;0;true;false;;
1;97;Akkeronkruiden Karl;0;0;0;97;97;1.0;False;0;0;0;0;0;0;0;0;0;97;0;0;36;false;false;;
2;97;Akkeronkruiden Karl;0;0;0;95;95;1.0;False;0;0;0;0;0;0;0;0;0;95;0;0;26;false;false;;
ARCHREGIO;17;Archeoregio;0;0;0;17;17;1.0;False;0;0;0;0;0;0;0;0;0;17;0;0;31;false;false;;
Regio_ID;17;Archeoregio;0;0;0;17;17;1.0;False;0;0;0;0;17;0;0;0;0;0;1;2;0;false;false;;
Recno;48;Dates;0;0;0;48;48;1.0;False;0;0;0;48;0;0;0;0;0;0;0;2;0;false;false;;
Omschrijving;48;Dates;0;0;0;24;24;1.0;False;0;0;0;0;0;0;0;0;0;24;0;0;6;false;false;;
Culturen;48;Dates;0;0;0;11;11;1.0;False;0;0;0;0;0;0;0;0;0;11;0;0;63;false;false;;
Datering;48;Dates;0;0;0;24;24;1.0;False;0;0;0;0;24;0;0;0;0;0;1;4;4;false;false;;
Site nr;6240;FEATURES;0;0;0;6240;1473;0.24;False;0;0;0;6240;0;0;0;0;0;0;0;5;0;true;true;SITES;Site nr
Feature nr;6240;FEATURES;0;0;0;6240;6240;1.0;False;0;0;0;6240;0;0;0;0;0;0;0;5;0;false;false;;
Feature code;6240;FEATURES;0;0;0;6240;5934;0.95;False;0;0;0;25;397;0;0;0;1;5817;4;4;14;false;false;;
Feature type;6240;FEATURES;0;0;0;6223;597;0.1;False;0;0;0;0;0;0;1;0;0;6222;0;0;20;false;false;;
Begin date;6240;FEATURES;0;0;0;6215;533;0.09;False;0;0;0;0;6215;0;0;0;0;0;1;5;4;false;false;;
End date;6240;FEATURES;0;0;0;6213;497;0.08;False;0;0;0;0;6213;0;0;0;0;0;1;5;4;false;false;;
Local phase;6240;FEATURES;0;0;0;1141;189;0.17;False;0;0;0;463;0;0;0;0;55;623;0;2;32;false;false;;
Cultural period;6240;FEATURES;0;0;0;6232;186;0.03;False;0;0;0;0;0;0;0;0;0;6232;0;0;13;false;false;;
Remarks;6240;FEATURES;0;0;0;392;259;0.66;False;0;0;0;0;0;0;0;0;0;392;0;0;82;false;false;;
BIAX_ID;6240;FEATURES;0;0;0;1027;1027;1.0;False;0;0;0;0;0;0;0;0;0;1027;0;0;27;false;false;;
NAME;39;halofyten_glycofyten;0;0;0;39;39;1.0;False;0;0;0;0;0;0;0;0;0;39;0;0;28;false;false;;
HALOGLYCO;39;halofyten_glycofyten;0;0;0;39;2;0.05;False;0;0;0;0;0;0;0;0;0;39;0;0;1;false;false;;
Id;2956;Hogere_planten;0;0;0;2956;2956;1.0;False;0;0;0;2956;0;0;0;0;0;0;0;4;0;false;false;;
Soortnummer;2956;Hogere_planten;0;0;0;2917;2853;0.98;False;0;0;0;2917;0;0;0;0;0;0;0;4;4;false;false;;
Groepnummer;2956;Hogere_planten;0;0;0;2916;1;0.0;False;0;0;0;2916;0;0;0;0;0;0;0;2;4;false;false;;
Wetenschappelijke naam;2956;Hogere_planten;0;0;0;2953;2953;1.0;False;0;0;0;0;0;0;0;0;0;2953;0;0;54;false;false;;
Auteursnaam;2956;Hogere_planten;0;0;0;2814;708;0.25;False;0;0;0;0;0;0;0;0;0;2814;0;0;34;false;false;;
Nederlandse naam;2956;Hogere_planten;0;0;0;2953;2622;0.89;False;0;0;0;0;0;0;0;0;0;2953;0;0;46;false;false;;
Systematisch niveau;2956;Hogere_planten;0;0;0;2918;9;0.0;False;0;0;0;0;0;0;0;0;0;2918;0;0;10;false;false;;
Status;2956;Hogere_planten;0;0;0;2186;3;0.0;False;0;0;0;0;0;0;0;0;0;2186;0;0;4;false;false;;
Standaardlijst 1996;2956;Hogere_planten;0;0;0;2917;3;0.0;False;0;0;0;0;0;0;0;0;0;2917;0;0;4;false;false;;
Familienummer;2956;Hogere_planten;0;0;0;2917;147;0.05;False;0;0;0;2917;0;0;0;0;0;0;0;3;4;false;false;;
Familienaam;2956;Hogere_planten;0;0;0;2919;148;0.05;False;0;0;0;0;0;0;0;0;0;2919;0;0;16;false;false;;
Genus;2956;Hogere_planten;0;0;0;2917;66;0.02;False;0;0;0;2917;0;0;0;0;0;0;0;2;4;false;false;;
Soort;2956;Hogere_planten;0;0;0;2917;63;0.02;False;0;0;0;2917;0;0;0;0;0;0;0;2;4;false;false;;
Ondersoort;2956;Hogere_planten;0;0;0;2917;4;0.0;False;0;0;0;2917;0;0;0;0;0;0;0;1;4;false;false;;
Flora Faunawet;2956;Hogere_planten;0;0;0;102;3;0.03;False;0;0;0;0;0;0;0;0;0;102;0;0;11;false;false;;
Doelsoort;2956;Hogere_planten;0;0;0;550;6;0.01;False;0;0;0;0;0;0;0;0;0;550;0;0;4;false;false;;
Soortbescherming;2956;Hogere_planten;0;0;0;31;3;0.1;False;0;0;0;1;0;0;0;0;0;30;0;1;12;false;false;;
Rode Lijst;2956;Hogere_planten;0;0;0;543;6;0.01;False;0;0;0;0;0;0;0;0;0;543;0;0;4;false;false;;
Rode Lijst uitgebreid;2956;Hogere_planten;0;0;0;543;17;0.03;False;0;0;0;0;0;0;0;0;0;543;0;0;5;false;false;;
Rode Lijst oud;2956;Hogere_planten;0;0;0;550;5;0.01;False;0;0;0;550;0;0;0;0;0;0;0;1;4;false;false;;
Rode Lijst opm oud;2956;Hogere_planten;0;0;0;266;6;0.02;False;0;0;0;0;0;0;0;0;0;266;0;0;4;false;false;;
Habitatrichtlijn 1;2956;Hogere_planten;0;0;0;4;1;0.25;False;0;0;0;4;0;0;0;0;0;0;0;1;4;false;false;;
Habitatrichtlijn 2;2956;Hogere_planten;0;0;0;4;1;0.25;False;0;0;0;4;0;0;0;0;0;0;0;1;4;false;false;;
Conventie van Bern;2956;Hogere_planten;0;0;0;3;1;0.33;False;0;0;0;3;0;0;0;0;0;0;0;1;4;false;false;;
