ant;6
awn;253
bds;207
bre;2
brk;1
chf;227
clb;45
clm;10
clx;187
cns;38
con;96
cot;16
crp;34
crt;5
cup;47
ear;47
emb;283
enc;121
ens;55
epi;4
fef;98
fib;1
flb;51
flr;10
flw;367
frb;31
frm;1409
frt;1195
gla;57
glb;846
glm;45
gsp;3
hea;3
hil;12
inf;31
inv;2
lea;758
lmb;144
lod;2
msp;39
nee;5
nod;14
oog;167
pap;13
ped;30
per;35
pol;813
rab;1
rai;1005
rcl;2
roo;58
scl;2
see;89146
smd;13
spf;837
spg;33
spi;24
spn;23
spr;3
sta;20
stb;6
stm;450
sto;63
tst;68
tub;1
twi;205
unr;70
utr;97
xxx;29
