;0
1026;1
497;1
551;1
909;1
13;2
121;1
604;1
947;1
881;1
93;1
726;1
643;1
34;1
182;1
115;1
945;1
2;4
641;1
735;1
1997/2;1
531;1
3912;1
37;3
855;1
564;1
282;1
2498;1
919;1
3764;1
3445;1
1009;1
567;1
596;1
442;1
1979;1
519;1
285;1
819;1
199;1
869;1
335;1
491;1
455;1
203;1
31;4
114;1
1942;1
668;1
269;1
839;1
1993/1;1
10;1
3187;1
139;1
1997/9;1
1989/1 (= Jaarverslag ROB;1
838;1
4378;1
392;1
1536;1
808;1
4444;1
843;1
281;1
2200;1
41(2);1
29;1
350;1
348;1
2003/2;1
4150;1
832;1
664;1
837;1
736;1
827;1
290;1
165;1
1995/5;1
448;1
794;1
120;1
1994/34;1
287;1
1998/10;1
777;1
258;1
522;1
585;1
798;1
224;1
167;1
2800;1
299;1
206;1
4379;1
3139;1
28;2
986;1
1999/10;1
359;1
666;1
2002/4;1
197;1
14;1
847;1
64;1
6;6
3697;1
4080;1
158;1
245;1
408;1
3778;1
640;1
598;1
231;1
2894;1
1998/9;1
631;1
2406;1
2000;1
424;1
313;1
214;1
99;1
211;1
175;1
390;1
3995;1
1204;1
504;1
991;1
355;1
151;1
267;1
1991/4;1
233;1
470;1
379;1
142;1
2127;1
795;1
984;1
256;1
3907;1
270;1
765;1
338;1
943;1
3500;1
2214;1
725;1
44/45;1
4027;1
2031;1
568;1
160;1
1995/21;1
1992;1
405;1
620;1
810;1
890;1
1996/15;1
918;1
694;1
265;1
2065;1
112;1
1022;1
26;1
699;1
547;1
286;1
118;1
8;5
176;1
3258;1
266;1
647;1
395;1
129;1
3133;1
477;1
340;1
1995/25;1
875;1
4078;1
555;1
219;1
362;1
478;1
261;1
1128;1
588;1
1985;1
274;1
9;2
401;1
636;1
4000;1
695;1
1998/20;1
1990;1
1002;1
1908;1
523;1
512;1
201;1
2002/1;1
3680;1
614;1
380;1
806;1
272;1
1999/12;1
43;1
751;1
342;1
130;1
351;1
49;1
1664;1
691;1
851;1
193;1
1997/3;1
159;1
40;1
226;1
624;1
1991/3;1
3625;1
381;1
1302;1
812;1
437;1
635;1
3885;1
128;1
1996/31;1
2519;1
3322;1
1993/2;1
400;1
1996/18;1
296;1
485;1
321;1
781;1
3;3
297;1
431;1
680;1
460;1
985;1
475;1
796;1
1998/12 = Rapportage Archeologische Monumentenzorg 64;1
690;1
1996/28;1
1998/1;1
992;1
407;1
386;1
857;1
336;1
215;1
974;1
384;1
1999/8;1
1391;1
748;1
2001/2;1
540;1
739;1
79;1
3468;1
213;1
678;1
251;1
38;2
238;1
326;1
100;1
273;1
601;1
1384;1
307;1
421;1
125;1
724;1
746;1
846;1
353;1
102;1
92;1
51;1
2523;1
428;1
1984;2
192;1
2400;1
3264;1
804;1
3699;1
163;1
1013;1
977;2
689;1
535;1
3990;1
149;1
1996/22;1
67;1
785;1
651;1
150;1
47;1
1999/15;1
1241;1
1994/38;1
1014;1
4275;1
406;1
4359;1
802;1
200;1
2000/2;1
1987;1
650;1
926;1
490;1
253;1
225;1
275;1
184;1
1998/7;1
936;1
589;1
546;1
443;1
803;1
216;1
2391;1
414;1
57;1
147;1
3859;1
304;1
1979/1;1
582;1
425;1
3797;1
4187;1
3317;1
937;2
456;1
989;1
1994/30;1
339;1
499;1
3100;1
2505;1
505;1
330;1
675;1
332;1
1997/8;1
1996/32;1
1675;1
521;1
1980;1
2742;1
4218;1
981;1
391;1
576;1
325;1
4360;1
1998/14;1
223;1
134;1
2000/9;1
183;1
268;1
1994/18;1
373;1
1997/7;1
146;1
388;1
1999/7;1
1939;1
923;1
45;1
1991/1;1
1656;1
3181;1
1990/1;1
706;1
180;1
826;1
2376;1
188;1
172;1
69;1
429;1
136;1
642;1
2900;1
1982;1
141;1
52;1
122;1
222;1
713;1
291;1
419;1
510;1
913;1
169;1
842;1
237;1
669;1
3980;1
993;1
661;1
709;1
145;1
959;1
56;1
4458;1
1989;1
990;1
22;2
1344;1
1940;1
4381;1
865;1
2000/4;1
1999/19;1
2694;1
787;1
119;1
1249;1
63;1
3467;1
1998/17;1
427;1
708;1
573;1
108;1
341;1
3395;1
207;1
792;1
1995/13;1
416;1
2108;1
815;1
464;1
352;1
221;1
800;1
248;1
301;1
823;1
714;1
809;1
334;1
279;1
232;1
68;1
1996/17;1
482;1
1991/5;1
1981/1;1
3477;1
2712;1
1999/20;1
942;1
1991/7;1
1996/2a;1
720;1
305;1
411;1
430;1
1996/29;1
496;1
277;1
550;1
698;1
101;1
888;1
480;1
117;1
3200;1
217;1
868;1
2000/7;1
4159;1
244;1
527;1
863;1
243;1
654;1
517;1
453;1
1523;1
5;1
127;1
595;1
509;1
566;1
514;1
358;1
710;1
854;1
817;1
994;1
1996/5;1
822;1
3150;1
360;1
1995/6;1
4418;1
539;1
940;1
329;1
4242;1
2750;1
607;1
413;1
1995/26;1
903;1
831;1
1019;1
960;1
398;1
3900;1
758;1
958;1
609;1
530;1
41;1
3608;1
769;1
656;1
403;1
2614;1
3700;1
479;1
198;1
96;1
737;1
1770;1
397;1
250;1
939;1
196;1
2169;1
605;1
484;1
113;1
966;1
1785;1
317;1
2713;1
2853;1
181;3
1994/17;1
4225;1
948;1
1996/30;1
229;1
4138;1
775;1
744;1
682;1
218;1
337;1
11;2
4100;1
1016;1
60;1
110;1
1995/2;1
156;1
1998/11;1
653;1
968;1
471;1
12;1
7;1
466;1
449;1
2714;1
328;1
1996/12;1
15;3
2153;1
1986;1
177;1
1991/8;1
2935;1
1005;1
343;1
1017;1
368;1
303;1
234;1
717;1
704;1
733;1
836;1
632;1
779;1
469;1
577;1
21;1
586;1
364;1
4093;1
705;1
284;1
486;1
1996/23;1
17;3
2563;1
396;1
655;1
162;1
1999/5;1
2274;1
1996/21;1
841;1
298;1
1426;1
