in: H. Sarfatij, W.J.H. Verwers & P.J. Woltering (eds.),;1
Jezeer, W. & Verniers, L.P.;1
in: H.-A.R. Siemons & M.M. Sier (red.),;1
in: M.J.L.Th. Niekus (red.);1
;0
in: P.F.B. Jongste & E. Smits (red.),;1
in: O. Dorenbos, O. Holthausen & J.M. Koot;1
in: J.W.M. Oudhof, J. Dijkstra & A.A.A. Verhoeven (red.),;1
in: W.A.B. van der Sanden (red.),;2
in: P.J.R. Modderman, J.A. Bakker & H.A. Heidinga (eds.),;1
in: J. Dijkstra (red.),;1
in: J. Hagedoorn & I. Wormgoor (red.),;1
Dijkstra, J.;3
In: P. Kranendonk, P. van der Kroft, J.J. Lanzing & B. Meijlink (red.);1
in: J.B. Kist e.a. (red.),;1
in: W.A.B. van der Sanden & P.W. van den Broeke (red.),;3
in: R. Jansen & E.A.G. Ball: Een IJzertijd vindplaats te Susteren.;1
Halverstad, R.N.;3
In: J. van Doesburg, J.W. de Kort en P.A.C. Schut (red.);1
in: Y. Eijskoot, O. Brinkkemper & T. de Ridder;1
in: M. Verbruggen & A. Verpoorte (red.),;1
In: M.J.M. de Wit & P.J.A. Stokkel, met bijdragen van M.C. Blom, H. Buitenhuis, M. Daleman e.a.;1
Meij, L. van der;1
In: M.J.M. de Wit (red.);1
Data Hazendonk, zie ook Bakels, C.C., 1981 Zeitschrift für Archäologie 15 (RADAR report nr. 18);1
Verniers, L.P. & Blom, E.;1
Gerrets, D.A., Opbroek, M. & Williams, G.L.;1
In: R. Jansen (red.);1
in: E.J. Feenstra (red.),;1
in: R. Reinders & A. van Holk (red.),;1
Veken, B. van der;1
In: I.M. van Wijk & L.G.L. van Hoof (red.);1
in: H.M. van der Velde (red.),;2
Van der Veken, B.;1
in: J.S. Krist (red.),;1
Benthem, A. van;9
in: R.M. van Heeringen (red.),;1
in: C.G. Koopstra (red.),;3
Van Campenhout, K. & Velde, H.M. van der;1
"In: M.J.M. de Wit met bijdragen van J.M. Bottema-Mac Gillavry, J.J. Lenting & M.
Schepers";1
In: J.J. Lenting & N. van Malssen met een bijdrage van M. Schepers;1
in: H. Fokkens & R. Jansen (red.);1
in: P.F.B. Jongste & T.J. ten Anscher (red.),;1
In: W. Waldus (red.).;1
in: H.W. Boekwijt & H.L. Janssen (red.),;4
Geerts, R.C.A. & Veldman, H.A.P.;1
in: S. Arnoldussen (red.);1
in: H. Stoepker (red.),;3
Roessingh, W. & Vanneste, H.C.G.M.;1
Alma, X.J.F.;4
Verniers, L.P. & Torremans, R.;1
Gerrets, D.A. & Williams, G.L.;1
in: J. Milojkovic & E. Smits (red.),;1
Blom, E. & Velde, H.M. van der;1
In: M.J.M. de Wit, met een bijdrage van M. Schepers;1
Hazen, P.L.M.;2
in: P.C. Vos (red.);1
Bouma, N.;6
Blom, E., Feijst, L.M.B. van der, &  Veldman, H.A.P.;1
in: R.A. Hulst (red.),;1
in: N. Roymans & T. Derks (red.),;1
Feijst, L.M.B. van der;2
in: J. van Doesburg en G.V. Mauro (eds.);1
Jezeer, W. & de Leeuwe, R.;1
Loopik, J. & Dijkstra, J.;1
In: Rieffe, E.C., L.I. Kooistra, J. van Dijk & L. van Beurden;2
In: E.A.G. Ball;1
in: I.M. van Wijk, R. Jansen, E.A.G. Ball & S. Arnoldussen;1
in: E.E.B. Bulten (red.),;6
in: O. Dorenbos & J.M. Koot;1
in: R. van Beek & T.D. Hamburg (red.),;1
in: P.H. Broekhuizen, A. Carmiggelt, H. van Gangelen & G.L.G.A. Kortekaas (red.),;1
Van Campenhout, K.;1
in: M. Krauwer & F. Snieder (red.),;1
Zandboer, S.;2
In: S. Diependaele & E. Drenth;1
in: A. Carmiggelt, H. van Gangelen, G. Kortekaas & W. van Zeist (red.),;1
Claeys, J.;1
