in boven laag mestkuil? werkput 7-3;1
;0
context: grondverbeteringsbaan. Vermoedelijk 18e/19e eeuw;1
1435-1445 cm-mv;1
4,55 NAP;1
put XI;3
afvalkuil;1
"laag uit pollenbak op 21-23 cm;  tab. 1 in rapport noemt ijzertijd, maar er is ook C14 monsters geno";1
"S23, v5; veel takjes/hout; fase III";1
percentages from 683;1
percentages from 6889;1
mestkuil (angular cuts on stem/leaf fragments of herbaceous plants, many fragmented seeds, also cuts;1
3 submonsters;1
waterput 629;1
4,52-4,40 NAP;1
grove fractie uitgedroogd;1
geen monsterinformatie;4
vak 27 19,40 -NAP;1
23 monsters;1
2=Beerput B, laag 2;1
 18,0-19,0 -/- NAP;1
Poz-70365	 2200 ± 35 BP;1
"gracht voorburcht; fase II; hout, takjes";1
5,36-5,38 -NAP;1
structuur 8009/10;2
put V, laag 1;1
161.5 gram from sample of 600 gram analysed;1
zes paalkuilmonsters;2
18e eeuw, beerbak;1
rootkuil?;1
5,46 NAP;1
percentages from 1944;1
waterput 205, geen vondstnummer;1
gracht enveloppe;1
mestkuil (angular cuts on stem/leaf fragments of herbaceous plants);1
"profiel door geul; 10-34cm (8,47-8,13)";1
kuil 14;1
zandige gyttja;2
structuur 83;1
3 monsters samengevoegd;1
huis 1;1
verkoolde havervoorraad;1
8,2-8,22 -NAP;1
waterput 201;1
PPM van inv is zeer klein en waarsch geen PPM;1
ringwalgracht;5
8 samp;1
vak 19 20,26-NAP;1
handverzameld houtskool 3mm-;1
40-50cm;1
C14 datering;10
verkoolde roggevoorraad;1
vak 18 20,62 -NAP;1
5,65 NAP;1
diepe brede greppel (on nondstkarje as S630, put 6, vnr. 111);1
14,8-14,9 -/- NAP;1
boring 17;1
hoeveelheid: een paar liter;3
1495-1510 cm-mv;1
inhoud pot;2
SUM;14
percentages from 5102;1
structuur 6003;1
ophoging;2
veenlaag;1
6,68-6,70 -NAP;1
structuur 4;1
fase II;15
geul 8000 230-235 m-mv;1
"IV-4-603; kuil/vijver";1
vak 16 20,54 -NAP;1
kuil 4;1
 ;2
structuur 5006;1
S 5120, v4 (25-44cm) geulvullingen;1
Sum 8 samples;1
structuur 9;1
handverzameld houtskool 3mm-zeef;1
" spoor 109-4;  laag 20-40, uitgebreide inventarisatie";1
7,0-70,3 -NAP;1
4,90 NAP;1
vondnummer onbekend;1
bovenste vulling staldeel huis 61;1
plantbed;1
percentages from 2321;1
horreum, IJZL is tussen haakjes;1
structuur 114;1
"plag 1b; waterput 509";1
overzone;1
de resultaten van 4 monsters uit 2 greppels zijn samengevoegd.;1
5,26 NAP;1
grote humeuz kuil;1
bovenste vulling staldeel huis 57;1
350-400 cm-NAP;1
vindplaats 1;1
kringgreppel;2
pollengegevens uit de sectie zijn niet opgenomen (behalve cerealia geen cultuurplanten);16
3,65 NAP;1
vlak 2, laagnr 5;1
1=Beerput A, één na onderste laag;1
"S35, v5;  fase IV";1
4,61 NAP;1
5,90 NAP;4
"""gekarakteriseerde monsters""";2
5,48 NAP;1
ca. 1300;1
19e eeuw, beerbak;1
sieved on household-sieve;1
vul 7;1
waterput 634;1
580-600 cm-NAP;1
kuil 12;1
C14: 2980 ± 30 BP;1
1,40 NAP;1
Vulling. Uit boring;1
inhoud 2 monsters;3
475-520 cm-NAP;1
5,7-5,72 -NAP;1
"gracht enveloppe; veel recente zaden";1
restgeul, 170-180 cm-mv;1
"vlak 2, laagnr 5; 2 pitten met de hand verzameld";2
sum of 35;1
vergeleken met monster 1 slecht geconserveerd;1
6,41-6,43 -NAP;1
"S33, v5; mest, foto; fase IV";1
boring 8;1
Geen plants, dubbel!;10
6,39-6,41 -NAP;1
fase III;4
vindplaats 1b? ROM?;1
1 mm zeef/droog;1
put XI, laag 7;1
vak 29 20,43-NAP;1
mo9gelijke weg;1
5,24 NAP;1
TOP. Uit boring;2
structuur 8015;8
21 samp;1
De resultaten van een ABA monster plus een AFZ monster zijn samengevoegd;1
BRONSL/IJZ;1
vak 2 19,74 -NAP;1
masplek?, werkput 2-3;1
24 monsters samengevoegd;1
datering: 120-160/175;3
"profiel door geul; S 32, v4, 132-144cm (7,15-7,03)";1
kern wandpaal huis 11;1
weinig kleine zaden (<0,5mm), matrix = verkoold graan. Veel grote graankorrels;1
vak 15 20,29 -NAP;1
(water)kuil;1
cluster 1;1
tonput, demping, werkput 1-2Mx-M;1
vak 19 20,46 -NAP;1
"S47, v2;  fase IV";1
"sample matix made of tied lumps/layer of cereal straw and herbaceous stem frg; some with ungular cut";1
bekken;1
4,00-3,83 NAP;1
"laag uit pollenbak op 20-21 cm; tab. 1 in rapport noemt ijzertijd, maar er is ook C14 monsters genom";1
AB zone 3, profiel 41, laag 10;1
1,92 NAP;1
verkoolde graanvoorraad;3
sieved on coarse sieve, 2.5 l residu;1
humeuze mestkuil (angular cuts on stem/leaf fragments of herbaceous plants);1
8,18-8,20 -NAP;1
put VIII, laag 3;1
1728-1729 cm-mv;1
1 mm residu;1
percentages from 23;1
Nld19, vulling 2, BIAXiaal 795;1
veenlaag, mogelijk verbrand in ME/turfwinnig;1
Poz-70408	 2085 ± 30 BP;1
	Poz-68991	 2345 ± 30 BP;1
put VI, laag 3;1
1,95 NAP;1
Leeg!;12
"plag 2 donker; waterput 509";1
"S6, v6; fase III-IV";1
6,24 NAP;1
2,8-3,0 m-mv;1
"mogelijk bewijs voor plaggen (veel stengelbasis/wortelstokken van grassen;. c 100% sample matrix) (L";1
vnrs 77 en 78 zijn samengevoegd en gezeefd;1
22 samp;1
6,7-6,72 -NAP;1
vondst- en spoornummer onbekend;1
5 mm maaswijdte?;1
vak 3 20,27 -NAP;1
structuur 90;1
17,1-17,2 -/- NAP;1
ouder dan datering van de kuil (1400-1600);1
volmiddeleeuwse waterput;3
put VIII, laag 7;1
spieker  18;1
15,9-16,0 -/- NAP;1
geen gegevens over monstergrootte e.d. voorhanden;1
verlatingsdepositie;1
put VI, onderin tonput;1
520.2 (=29.121);1
16,7-16,8 -/- NAP;1
"profiel 245, laag 53;  14C-datering";1
1470-1493 cm-mv;1
Poz-68997	 2430 ± 35 BP (sample not analysed, only selected for C14);1
structuur 8008;3
veraard;5
structuur 117;1
-0,30 m NAP;1
vlak 2, laagnr 4: 5 pitten met de hand verzameld;1
15,8-15,9 -/- NAP;1
3,40 NAP;1
Weight after drying;1
leeg!;2
geschat volume, put 2/3;3
verkoold graan in huislaag;1
datering: 150-160/175;4
datering: 160/175-200;1
veel takjes;1
15-25cm;1
fase I;16
5,98 NAP;1
5,70 NAP;1
	Poz-68993	 2150 ± 30 BP (sample not analysed, only selection of C14);1
vulling 4;1
na 1611;1
vnr 19 samengevoegd met vnr 26 en handverzamelde vondsten vnr 28;1
percentages from 10402;1
vlasverwerkings afval;1
laag 3;1
"veel takjes; fase II";2
5361;1
dubbel;9
structuur 8015?;1
ca. 2,0m onder oxyred;2
16,4-16,5 -/- NAP;1
monster 1 stratigrafisch jonger dan monster 2;1
drie monsters;1
