;0
0,4 l;28
78 g;1
 7,5 l;15
7,9;1
0,040 l;2
1380 g;1
2-10 l;12
1 l?;3
2,4;6
c.1 kg;16
2;16
3,5;43
4,75 l;2
760 g;1
0,7 g;1
 4,0 l;1
60 l;3
29 l;2
0,025 l;113
3250 g;1
0,004;7
0,003 l;1
2,25 l;6
7,5;1
0,05;2
64 l;1
40 l;1
35 l;2
0,001 l;412
800 g;3
150 g;1
11 l;41
4,8;2
4,4 l;1
1,6 l;3
0,075 l;10
1600 g;1
5,3;1
80 l;1
 9,0 l;5
2000 g;7
3,3;1
0,10 l;1
0,15 l;69
2,9 l;1
0,103 l;1
17 l;2
350 l;1
1,3;4
6,5;2
10;23
2,8 l;6
72 l;1
c. 1000 gr;1
0,5 g;1
0,1;14
c 7000 g;1
0,06;1
2,3;5
6,2 l;1
4,3;3
0,006;4
12 l;33
200 g;3
0,03;1
200 l;8
0,137 l;1
 5,0 l;5
1,8;3
1,9 l;2
8,5 l;14
21 l;2
46 l;2
0,04;1
<0,1 l;3
2 l ;1
4,25 l;1
2,6 l;1
0,3 l;25
4,8 l;3
1350 g;1
3300 g;1
1,8 l;1
0,077 l;1
1 l;788
22 l;2
5,7;2
135 l;1
5 l;1456
0,7;1
2050 g;1
0,0125 l;39
0,75;2
0,8;1
1 l ;1
0,036 l;1
27 l;4
? ;2
>25 l;1
2,9;3
28 l;1
30,0 l;2
8 l;65
1,9;6
3,8 l;4
c. 2 l;7
3,9;1
6;9
3,4 l;1
7 l;61
0,4;2
3,6;2
7,1 l;1
0,25;13
6,8 l;1
10x5 l;1
700 g;2
0;2
17,0 l;1
1230 g;1
0,005 l;13
0,125 l;8
5-20 l;51
100 gr;2
110 g;1
0,360 l;1
450 g;1
2,4 l;3
850 g;1
3,4;3
1,6;2
 7,0 l;6
18 l;8
6,1;1
6,7;2
17,5 l;15
0,046 l;1
54 l;1
1,7 l;1
6,2;1
7,25 l;8
0,146 l;1
14 l;18
2,0 l;19
5;336
23 l;3
1l;1
1800;1
2,75 l;4
161,5 g;1
16,0 l;2
1,5 l;101
0,1 l;78
2800 g;1
5,5 l;24
1,4 l;2
2 l;908
0,095 l;1
 2,0 l;1
 8,0 l;6
2,1;7
 l;1
1300 g;1
6,3;2
2,2;8
5,2;3
6,7 l;1
4000 g;1
0,002 l;26
184 l;1
0,25 l;90
2,0  l;1
5? l;3
3,6 l;3
12,5 l;24
0,33 l;1
500 g;2
 6,0 l;5
1500 g;11
10 l;490
5500 g;1
3,75;1
8;7
16,5 l;2
7,0 l;4
1810 g;1
3600 g;1
3,75 l;2
4,1 l;2
8,6;2
500 l;1
900 g;2
13 l;15
3,1;8
?;1760
2,5 l;103
0,3;1
5,4;1
3,7 l;2
0,03 l;1
3,7;1
4,9;7
0,098 l;1
0,12 l;1
0,85 l;1
0,5 l;596
9;4
4;18
1-3 l;5
5,25 l;3
105 l;1
1,75 l;3
>10 l;1
1100 g;3
0,80 l;1
4 l?;1
0,2-1l;6
8,8;1
1-2 l;1
4,7 l;2
0,147 l;1
1,7;5
0,9 l;5
7 l?;1
2,7 l;6
3 l;454
4,6 l;1
0,017 l;1
0,42 l;1
8,1;1
0,164 l;1
7,5 l;17
0,35 l;1
4600 g;1
7,4;1
7;5
1,3 l;5
19 l;2
15;1
7,1;1
4,1;5
50,0 l;1
0,126 l;1
2500 g;2
2,7;3
7,75 l;1
1,0 l;3
6,8;3
6,75 l;9
3000 l;1
0,65 l;1
5,1;1
0,06 l;10
6,25 l;2
0,55 l;3
8,25 l;1
3 l ;1
0,45 l;9
600 l;1
130 g;1
0,030 l;4
0,2 l;44
3;24
100 g;5
5,8;1
3,8;5
6,0 l;1
250 g;2
0,05 L;1
 9,5 l;2
65 l;2
0,050 l;17
0,8 l;16
16 l;2
2,1 l;6
5,0 l;33
4,5;14
9 l;34
ca 1 l;4
0,05 l;4
3,5 l;263
-;80
0,080 l;1
400 g;3
15 l;49
0,6;2
20;1
? l;31
 3,0 l;2
1000 g;8
1,5;11
0,75 l;27
0,04 l;1
2,6;4
5,6;3
ca, 5 l;13
3-5 l;59
3,2;1
3,25 l;4
3,0 l;11
0,048 l;1
2,25;1
2,2 l;2
4 l;193
3,2 l;1
31 l;1
6 l;68
0,438 l;1
1750 g;2
5,75 l;1
0,7 l;11
1200 g;2
1400 g;1
0,138 l;1
50 g;2
9,1;1
5,5;6
45 l;1
1,1 l;1
1,2 l;3
50 l;3
4,0 l;2
150 l;1
6,5 l;37
0,5;3
1250 g;3
4,5 l;67
1700 g;1
2,3 l;3
1,25 l;7
1800 g;2
30 l;6
2,5;15
850 kg;1
7,2;2
70 g;1
20 l;306
0,2;5
1850 g;1
5,9;2
0,003;3
0,01 l;18
4,3 l;3
4,2;2
1380 l;1
4200 g;1
1;13
c. 5 l;6
3,1 l;2
25 l;4
8,0 l;1
10,3;1
6,4;1
32 l;1
10,5 l;1
5050 g;1
180 l;1
11,5 l;1
2,8;4
0,044 l;1
0,6 l;16
4,7;2
1,2;4
0,193 l;1
4,2 l;2
NULL;521
