;0
Alkmaar;18
Katwijk;6
Ijsselstein;1
Geervliet ;2
Doetinchem;3
Stevensweert;1
Den Ham;1
Oss;15
Veldhoven;4
Apeldoorn;3
Laren;1
Zutphen;10
Delfzijl;1
Borne;2
Niedorp;1
Vleuten;12
Boxtel;2
Pesse;1
Midwoud;1
Foudgum;2
Dordrecht;16
Zierikzee;3
Bovenkarspel;3
Burgzand;1
Culemborg;5
Oosterhout;5
Wierden;3
Nieuwveen;1
Sint Anthonis;1
Eeserveld;1
Beugen;1
Belfeld;1
Woensel;1
Beverwijk;1
Hardinxveld-Giessendam ;1
Vechten;6
Capelle aan de IJssel;1
Neede;1
Venray;4
Gouda;9
Wijnaldum;1
Diever;1
Marssum;1
Riel;1
Nederweert;2
Oostburg;2
Zwolle;5
Hardenberg;2
Horst aan de Maas;1
Vlagtwedde;1
Santpoort;1
Ezinge;3
Steenderen;1
Sijbekarspel;2
Twisk;1
Bodegraven;1
Elsloo;3
Den Haag;2
Uden;2
IJpelo;1
Borssele;1
Sterksel;2
Milsbeek;1
Den Bosch;1
Tilburg;12
Poeldijk;2
Hoogkarspel;1
Zaltbommel;5
Riethoven;1
Zijderveld ;1
Huissen;3
Deurne;2
Heel;1
Waalwijk;1
Akersloot;2
Utrecht ;1
Albrandswaard;1
de Bilt;1
Hekelingen;1
's-Heerenberg;1
Odoorn;2
Lichtenvoorde;1
Wachtum;1
Lienden;1
Overslingeland;1
Stein;2
Delft;5
Arum;1
Westzaan;1
Ravenstein;1
Aarle;1
Biervliet;1
Raalte;4
Noordwijk;2
Sweikhuizen;2
Achterberg;1
Helmond;3
Gasselte;5
Lochem;2
Diessen;1
Breukelen;1
Oudewater;1
Houten;13
Middelburg;6
Warmond;1
Hastings;1
Haarlo;1
Heesch;2
Holtum;2
Moordrecht;1
Bergum;1
Westeremden;1
Leersum;2
Velserbroekpolder;1
Langedijk;1
Herwen;1
Hoorn, Protonweg;1
Velp;1
Kootwijk;1
Hazerswoude-Rijndijk;1
Sneek;7
Streefkerk;2
Uddel;1
Grootegast;2
Meerssen;1
Sint Oedenrode;1
Arnemuiden;2
Wommels;1
Melderslo;1
Ede;3
Aardenburg;4
Bruchem;1
Noordoostpolder;6
Middelstum;1
IJsselstein;2
Kerkrade;1
Eemshaven-Winsum;1
Grave;1
Voerendaal;1
Wijchen;4
Tynaarlo;1
Den Burg;1
Bennekom;1
Velden;1
Zijpe;4
Zoelen;1
Heemskerk;1
Zürich;2
's-Hertogenbosch;26
Brielle;3
Zweeloo;2
Venlo Trade Port Noord, fase II.;3
Varsseveld;1
Uitgeest;5
Borger;1
Wemeldinge;1
Urk;1
Deurningen;1
Geleen;8
Woerden;5
Egmond;1
Maasbracht;1
Sint-Oedenrode;3
Brakel;2
Vleuterweide;1
Gennep;4
Leens;1
Alblasserdam;2
's-Gravenzande;1
Dalfsen;2
Poederoijen;1
Heerlen;3
Wageningen;1
Breda;19
Groningen;35
Hoogebeintum;1
Macharen;1
Harreveld;1
Kolhorn;2
Roermond;3
Heumen;1
Losser;1
Borgharen;1
Tzummarum;2
Sluis;1
Son - Ekkersrijt;1
Balloo;2
Berkenwoude;1
Rijswijk;13
Drouwen;1
Son;4
Eindhoven;18
Mienakker;2
Oostzaan;3
Tzum;1
Honselaarsdijk;1
Ouddorp;3
Rockanje;1
Rhenen;1
Cuijck;1
Oud-Beijerland;1
Schagen ;1
Azelo;2
Leidsche Rijn;1
Mook;1
Noordzee;1
's-Gravendeel;1
Usquert;3
Utrecht;24
Vledder;1
Kuinre;3
Zetten;2
Markelo;1
Den Burg, Texel;1
Schaesberg;1
Werkendam;1
Schoonrewoerd;1
Harselaar;1
Oudeschans;1
Brandwijk;3
Texel/Noordzee;1
Hoek;1
Goirle;1
Den Dolder;1
Almere;1
Udenhout;1
Poppendam;1
Nieuwvliet;1
Aalsmeer;1
Hasselo;2
Harderwijk;4
Elp ;1
Best;2
Kesteren;4
Beetgumermolen;1
Beek;4
Monnickendam;1
Broek op Langedijk / Koedijk;1
Barendrecht ;4
Geldrop;3
Oudorp;1
Groede;1
Schipluiden;3
Peelo;6
Voorburg;4
Sittard;6
Abcoude;1
Putten;2
Beegden;1
Hattemerbroek;2
Camperduin;1
Goes;3
Nieuwstadt;1
Hoorn;3
Bathmen;1
Zoetermeer;1
Waddenzee;2
Bunnik;5
Wijk bij Duurstede;9
Brunssum en Kerkrade;1
Assum;1
Hindeloopen;1
Groesbeek;3
Vorden;1
Spijkenisse ;3
Montfoort;4
s'-Hertogenbosch;1
Bourtange;1
Hilvarenbeek;1
Wijdenes;1
Papenhoven;1
Deventer;11
Kloosterzande;1
Groenlo;1
Warmenhuizen;1
Kerk-Avezaath;3
Vlissingen;4
Heveskesklooster;1
Kapel-Avezaath;1
Maassluis;1
Druten;1
Helmond-Centrum;1
St-Oedenrode;1
Midlaren;1
Ermelo;2
Renkum Doorwerth;1
Zevenaar;1
Opheusden;1
Geldrop-Mierlo;1
Valthe;3
Leeuwarden;9
Reimerswaal;1
Vleuten-De Meern;1
St.-Oedenrode;1
Texel;2
De Gouw;4
Papendrecht;2
Geldermalsen;19
Sleen;1
Bakel;2
Heiloo;7
Dodewaard;8
Rosmalen;3
Oldeboorn;1
Emmeloord;1
Norg;1
Monster;1
Rumpt;7
Hazendonk;1
Hummelo;1
Wateringen ;1
Etten-Leur;1
Berkel-Enschot;4
Heeten;2
Gasteren;1
Eethen (NB);1
Heerde, Veessen, Vorchten en Wapenveld;1
Noordbarge;1
Eckelrade;1
